name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Neal Pionk,WPG,D,CBS,2020-12-27 13:05:54.472169,4.45,27.54,-0.79,11.41,131.29,,,,,,
Erik Karlsson,SJ,D,CBS,2020-12-27 13:05:54.472169,5.69,29.86,-0.28,8.14,117.7,,,,,,
Miro Heiskanen,DAL,D,CBS,2020-12-27 13:05:54.472169,8.73,27.44,4.22,4.41,121.51,,,,,,
Jared Spurgeon,MIN,D,CBS,2020-12-27 13:05:54.472169,12.37,18.93,2.26,6.88,105.2,,,,,,
Brent Burns,SJ,D,CBS,2020-12-27 13:05:54.472169,8.58,23.87,-0.28,8.15,175.87,,,,,,
Shea Weber,MON,D,CBS,2020-12-27 13:05:54.472169,12.32,16.33,1.02,4.72,166.65,,,,,,
Oscar Klefbom,EDM,D,CBS,2020-12-27 13:05:54.472169,4.72,27.8,-1.67,7.88,140.82,,,,,,
Devon Toews,COL,D,CBS,2020-12-27 13:05:54.472169,6.5,23.64,7.03,5.3,98.68,,,,,,
Damon Severson,NJ,D,CBS,2020-12-27 13:05:54.472169,7.25,20.12,5.9,4.77,87.63,,,,,,
Alexander Edler,VAN,D,CBS,2020-12-27 13:05:54.472169,3.84,25.46,5.06,2.41,99.15,,,,,,
Keith Yandle,FLA,D,CBS,2020-12-27 13:05:54.472169,3.41,27.82,-1.76,9.19,98.82,,,,,,
Ivan Provorov,PHI,D,CBS,2020-12-27 13:05:54.472169,10.31,18.42,-0.92,7.07,115.38,,,,,,
Mikhail Sergachev,TB,D,CBS,2020-12-27 13:05:54.472169,7.98,17.89,0.21,5.84,104.16,,,,,,
Morgan Rielly,TOR,D,CBS,2020-12-27 13:05:54.472169,4.4,25.61,1.49,4.76,153.97,,,,,,
Thomas Chabot,OTT,D,CBS,2020-12-27 13:05:54.472169,4.39,24.33,-0.78,6.09,134.77,,,,,,
Samuel Girard,COL,D,CBS,2020-12-27 13:05:54.472169,3.5,25.87,3.11,5.94,85.72,,,,,,
Drew Doughty,LA,D,CBS,2020-12-27 13:05:54.472169,5.53,21.17,-1.79,7.51,130.32,,,,,,
Jeff Petry,MON,D,CBS,2020-12-27 13:05:54.472169,8.43,20.19,-4.1,5.44,125.84,,,,,,
Nate Schmidt,VAN,D,CBS,2020-12-27 13:05:54.472169,6.67,23.24,-1.39,4.65,134.67,,,,,,
Tyson Barrie,EDM,D,CBS,2020-12-27 13:05:54.472169,3.99,26.09,-1.67,5.8,126.48,,,,,,
Seth Jones,CLB,D,CBS,2020-12-27 13:05:54.472169,5.8,22.62,-2.26,6.2,131.6,,,,,,
Cam Fowler,ANA,D,CBS,2020-12-27 13:05:54.472169,8.43,18.93,-1.89,5.52,101.92,,,,,,
Darnell Nurse,EDM,D,CBS,2020-12-27 13:05:54.472169,4.18,24.19,0.5,1.8,129.05,,,,,,
Ryan Pulock,NYI,D,CBS,2020-12-27 13:05:54.472169,7.56,20.7,-1.83,4.99,130.69,,,,,,
Erik Gustafsson,PHI,D,CBS,2020-12-27 13:05:54.472169,4.78,20.02,3.96,5.57,78.99,,,,,,
Alec Martinez,VGS,D,CBS,2020-12-27 13:05:54.472169,4.93,16.24,12.15,4.7,116.81,,,,,,
Aaron Ekblad,FLA,D,CBS,2020-12-27 13:05:54.472169,3.55,24.19,4.57,2.4,118.15,,,,,,
Oliver Ekman-Larsson,ARI,D,CBS,2020-12-27 13:05:54.472169,7.49,17.97,-3.44,3.34,105.49,,,,,,
Rasmus Ristolainen,BUF,D,CBS,2020-12-27 13:05:54.472169,4.34,19.53,0.83,4.06,91.8,,,,,,
Duncan Keith,CHI,D,CBS,2020-12-27 13:05:54.472169,2.49,22.29,-3.93,9.0,86.96,,,,,,
Jakob Chychrun,ARI,D,CBS,2020-12-27 13:05:54.472169,10.31,11.1,-1.08,3.84,117.87,,,,,,
Jake Muzzin,TOR,D,CBS,2020-12-27 13:05:54.472169,6.28,17.09,5.26,0.0,109.67,,,,,,
Shayne Gostisbehere,PHI,D,CBS,2020-12-27 13:05:54.472169,6.75,11.92,9.98,3.85,100.42,,,,,,
Charlie McAvoy,BOS,D,CBS,2020-12-27 13:05:54.472169,4.38,21.13,-0.55,0.67,100.49,,,,,,
Jacob Trouba,NYR,D,CBS,2020-12-27 13:05:54.472169,5.83,16.41,0.23,3.48,131.46,,,,,,
Colton Parayko,STL,D,CBS,2020-12-27 13:05:54.472169,10.13,14.78,-1.6,2.27,161.16,,,,,,
P.K. Subban,NJ,D,CBS,2020-12-27 13:05:54.472169,6.48,9.88,5.9,3.01,117.98,,,,,,
Jaccob Slavin,CAR,D,CBS,2020-12-27 13:05:54.472169,5.3,22.04,1.45,1.29,124.77,,,,,,
Jonas Brodin,MIN,D,CBS,2020-12-27 13:05:54.472169,1.58,21.49,10.25,0.88,88.7,,,,,,
Bowen Byram,COL,D,CBS,2020-12-27 13:05:54.472169,4.74,14.63,10.22,2.88,76.01,,,,,,
MacKenzie Weegar,FLA,D,CBS,2020-12-27 13:05:54.472169,7.81,12.59,4.57,0.0,92.78,,,,,,
Hampus Lindholm,ANA,D,CBS,2020-12-27 13:05:54.472169,1.06,21.39,-1.89,6.05,104.33,,,,,,
Josh Morrissey,WPG,D,CBS,2020-12-27 13:05:54.472169,3.94,19.22,-3.6,5.07,93.52,,,,,,
Mark Borowiecki,NSH,D,CBS,2020-12-27 13:05:54.472169,7.37,10.55,3.71,0.0,65.92,,,,,,
Dakota Mermis,MIN,D,CBS,2020-12-27 13:05:54.472169,5.4,16.78,3.73,1.25,80.54,,,,,,
Rasmus Andersson,CGY,D,CBS,2020-12-27 13:05:54.472169,6.27,13.36,1.72,1.66,95.12,,,,,,
Matt Dumba,MIN,D,CBS,2020-12-27 13:05:54.472169,4.74,14.58,2.0,3.52,143.87,,,,,,
Mike Reilly,OTT,D,CBS,2020-12-27 13:05:54.472169,1.12,18.05,-0.78,6.81,98.27,,,,,,
Alex Goligoski,ARI,D,CBS,2020-12-27 13:05:54.472169,2.85,20.04,-1.65,4.45,70.75,,,,,,
Andreas Borgman,TB,D,CBS,2020-12-27 13:05:54.472169,4.45,13.71,7.32,2.69,70.41,,,,,,
Darren Raddysh,NYR,D,CBS,2020-12-27 13:05:54.472169,4.52,13.93,7.35,2.75,73.42,,,,,,
Ryan Graves,COL,D,CBS,2020-12-27 13:05:54.472169,7.07,12.76,4.16,0.0,125.29,,,,,,
Vince Dunn,STL,D,CBS,2020-12-27 13:05:54.472169,6.76,12.33,-0.15,3.94,113.82,,,,,,
Travis Sanheim,PHI,D,CBS,2020-12-27 13:05:54.472169,6.19,15.79,-0.92,1.66,87.89,,,,,,
Mattias Ekholm,NSH,D,CBS,2020-12-27 13:05:54.472169,5.5,17.49,-3.4,2.13,137.78,,,,,,
Will Butcher,NJ,D,CBS,2020-12-27 13:05:54.472169,4.47,18.21,5.9,0.72,57.94,,,,,,
John Marino,PIT,D,CBS,2020-12-27 13:05:54.472169,5.43,17.18,-5.04,2.94,68.53,,,,,,
Kevan Miller,BOS,D,CBS,2020-12-27 13:05:54.472169,4.15,12.74,6.56,2.5,73.22,,,,,,
Connor Murphy,CHI,D,CBS,2020-12-27 13:05:54.472169,4.39,16.25,2.6,0.0,98.83,,,,,,
Ian Cole,COL,D,CBS,2020-12-27 13:05:54.472169,3.06,17.44,3.11,0.0,89.07,,,,,,
Dmitry Orlov,WSH,D,CBS,2020-12-27 13:05:54.472169,2.83,18.34,-2.83,2.71,89.99,,,,,,
Dennis Gilbert,COL,D,CBS,2020-12-27 13:05:54.472169,3.39,6.58,5.83,0.0,30.26,,,,,,
T.J. Brodie,TOR,D,CBS,2020-12-27 13:05:54.472169,4.24,16.09,1.42,0.44,53.34,,,,,,
Brad Hunt,MIN,D,CBS,2020-12-27 13:05:54.472169,7.39,9.9,-0.47,5.33,103.44,,,,,,
Jalen Chatfield,VAN,D,CBS,2020-12-27 13:05:54.472169,4.16,12.84,3.96,2.53,64.69,,,,,,
Ben Chiarot,MON,D,CBS,2020-12-27 13:05:54.472169,5.94,9.58,1.54,0.0,108.41,,,,,,
Juuso Valimaki,CGY,D,CBS,2020-12-27 13:05:54.472169,4.2,12.95,3.17,2.55,70.96,,,,,,
Nikita Nesterov,CGY,D,CBS,2020-12-27 13:05:54.472169,4.2,12.95,3.17,2.55,70.96,,,,,,
Jake Gardiner,CAR,D,CBS,2020-12-27 13:05:54.472169,3.08,15.11,-3.8,4.85,74.3,,,,,,
Olli Juolevi,VAN,D,CBS,2020-12-27 13:05:54.472169,3.96,12.2,3.94,2.4,61.49,,,,,,
Brenden Dillon,WSH,D,CBS,2020-12-27 13:05:54.472169,0.9,10.96,7.89,0.0,50.59,,,,,,
Nick Leddy,NYI,D,CBS,2020-12-27 13:05:54.472169,4.14,14.52,-0.68,3.63,68.07,,,,,,
Brandon Montour,BUF,D,CBS,2020-12-27 13:05:54.472169,4.75,12.37,0.83,1.43,79.97,,,,,,
Noah Hanifin,CGY,D,CBS,2020-12-27 13:05:54.472169,3.92,16.5,-0.76,2.09,106.99,,,,,,
Sean Walker,LA,D,CBS,2020-12-27 13:05:54.472169,3.86,14.71,-0.92,2.51,115.07,,,,,,
Carson Soucy,MIN,D,CBS,2020-12-27 13:05:54.472169,6.97,6.83,10.25,0.0,63.1,,,,,,
Mike Matheson,PIT,D,CBS,2020-12-27 13:05:54.472169,7.13,10.16,-0.62,1.03,90.15,,,,,,
Ryan Lindgren,NYR,D,CBS,2020-12-27 13:05:54.472169,0.97,12.85,11.4,0.0,42.08,,,,,,
Philippe Myers,PHI,D,CBS,2020-12-27 13:05:54.472169,6.16,10.8,-0.92,0.0,93.71,,,,,,
Tyler Myers,VAN,D,CBS,2020-12-27 13:05:54.472169,3.68,10.28,-3.15,2.29,92.38,,,,,,
Mark Friedman,PHI,D,CBS,2020-12-27 13:05:54.472169,2.92,11.82,6.08,1.77,50.99,,,,,,
Brady Skjei,CAR,D,CBS,2020-12-27 13:05:54.472169,6.0,12.18,-3.8,0.0,107.32,,,,,,
Philipp Grubauer,COL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,27.79,2.43,1155.24,3.36
Igor Shesterkin,NYR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,26.18,2.5,1167.55,3.13
Andrei Vasilevskiy,TB,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,25.93,2.47,1170.93,3.24
Carter Hart,PHI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,25.33,2.36,1163.62,3.72
Tuukka Rask,BOS,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,25.07,2.37,1162.16,3.65
Robin Lehner,VGS,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,24.83,2.47,1138.68,3.17
Frederik Andersen,TOR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,24.69,2.59,1171.99,2.79
Braden Holtby,VAN,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,23.24,2.6,1219.68,2.83
Cam Talbot,MIN,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,23.28,2.57,1159.24,2.88
Mikko Koskinen,EDM,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,23.83,2.68,1177.87,2.54
Jacob Markstrom,CGY,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,23.1,2.64,1191.37,2.68
Petr Mrazek,CAR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,22.93,2.62,1167.47,2.74
Jordan Binnington,STL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,22.8,2.69,1171.02,2.59
Semyon Varlamov,NYI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,21.48,2.48,1172.68,3.21
Anton Khudobin,DAL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,20.58,2.51,1203.37,3.07
Ilya Samsonov,WSH,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,21.56,2.71,1159.03,2.44
Corey Crawford,NJ,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,20.31,2.72,1199.86,2.5
Connor Hellebuyck,WPG,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,20.08,2.65,1192.99,2.69
Malcolm Subban,CHI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,20.58,2.84,1207.96,2.17
Joonas Korpisalo,CLB,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,18.58,2.49,1204.52,3.18
Juuse Saros,NSH,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,18.99,2.64,1203.04,2.7
Carey Price,MON,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,18.97,2.61,1184.27,2.75
Darcy Kuemper,ARI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,18.37,2.65,1209.85,2.64
Sergei Bobrovsky,FLA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,19.12,2.75,1175.89,2.45
Tristan Jarry,PIT,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,18.61,2.66,991.72,2.26
Linus Ullmark,BUF,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,16.71,2.7,1180.45,2.55
Martin Jones,SJ,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,16.4,2.7,1186.18,2.48
Matt Murray,OTT,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,15.96,2.82,1199.39,2.24
Jonathan Quick,LA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,15.19,2.75,1188.1,2.33
John Gibson,ANA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,14.72,2.89,1196.78,2.05
Casey DeSmith,PIT,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,11.07,2.65,578.69,1.32
Jonathan Bernier,DET,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,9.64,2.97,1221.25,1.73
Jaroslav Halak,BOS,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.78,2.36,395.69,1.31
Pavel Francouz,COL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.98,2.61,403.78,1.0
Mike Smith,EDM,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.77,2.72,406.56,0.91
Curtis McElhinney,TB,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.47,2.62,397.23,1.01
Brian Elliott,PHI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.25,2.58,403.08,1.04
Thatcher Demko,VAN,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.05,2.6,414.7,1.07
Marc-Andre Fleury,VGS,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.26,2.65,395.39,1.0
Kaapo Kahkonen,MIN,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.12,2.59,400.05,0.99
Jack Campbell,TOR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.16,2.72,404.75,0.92
Alexandar Georgiev,NYR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,8.15,2.73,405.92,0.85
James Reimer,CAR,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.87,2.67,410.34,0.94
Ville Husso,STL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.99,2.65,399.9,0.96
Vitek Vanecek,WSH,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.55,2.68,399.35,0.94
David Rittich,CGY,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.49,2.84,411.13,0.79
Collin Delia,CHI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.28,2.84,423.04,0.8
MacKenzie Blackwood,NJ,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,7.03,2.8,417.07,0.85
Laurent Brossoit,WPG,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.95,2.75,416.62,0.87
Chris Driedger,FLA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.94,2.72,409.79,0.88
Elvis Merzlikins,CLB,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.4,2.6,410.26,1.0
Jake Allen,MON,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.49,2.64,401.42,1.03
Antti Raanta,ARI,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.47,2.75,413.43,0.88
Pekka Rinne,NSH,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,6.22,2.83,419.59,0.78
Carter Hutton,BUF,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,5.68,2.79,406.6,0.8
Calvin Petersen,LA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,5.54,2.88,419.14,0.72
Anthony Stolarz,ANA,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,5.22,2.95,419.38,0.67
Marcus Hogberg,OTT,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,5.11,2.93,416.37,0.69
Devan Dubnyk,SJ,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,4.99,2.95,408.62,0.68
Ben Bishop,DAL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,4.34,2.72,276.18,0.56
Jake Oettinger,DAL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,2.74,2.7,161.17,0.4
Thomas Greiss,DET,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,3.09,3.04,412.59,0.56
Colton Point,DAL,G,CBS,2020-12-27 13:05:54.472169,,,,,,,,1.66,2.31,84.87,0.29
