PLAYER,TEAM,POS,GP,G,A,PTS,PLUSMINUS,PPP,PIM,HITS,BLOCKS,SOG,W,AVG,SV%,SO
Brent Seabrook,Chicago,D,81,7,27,34,2,10,34,101,159,143,,,,
Jeff Petry,Montreal,D,75,9,27,36,-11,15,24,154,129,163,,,,
Tyson Barrie,Colorado,D,72,12,38,50,-10,23,24,37,79,169,,,,
Shea Weber,Montreal,D,50,12,22,34,3,14,24,111,109,130,,,,
Aaron Ekblad,Florida,D,78,14,20,34,-1,10,62,81,105,205,,,,
Justin Faulk,Carolina,D,73,12,27,39,-13,17,38,121,83,207,,,,
Ryan Pulock,N.Y. Islanders,D,76,11,23,34,-2,10,18,120,93,190,,,,
Jared Spurgeon,Minnesota,D,70,10,26,36,7,11,12,57,138,122,,,,
Duncan Keith,Chicago,D,78,5,38,43,-3,13,24,30,138,172,,,,
Brandon Montour,Anaheim,D,79,8,23,31,10,9,44,92,84,164,,,,
Shea Theodore,Vegas,D,78,9,28,37,4,11,34,37,94,178,,,,
Ryan McDonagh,Tampa Bay,D,70,6,23,29,11,8,26,80,156,116,,,,
Darnell Nurse,Edmonton,D,78,6,16,22,2,1,71,190,136,177,,,,
Josh Morrissey,Winnipeg,D,81,7,18,25,9,2,45,149,160,105,,,,
Mattias Ekholm,Nashville,D,81,8,24,32,12,7,42,69,112,126,,,,
Justin Schultz,Pittsburgh,D,69,6,27,33,15,12,20,44,87,122,,,,
Brady Skjei,N.Y. Rangers,D,81,5,31,36,-8,8,46,157,110,156,,,,
Marc-Edouard Vlasic,San Jose,D,76,9,22,31,9,6,38,30,156,146,,,,
Hampus Lindholm,Anaheim,D,73,11,18,29,10,9,36,88,101,127,,,,
Oskar Klefbom,Edmonton,D,74,9,22,31,-3,11,12,46,141,202,,,,
Adam Larsson,Edmonton,D,72,4,12,16,9,0,50,246,147,84,,,,
Jaccob Slavin,Carolina,D,82,7,26,33,9,3,12,41,158,127,,,,
Alex Goligoski,Arizona,D,80,9,27,36,-7,9,28,116,152,120,,,,
Johnny Boychuk,N.Y. Islanders,D,68,7,15,22,3,3,28,147,136,164,,,,
Alexander Edler,Vancouver,D,65,6,24,30,-9,11,54,126,163,148,,,,
Kevin Shattenkirk,N.Y. Rangers,D,67,10,32,42,-12,20,50,72,93,145,,,,
Will Butcher,New Jersey,D,80,6,39,45,-1,24,14,23,70,98,,,,
Jacob Trouba,Winnipeg,D,65,7,19,26,6,4,48,105,129,137,,,,
Sami Vatanen,New Jersey,D,72,5,27,32,-2,16,32,86,111,137,,,,
Radko Gudas,Philadelphia,D,71,4,14,18,2,0,93,231,132,137,,,,
Nick Leddy,N.Y. Islanders,D,81,9,34,43,-14,16,20,88,101,141,,,,
Anton Stralman,Tampa Bay,D,77,6,18,24,14,3,20,104,93,129,,,,
Colin Miller,Vegas,D,75,9,23,32,-2,11,66,133,61,144,,,,
Justin Braun,San Jose,D,80,4,21,25,6,0,30,130,151,110,,,,
Cam Fowler,Anaheim,D,72,8,26,34,1,13,26,28,116,136,,,,
Esa Lindell,Dallas,D,78,7,16,23,9,5,24,95,126,119,,,,
Erik Johnson,Colorado,D,67,8,17,25,-7,4,44,122,156,167,,,,
Tyler Myers,Winnipeg,D,70,7,23,30,6,8,55,56,98,131,,,,
Dion Phaneuf,Los Angeles,D,77,6,21,27,-10,10,69,149,132,135,,,,
Calvin De Haan,Carolina,D,71,3,16,19,10,1,22,117,162,99,,,,
Olli Maatta,Pittsburgh,D,72,5,16,21,10,4,22,104,105,122,,,,
David Savard,Columbus,D,75,4,16,20,4,0,38,135,130,136,,,,
Noah Hanifin,Calgary,D,80,7,28,35,-8,11,24,72,73,150,,,,
Vince Dunn,St. Louis,D,77,6,22,28,3,10,22,34,69,159,,,,
Thomas Chabot,Ottawa,D,78,11,23,34,-9,11,20,63,90,132,,,,
Rasmus Dahlin,Buffalo,D,77,7,20,27,-5,8,32,80,80,120,,,,
T.J. Brodie,Calgary,D,74,5,31,36,-3,11,20,23,104,98,,,,
Stephen Johns,Dallas,D,75,6,9,15,-3,0,42,207,153,113,,,,
Jakob Chychrun,Arizona,D,70,8,16,24,-4,4,42,122,115,124,,,,
Travis Dermott,Toronto,D,75,3,22,25,10,0,16,96,72,108,,,,
Miro Heiskanen,Dallas,D,75,7,18,25,6,5,20,50,75,125,,,,
Neal Pionk,N.Y. Rangers,D,70,3,27,30,-3,10,26,103,85,121,,,,
Cody Ceci,Ottawa,D,80,6,16,22,-11,3,16,132,166,143,,,,
Mike Green,Detroit,D,69,9,25,34,-11,14,38,82,78,128,,,,
Filip Hronek,Detroit,D,75,6,16,22,4,7,40,75,100,110,,,,
Nick Holden,Vegas,D,77,6,16,22,1,4,22,163,93,86,,,,
Michael Del Zotto,Vancouver,D,67,5,15,20,-7,3,35,201,111,112,,,,
Michael Matheson,Florida,D,81,8,14,22,-3,3,50,62,128,174,,,,
Joel Edmundson,St. Louis,D,70,5,11,16,3,0,65,143,127,116,,,,
Matt Benning,Edmonton,D,74,5,15,20,6,2,43,143,80,100,,,,
Nikita Zaitsev,Toronto,D,73,5,20,25,-7,6,34,145,135,80,,,,
Nate Schmidt,Vegas,D,57,4,15,19,8,6,18,52,81,78,,,,
Nikita Zadorov,Colorado,D,74,4,16,20,-7,3,85,225,93,79,,,,
Karl Alzner,Montreal,D,82,2,13,15,3,0,34,130,164,81,,,,
Kris Russell,Edmonton,D,72,3,15,18,-3,2,12,75,217,79,,,,
Pekka Rinne,Nashville,G,61,,,,,,,,,,38,2.38,0.92,6
Andrei Vasilevskiy,Tampa Bay,G,62,,,,,,,,,,39,2.55,0.919,5
Connor Hellebuyck,Winnipeg,G,64,,,,,,,,,,37,2.49,0.919,5
Braden Holtby,Washington,G,59,,,,,,,,,,39,2.56,0.916,3
Jonathan Quick,Los Angeles,G,65,,,,,,,,,,34,2.32,0.919,5
Devan Dubnyk,Minnesota,G,63,,,,,,,,,,35,2.4,0.919,5
Tuukka Rask,Boston,G,59,,,,,,,,,,34,2.37,0.916,5
Sergei Bobrovsky,Columbus,G,60,,,,,,,,,,34,2.41,0.92,4
John Gibson,Anaheim,G,60,,,,,,,,,,31,2.28,0.924,5
Matt Murray,Pittsburgh,G,55,,,,,,,,,,34,2.56,0.917,3
Frederik Andersen,Toronto,G,62,,,,,,,,,,36,2.74,0.918,4
Martin Jones,San Jose,G,63,,,,,,,,,,33,2.44,0.915,4
Carey Price,Montreal,G,56,,,,,,,,,,27,2.63,0.919,2
Henrik Lundqvist,N.Y. Rangers,G,62,,,,,,,,,,29,2.79,0.915,2
Antti Raanta,Arizona,G,52,,,,,,,,,,27,2.25,0.923,5
Ben Bishop,Dallas,G,54,,,,,,,,,,27,2.41,0.917,4
Marc-Andre Fleury,Vegas,G,47,,,,,,,,,,28,2.45,0.921,3
Jake Allen,St. Louis,G,57,,,,,,,,,,28,2.56,0.912,3
Mike Smith,Calgary,G,55,,,,,,,,,,25,2.69,0.915,3
Roberto Luongo,Florida,G,43,,,,,,,,,,22,2.49,0.923,3
Corey Crawford,Chicago,G,35,,,,,,,,,,20,2.37,0.925,2
Brian Elliott,Philadelphia,G,44,,,,,,,,,,24,2.48,0.914,2
Cam Talbot,Edmonton,G,48,,,,,,,,,,25,2.75,0.913,3
Philipp Grubauer,Colorado,G,44,,,,,,,,,,20,2.46,0.922,2
Craig Anderson,Ottawa,G,54,,,,,,,,,,25,2.87,0.911,3
Cam Ward,Chicago,G,49,,,,,,,,,,23,2.64,0.907,2
Cory Schneider,New Jersey,G,50,,,,,,,,,,23,2.7,0.913,2
Mikko Koskinen,Edmonton,G,36,,,,,,,,,,18,2.51,0.916,3
James Reimer,Florida,G,43,,,,,,,,,,20,2.76,0.917,3
Carter Hutton,Buffalo,G,37,,,,,,,,,,17,2.55,0.918,3
Semyon Varlamov,Colorado,G,41,,,,,,,,,,19,2.63,0.916,2
Linus Ullmark,Buffalo,G,45,,,,,,,,,,19,2.61,0.916,1
Scott Darling,Carolina,G,43,,,,,,,,,,20,2.83,0.904,2
Jonathan Bernier,Detroit,G,42,,,,,,,,,,19,2.72,0.913,2
Robin Lehner,N.Y. Islanders,G,47,,,,,,,,,,19,2.79,0.915,2
Malcolm Subban,Vegas,G,35,,,,,,,,,,19,2.73,0.909,1
Jacob Markstrom,Vancouver,G,45,,,,,,,,,,18,2.69,0.912,1
Petr Mrazek,Carolina,G,41,,,,,,,,,,18,2.86,0.906,3
Jimmy Howard,Detroit,G,44,,,,,,,,,,17,2.65,0.914,1
Juuse Saros,Nashville,G,24,,,,,,,,,,11,2.4,0.924,2
Garret Sparks,Toronto,G,22,,,,,,,,,,12,2.48,0.919,2
Keith Kinkaid,New Jersey,G,33,,,,,,,,,,16,2.74,0.912,1
Aaron Dell,San Jose,G,21,,,,,,,,,,10,2.32,0.922,1
Ryan Miller,Anaheim,G,27,,,,,,,,,,11,2.55,0.918,2
Casey DeSmith,Pittsburgh,G,28,,,,,,,,,,12,2.51,0.916,1
Anton Khudobin,Dallas,G,29,,,,,,,,,,13,2.62,0.91,1
Darcy Kuemper,Arizona,G,30,,,,,,,,,,12,2.65,0.912,2
Michal Neuvirth,Philadelphia,G,26,,,,,,,,,,12,2.57,0.912,1
Thomas Greiss,N.Y. Islanders,G,37,,,,,,,,,,16,2.93,0.906,1
Jaroslav Halak,Boston,G,26,,,,,,,,,,11,2.87,0.913,2
