team,age,name,position_yahoo,rollup,vorp,vorn,round,pick,rank,arbitrage,target
NYR,,Adam Fox,D,36.0,-4.2,-6.3,10.0,114.0,97.0,17.0,False
Cls,26.0,Joonas Korpisalo,G,70.5,-4.2,,11.0,124.0,98.0,26.0,False
TB,29.0,Blake Coleman,"LW,RW",39.3,-4.2,-5.7,14.0,157.0,99.0,58.0,False
Edm,29.0,Tyson Barrie,D,35.9,-4.3,-7.6,9.0,98.0,100.0,-2.0,False
Min,31.0,Jared Spurgeon,D,35.7,-4.4,5.6,16.0,183.0,101.0,82.0,False
Cgy,,Jacob Markstrom,G,70.2,-4.5,4.5,7.0,77.5,102.0,-24.5,False
Cgy,27.0,Johnny Gaudreau,"LW,RW",38.9,-4.6,-1.7,5.0,48.0,103.0,-55.0,False
Dal,28.0,John Klingberg,D,35.5,-4.7,-4.8,8.0,95.0,104.0,-9.0,False
StL,32.0,David Perron,"LW,RW",38.6,-5.0,0.3,11.0,127.0,105.0,22.0,False
Nsh,26.0,Filip Forsberg,LW,40.6,-5.0,-2.7,6.0,68.0,106.0,-38.0,False
Ari,22.0,Jakob Chychrun,D,35.1,-5.0,,23.0,264.5,107.0,157.5,False
NYR,27.0,Ryan Strome,"C,RW",38.3,-5.3,-5.1,12.0,141.0,108.0,33.0,False
Fla,27.0,Jonathan Huberdeau,LW,40.3,-5.3,-12.0,3.0,24.0,109.0,-85.0,False
SJ,24.0,Timo Meier,"LW,RW",38.2,-5.4,0.5,8.0,88.0,110.0,-22.0,False
Min,35.0,Ryan Suter,D,34.6,-5.5,-7.6,12.0,143.0,111.0,32.0,False
TB,29.0,Ondrej Palat,LW,39.9,-5.7,10.9,15.0,178.0,112.0,66.0,False
Was,,Ilya Samsonov,G,68.9,-5.7,-15.2,4.0,46.0,113.0,-67.0,False
Mon,26.0,Josh Anderson,RW,37.7,-5.9,5.0,19.0,222.5,114.0,108.5,False
Min,24.0,Kevin Fiala,"LW,RW",37.7,-5.9,-2.1,9.0,96.0,115.0,-19.0,False
NYI,30.0,Anders Lee,LW,39.6,-6.0,0.3,9.0,106.0,116.0,-10.0,False
Mon,33.0,Carey Price,G,68.6,-6.1,-17.6,5.0,50.0,117.0,-67.0,False
VGK,29.0,Reilly Smith,RW,37.3,-6.2,-2.0,13.0,154.0,118.0,36.0,False
Edm,,Kailer Yamamoto,RW,37.3,-6.2,-2.4,9.0,103.0,119.0,-16.0,False
Dal,31.0,Jamie Benn,"C,LW",39.3,-6.3,0.7,10.0,118.0,120.0,-2.0,False
