team,age,name,position_yahoo,rollup,vorp,vorn,round,pick,rank,arbitrage,target
Van,25.0,Bo Horvat,C,36.3,-10.9,3.2,13.0,147.0,181.0,-34.0,False
SJ,31.0,Logan Couture,C,36.2,-10.9,6.1,10.0,112.0,182.0,-70.0,False
StL,28.0,Justin Faulk,D,29.2,-11.0,-5.9,22.0,257.5,183.0,74.5,False
Phi,31.0,Jakub Voracek,RW,32.5,-11.0,-2.2,17.0,197.5,184.0,13.5,False
Pit,25.0,Tristan Jarry,G,63.4,-11.2,-16.3,6.0,61.0,185.0,-124.0,False
TB,31.0,Alex Killorn,"LW,RW",32.2,-11.3,-2.5,17.0,201.5,186.0,15.5,False
Cgy,31.0,Mikael Backlund,"C,RW",32.2,-11.3,4.9,21.0,245.0,187.0,58.0,False
VGK,,Cody Glass,"C,RW",32.1,-11.4,-0.4,16.0,189.5,188.0,1.5,False
Mon,,Nick Suzuki,"C,RW",32.0,-11.6,-2.8,17.0,201.5,189.0,12.5,False
Edm,,Jesse Puljujarvi,RW,31.6,-12.0,-8.6,20.0,232.0,190.0,42.0,False
Mon,28.0,Tyler Toffoli,"LW,RW",31.6,-12.0,4.3,21.0,249.0,191.0,58.0,False
Cgy,26.0,Sean Monahan,C,35.1,-12.0,2.0,13.0,146.0,192.0,-46.0,False
Pit,,John Marino,D,28.0,-12.1,-5.1,18.0,208.5,193.0,15.5,False
Pit,24.0,Kasperi Kapanen,"LW,RW",31.3,-12.2,-3.4,17.0,203.0,194.0,9.0,False
Col,26.0,Devon Toews,D,27.7,-12.4,-7.4,22.0,255.0,195.0,60.0,False
StL,24.0,Vince Dunn,D,27.7,-12.4,-7.4,22.0,252.5,196.0,56.5,False
NYI,29.0,Brock Nelson,C,34.6,-12.5,-2.3,21.0,250.5,197.0,53.5,False
NJ,36.0,Corey Crawford,G,61.8,-12.8,-2.7,23.0,268.0,198.0,70.0,False
Was,28.0,Evgeny Kuznetsov,C,34.3,-12.8,-8.3,5.0,59.0,199.0,-140.0,False
NJ,28.0,Nikita Gusev,"LW,RW",30.6,-12.9,,24.0,283.0,200.0,83.0,False
Bos,24.0,Jake DeBrusk,"LW,RW",30.6,-13.0,-4.2,17.0,195.5,201.0,-5.5,False
Ari,33.0,Phil Kessel,RW,30.4,-13.1,-4.3,17.0,197.5,202.0,-4.5,False
SJ,27.0,Tomas Hertl,"C,LW",32.4,-13.2,3.1,12.0,137.0,203.0,-66.0,False
Buf,25.0,Sam Reinhart,"C,RW",30.1,-13.4,-8.2,11.0,123.0,204.0,-81.0,False
Bos,28.0,Charlie Coyle,"C,RW",29.9,-13.6,-4.8,17.0,192.0,205.0,-13.0,False
Mon,27.0,Phillip Danault,C,33.5,-13.6,7.1,22.0,260.0,206.0,54.0,False
Det,24.0,Dylan Larkin,C,33.5,-13.7,-6.0,12.0,133.0,207.0,-74.0,False
Col,28.0,Brandon Saad,"LW,RW",29.9,-13.7,-4.9,17.0,200.0,208.0,-8.0,False
TB,23.0,Anthony Cirelli,C,33.4,-13.7,-3.5,21.0,240.5,209.0,31.5,False
Was,,Jakub Vrana,LW,31.7,-13.8,-7.6,9.0,104.0,210.0,-106.0,False
Dal,23.0,Denis Gurianov,"LW,RW",29.5,-14.0,,24.0,279.0,211.0,68.0,False
NJ,22.0,Nico Hischier,C,33.1,-14.0,7.8,14.0,162.0,212.0,-50.0,False
Chi,23.0,Dylan Strome,"C,RW",29.3,-14.2,-10.8,20.0,238.5,213.0,25.5,False
Phi,24.0,Travis Sanheim,D,25.4,-14.7,-20.3,21.0,240.5,214.0,26.5,False
Det,25.0,Tyler Bertuzzi,"LW,RW",28.7,-14.8,-8.9,18.0,214.0,215.0,-1.0,False
SJ,25.0,Kevin Labanc,"LW,RW",28.7,-14.9,,24.0,281.0,216.0,65.0,False
Anh,27.0,John Gibson,G,59.0,-15.7,3.5,14.0,161.0,217.0,-56.0,False
Car,27.0,Vincent Trocheck,C,31.4,-15.7,-3.2,20.0,238.5,218.0,20.5,False
Dal,24.0,Roope Hintz,"C,LW",29.8,-15.8,-7.0,21.0,242.5,219.0,23.5,False
Ari,22.0,Clayton Keller,"LW,RW",27.7,-15.8,-8.0,23.0,274.0,220.0,54.0,False
Nsh,29.0,Matt Duchene,"C,RW",27.7,-15.9,-11.6,13.0,152.0,221.0,-69.0,False
NJ,,Jack Hughes,"C,LW",29.6,-16.0,-15.5,14.0,159.0,222.0,-63.0,False
Chi,32.0,Jonathan Toews,C,31.1,-16.1,-2.0,13.0,149.0,223.0,-74.0,False
Bos,34.0,David Krejci,C,31.0,-16.1,0.3,18.0,211.0,224.0,-13.0,False
NYI,31.0,Josh Bailey,"LW,RW",27.3,-16.3,-9.6,22.0,257.5,225.0,32.5,False
Min,,Kirill Kaprizov,LW,29.2,-16.3,-10.1,13.0,148.0,226.0,-78.0,False
Phi,28.0,Kevin Hayes,C,30.7,-16.4,-6.4,19.0,226.0,227.0,-1.0,False
StL,29.0,Vladimir Tarasenko,RW,27.0,-16.5,-8.7,15.0,175.5,228.0,-52.5,False
Cls,25.0,Max Domi,"C,LW",28.9,-16.6,-3.3,16.0,180.0,229.0,-49.0,False
Ott,26.0,Matt Murray,G,58.0,-16.7,-6.6,23.0,275.0,230.0,45.0,False
Bos,,Jaroslav Halak,G,58.0,-16.7,,11.0,126.0,231.0,-105.0,False
Tor,,T.J. Brodie,D,23.3,-16.9,-9.9,18.0,204.5,232.0,-27.5,False
Buf,28.0,Jeff Skinner,LW,28.6,-16.9,-7.1,23.0,264.5,233.0,31.5,False
Buf,27.0,Linus Ullmark,G,57.1,-17.5,27.1,16.0,186.5,234.0,-47.5,False
Dal,28.0,Tyler Seguin,"C,RW",25.3,-18.2,-10.4,15.0,175.5,235.0,-59.5,False
LA,34.0,Jonathan Quick,G,55.5,-19.2,-1.7,15.0,171.5,236.0,-64.5,False
Phi,31.0,James van Riemsdyk,LW,26.3,-19.3,-7.1,18.0,206.0,237.0,-31.0,False
NYR,,Kaapo Kakko,RW,24.1,-19.4,-10.6,17.0,194.0,238.0,-44.0,False
Mon,,Alexander Romanov,D,20.7,-19.5,-13.1,19.0,227.0,239.0,-12.0,False
Min,26.0,Matt Dumba,D,20.7,-19.5,-19.0,13.0,145.0,240.0,-95.0,False
