name,team,position,pick
Jake Allen,Mon,G,164.4
Cody Glass,VGK,"C,RW",164.4
Nick Suzuki,Mon,"C,RW",164.7
Kasperi Kapanen,Pit,"LW,RW",165.0
Evgenii Dadonov,Ott,"LW,RW",166.2
Alex Tuch,VGK,"LW,RW",166.3
John Marino,Pit,D,166.4
David Krejci,Bos,C,166.5
Zach Parise,Min,LW,167.0
Ryan McDonagh,TB,D,167.1
Tyler Bertuzzi,Det,"LW,RW",167.4
Jack Campbell,Tor,G,167.5
T.J. Brodie,Tor,D,167.6
Carter Hutton,Buf,G,167.7
P.K. Subban,NJ,D,167.7
Cam Talbot,Min,G,167.9
Brandon Carlo,Bos,D,167.9
Chris Driedger,Fla,G,167.9
Calvin Petersen,LA,G,168.1
Antti Raanta,Ari,G,168.2
Josh Anderson,Mon,RW,168.4
Dmitry Orlov,Was,D,168.4
Kevin Hayes,Phi,C,168.5
Duncan Keith,Chi,D,168.5
Jason Zucker,Pit,"LW,RW",168.6
Travis Sanheim,Phi,D,169.1
Alexander Romanov,Mon,D,169.3
Roope Hintz,Dal,"C,LW",169.4
Ben Chiarot,Mon,D,169.4
Andre Burakovsky,Col,"LW,RW",169.5
Samuel Girard,Col,D,169.5
James Reimer,Car,G,169.5
Jesse Puljujarvi,Edm,RW,169.8
Casey DeSmith,Pit,G,170.0
Jean-Gabriel Pageau,NYI,C,170.3
Anthony Cirelli,TB,C,170.4
Ryan Johansen,Nsh,C,170.5
Matt Grzelcyk,Bos,D,170.6
Martin Jones,SJ,G,170.9
Dylan Strome,Chi,"C,RW",171.0
Mark Borowiecki,Nsh,D,171.0
Esa Lindell,Dal,D,171.2
Vincent Trocheck,Car,C,171.3
Alec Martinez,VGK,D,171.3
Tyler Toffoli,Mon,"LW,RW",171.4
Ilya Sorokin,NYI,G,171.4
Brock Nelson,NYI,C,171.5
Mattias Ekholm,Nsh,D,171.5
Robert Thomas,StL,"C,RW",171.5
Erik Gustafsson,Phi,D,171.7
Oliver Bjorkstrand,Cls,"LW,RW",171.8
Mikael Backlund,Cgy,"C,RW",171.9
Jonathan Drouin,Mon,"C,LW",172.0
Pavel Buchnevich,NYR,RW,172.1
Nikita Zadorov,Chi,D,172.2
Devon Toews,Col,D,172.3
Josh Bailey,NYI,"LW,RW",172.4
Vince Dunn,StL,D,172.6
Brandon Tanev,Pit,"LW,RW",173.0
Phillip Danault,Mon,C,173.4
Alexander Edler,Van,D,173.6
William Karlsson,VGK,C,173.9
Justin Faulk,StL,D,174.2
Zach Hyman,Tor,"C,LW",174.4
Jeff Skinner,Buf,LW,174.5
Eric Staal,Buf,C,174.5
Jakob Chychrun,Ari,D,174.5
Mikko Lehtonen,Tor,D,174.9
Bowen Byram,Col,D,175.0
Clayton Keller,Ari,"LW,RW",175.1
Paul Stastny,Wpg,C,175.1
Dustin Brown,LA,RW,175.2
Josh Morrissey,Wpg,D,175.2
Corey Crawford,NJ,G,175.6
Nick Foligno,Cls,"LW,RW",176.3
Matt Murray,Ott,G,176.3
Mikko Koskinen,Edm,G,177.2
MacKenzie Blackwood,NJ,G,178.2
Denis Gurianov,Dal,"LW,RW",178.9
Rickard Rakell,Anh,"LW,RW",179.0
Alexandar Georgiev,NYR,G,182.0
Kevin Labanc,SJ,"LW,RW",182.1
Nikita Gusev,NJ,"LW,RW",182.7
Alex Stalock,Min,G,184.1
Devan Dubnyk,SJ,G,184.4
Henrik Lundqvist,Was,G,185.2
