team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round,target
Phi,23.0,Ivan Provorov,1.0,1.0,D,D,31.6,-3.1,103.5,13.0,33.5,-20.5,9.0,False
Cls,,Zach Werenski,1.0,1.0,D,D,34.7,0.0,104.5,14.0,21.0,-7.0,9.0,False
VGK,25.0,Shea Theodore,2.0,1.0,D,D,37.9,3.2,105.0,15.0,11.0,4.0,9.0,True
TB,29.0,Blake Coleman,3.0,,"LW,RW",LW,37.8,-11.5,108.0,23.0,24.0,-1.0,10.0,False
Mon,30.0,Tomas Tatar,1.0,2.0,"LW,RW",LW,38.1,-11.1,108.5,24.0,22.0,2.0,10.0,False
Was,,Jakub Vrana,2.0,2.0,LW,LW,31.1,-18.2,109.5,25.0,34.0,-9.0,10.0,False
Nsh,27.0,Viktor Arvidsson,1.0,1.0,"LW,RW",LW,30.5,-18.8,110.0,26.0,35.0,-9.0,10.0,False
NJ,29.0,Kyle Palmieri,1.0,1.0,RW,RW,37.4,-8.5,110.5,22.0,20.0,2.0,10.0,False
StL,28.0,Jaden Schwartz,2.0,2.0,LW,LW,36.6,-12.7,112.0,27.0,26.5,0.5,10.0,False
Cls,25.0,Max Domi,2.0,1.0,"C,LW",LW,31.2,-18.1,113.5,28.0,33.0,-5.0,10.0,False
Mon,35.0,Shea Weber,1.0,1.0,D,D,35.0,0.3,117.0,16.0,19.0,-3.0,10.0,False
Van,25.0,Bo Horvat,2.0,1.0,C,C,35.6,-14.6,117.0,30.0,29.0,1.0,10.0,False
Cls,26.0,Seth Jones,1.0,2.0,D,D,33.7,-1.0,118.5,17.0,26.0,-9.0,10.0,False
Mon,33.0,Carey Price,,,G,G,44.9,-15.3,118.5,18.0,26.0,-8.0,10.0,False
TB,23.0,Anthony Cirelli,2.0,2.0,C,C,29.2,-20.9,119.5,31.0,41.0,-10.0,10.0,False
Was,,T.J. Oshie,2.0,1.0,RW,RW,33.8,-12.1,120.5,23.0,33.0,-10.0,11.0,False
Nsh,25.0,Juuse Saros,,,G,G,60.0,-0.2,122.5,19.0,9.5,9.5,11.0,True
NYI,26.0,Ryan Pulock,1.0,1.0,D,D,35.0,0.2,124.0,18.0,20.0,-2.0,11.0,False
Van,23.0,Brock Boeser,1.0,1.0,RW,RW,35.3,-10.6,124.0,24.0,28.0,-4.0,11.0,False
NYR,,Adam Fox,2.0,2.0,D,D,29.0,-5.7,125.5,19.0,40.0,-21.0,11.0,False
Cls,31.0,Cam Atkinson,2.0,2.0,RW,RW,36.0,-9.9,125.5,25.0,25.0,0.0,11.0,False
Min,,Kirill Kaprizov,1.0,1.0,LW,LW,29.5,-19.8,125.5,29.0,38.0,-9.0,11.0,False
NYI,29.0,Brock Nelson,2.0,2.0,C,C,32.0,-18.1,128.5,32.0,33.0,-1.0,11.0,False
SJ,27.0,Tomas Hertl,2.0,1.0,"C,LW",C,31.3,-18.8,130.0,33.0,36.0,-3.0,11.0,False
TB,29.0,Ondrej Palat,1.0,1.0,LW,LW,35.6,-13.7,130.5,30.0,28.0,2.0,11.0,False
Col,29.0,Philipp Grubauer,,,G,G,72.2,12.1,130.5,20.0,4.0,16.0,11.0,True
Cls,26.0,Joonas Korpisalo,,,G,G,52.6,-7.5,132.0,21.0,19.0,2.0,12.0,False
Chi,25.0,Dominik Kubalik,2.0,1.0,"LW,RW",RW,34.8,-11.1,134.0,26.0,30.0,-4.0,12.0,False
NYR,,Tony DeAngelo,,,D,D,34.1,-0.6,134.0,20.0,24.0,-4.0,12.0,False
Wpg,24.0,Nikolaj Ehlers,1.0,2.0,"LW,RW",RW,33.3,-12.6,135.5,27.0,34.0,-7.0,12.0,False
Ari,29.0,Oliver Ekman-Larsson,1.0,1.0,D,D,32.1,-2.6,135.5,21.0,31.0,-10.0,12.0,False
Mon,28.0,Tyler Toffoli,3.0,1.0,"LW,RW",RW,32.2,-13.7,136.0,28.0,37.0,-9.0,12.0,False
Mon,33.0,Jeff Petry,2.0,1.0,D,D,36.8,2.1,136.0,22.0,13.0,9.0,12.0,False
Nsh,30.0,Ryan Ellis,1.0,2.0,D,D,32.9,-1.8,136.5,23.0,28.0,-5.0,12.0,False
Buf,25.0,Victor Olofsson,1.0,1.0,"LW,RW",RW,33.2,-12.7,137.5,29.0,35.0,-6.0,12.0,False
VGK,27.0,William Karlsson,2.0,1.0,C,C,33.9,-16.3,137.5,34.0,31.0,3.0,12.0,False
Min,24.0,Kevin Fiala,2.0,1.0,"LW,RW",RW,38.0,-7.9,138.5,30.0,19.0,11.0,12.0,False
Cgy,,Jacob Markstrom,,,G,G,54.0,-6.2,138.5,22.0,15.0,7.0,12.0,False
Ott,,Evgenii Dadonov,1.0,1.0,"LW,RW",RW,35.9,-10.0,139.0,31.0,26.5,4.5,12.0,False
Mon,26.0,Josh Anderson,2.0,2.0,RW,RW,34.5,-11.4,141.0,32.0,31.0,1.0,12.0,False
Cls,25.0,Oliver Bjorkstrand,1.0,2.0,"LW,RW",LW,36.9,-12.4,142.0,31.0,25.0,6.0,12.0,False
VGK,,Marc-Andre Fleury,,,G,G,35.8,-24.4,142.5,23.0,30.0,-7.0,12.0,False
Buf,,Rasmus Dahlin,2.0,1.0,D,D,34.5,-0.2,144.5,24.5,22.0,2.5,13.0,False
Van,,Quinn Hughes,2.0,1.0,D,D,34.2,-0.5,144.5,24.5,23.0,1.5,13.0,False
