team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round,target
Chi,23.0,Dylan Strome,1.0,1.0,"C,RW",C,27.5,-22.6,206.5,42.0,45.0,-3.0,18.0,False
Dal,36.0,Joe Pavelski,2.0,1.0,"C,RW",RW,31.6,-14.3,207.0,47.0,40.0,7.0,18.0,False
Car,27.0,Vincent Trocheck,2.0,1.0,C,C,32.2,-18.0,207.0,43.0,32.0,11.0,18.0,False
Min,35.0,Ryan Suter,1.0,2.0,D,D,30.6,-4.1,207.5,41.0,37.0,4.0,18.0,False
Buf,36.0,Eric Staal,2.0,2.0,C,C,25.9,-24.2,208.5,44.0,47.0,-3.0,18.0,False
Phi,31.0,James van Riemsdyk,3.0,2.0,LW,LW,26.2,-23.1,210.5,39.0,42.5,-3.5,18.0,False
Mon,25.0,Jonathan Drouin,2.0,1.0,"C,LW",LW,28.9,-20.4,212.0,40.0,40.5,-0.5,18.0,False
Car,26.0,Jaccob Slavin,1.0,,D,D,23.2,-11.5,213.5,42.0,54.0,-12.0,18.0,False
NYI,28.0,Jean-Gabriel Pageau,3.0,2.0,C,C,31.3,-18.9,216.0,45.5,37.5,8.0,19.0,False
Van,25.0,Thatcher Demko,,,G,G,32.1,-28.1,216.0,32.0,32.0,0.0,19.0,False
Bos,34.0,David Krejci,2.0,1.0,C,C,28.3,-21.8,216.0,45.5,44.0,1.5,19.0,False
VGK,24.0,Alex Tuch,3.0,2.0,"LW,RW",LW,29.9,-19.3,220.5,41.0,36.0,5.0,19.0,False
Tor,31.0,Jake Muzzin,2.0,,D,D,27.3,-7.4,220.5,43.0,43.0,0.0,19.0,False
Fla,32.0,Sergei Bobrovsky,,,G,G,47.6,-12.6,220.5,33.0,22.0,11.0,19.0,False
Wpg,35.0,Paul Stastny,2.0,2.0,C,C,25.6,-24.6,220.5,47.0,48.0,-1.0,19.0,False
Dal,23.0,Denis Gurianov,1.0,1.0,"LW,RW",RW,27.1,-18.8,221.5,48.0,54.0,-6.0,19.0,False
Mon,,Nick Suzuki,2.0,1.0,"C,RW",RW,31.7,-14.2,223.0,49.0,39.0,10.0,19.0,False
Bos,28.0,Charlie Coyle,3.0,1.0,"C,RW",C,26.1,-24.1,226.0,48.0,46.0,2.0,19.0,False
NJ,28.0,Nikita Gusev,1.0,1.0,"LW,RW",RW,31.4,-14.5,228.5,50.0,41.0,9.0,20.0,False
Nsh,30.0,Mattias Ekholm,2.0,,D,D,25.1,-9.6,229.0,44.0,48.5,-4.5,20.0,False
TB,23.0,Erik Cernak,3.0,,D,D,23.5,-11.2,231.0,45.0,53.0,-8.0,20.0,False
NYI,31.0,Josh Bailey,2.0,2.0,"LW,RW",LW,26.2,-23.1,234.0,42.0,42.5,-0.5,20.0,False
Min,26.0,Matt Dumba,,,D,D,27.0,-7.7,239.0,46.0,44.0,2.0,20.0,False
Fla,,Chris Driedger,,,G,G,28.8,-31.4,240.0,34.0,36.0,-2.0,21.0,False
Anh,31.0,Kevin Shattenkirk,1.0,1.0,D,D,25.4,-9.3,242.0,47.0,47.0,0.0,21.0,False
Van,29.0,Nate Schmidt,1.0,2.0,D,D,21.8,-12.9,242.5,48.0,61.5,-13.5,21.0,False
Col,28.0,Brandon Saad,2.0,,"LW,RW",RW,25.8,-20.1,243.0,51.0,56.0,-5.0,21.0,False
Min,31.0,Jared Spurgeon,1.0,1.0,D,D,26.9,-7.8,246.5,49.0,45.0,4.0,21.0,False
SJ,25.0,Kevin Labanc,1.0,2.0,"LW,RW",RW,31.0,-14.9,246.5,52.0,42.0,10.0,21.0,False
Car,32.0,James Reimer,,,G,G,32.0,-28.2,247.0,35.0,33.0,2.0,21.0,False
LA,,Calvin Petersen,,,G,G,26.7,-33.4,248.0,36.0,40.0,-4.0,21.0,False
NYR,24.0,Alexandar Georgiev,,,G,G,18.1,-42.1,249.0,37.0,47.0,-10.0,21.0,False
VGK,33.0,Ryan Reaves,4.0,,RW,RW,24.9,-21.0,249.5,53.0,57.0,-4.0,21.0,False
Bos,27.0,Matt Grzelcyk,2.0,1.0,D,D,28.4,-6.3,251.0,50.0,42.0,8.0,21.0,False
Edm,,Jesse Puljujarvi,3.0,2.0,RW,RW,29.4,-16.5,251.5,54.0,47.0,7.0,21.0,False
Bos,24.0,Jake DeBrusk,2.0,2.0,"LW,RW",RW,28.1,-17.8,252.0,55.0,50.5,4.5,22.0,False
Pit,24.0,Kasperi Kapanen,,,"LW,RW",RW,27.2,-18.7,256.0,56.0,53.0,3.0,22.0,False
Fla,25.0,Anthony Duclair,1.0,1.0,"LW,RW",LW,29.1,-20.2,257.0,43.0,39.0,4.0,22.0,False
Anh,27.0,John Gibson,,,G,G,37.1,-23.1,258.5,38.0,29.0,9.0,22.0,False
Van,34.0,Alexander Edler,1.0,2.0,D,D,30.1,-4.6,261.5,51.0,38.0,13.0,22.0,False
Dal,26.0,Esa Lindell,1.0,2.0,D,D,22.6,-12.1,268.0,52.0,55.5,-3.5,23.0,False
Van,31.0,Braden Holtby,,,G,G,40.3,-19.8,268.5,39.0,27.5,11.5,23.0,False
Buf,27.0,Linus Ullmark,,,G,G,29.8,-30.4,270.0,40.0,34.0,6.0,23.0,False
VGK,,Cody Glass,3.0,2.0,"C,RW",RW,29.4,-16.4,271.5,57.0,46.0,11.0,23.0,False
SJ,34.0,Devan Dubnyk,,,G,G,23.6,-36.6,274.5,41.0,45.0,-4.0,23.0,False
Col,22.0,Samuel Girard,2.0,2.0,D,D,23.6,-11.1,276.0,53.0,52.0,1.0,24.0,False
Mon,29.0,Ben Chiarot,1.0,,D,D,22.2,-12.5,280.5,54.0,59.0,-5.0,24.0,False
Was,29.0,Dmitry Orlov,,,D,D,22.6,-12.1,282.0,55.0,55.5,-0.5,24.0,False
Buf,35.0,Carter Hutton,,,G,G,12.0,-48.2,287.0,42.0,51.0,-9.0,24.0,False
Pit,29.0,Casey DeSmith,,,G,G,29.2,-31.0,289.5,43.0,35.0,8.0,25.0,False
Col,26.0,Devon Toews,1.0,2.0,D,D,22.4,-12.3,289.5,56.0,57.0,-1.0,25.0,False
StL,24.0,Vince Dunn,3.0,2.0,D,D,21.8,-12.9,292.0,57.0,61.5,-4.5,25.0,False
Ari,22.0,Jakob Chychrun,2.0,2.0,D,D,25.0,-9.7,292.5,58.0,50.0,8.0,25.0,False
Wpg,,Josh Morrissey,1.0,2.0,D,D,24.2,-10.6,295.5,59.5,51.0,8.5,25.0,False
Chi,37.0,Duncan Keith,1.0,1.0,D,D,22.1,-12.6,295.5,59.5,60.0,-0.5,25.0,False
Ott,,Tim Stuetzle,2.0,2.0,LW,LW,21.9,-27.4,296.0,44.0,44.0,0.0,25.0,False
Det,34.0,Thomas Greiss,,,G,G,16.4,-43.8,297.5,44.0,50.0,-6.0,25.0,False
Chi,25.0,Nikita Zadorov,2.0,,D,D,20.2,-14.5,303.0,61.0,63.0,-2.0,26.0,False
Bos,24.0,Brandon Carlo,2.0,,D,D,20.1,-14.6,308.0,62.0,64.0,-2.0,26.0,False
Ari,31.0,Antti Raanta,,,G,G,27.6,-32.6,312.0,45.0,39.0,6.0,27.0,False
LA,34.0,Jonathan Quick,,,G,G,35.4,-24.8,319.5,46.0,31.0,15.0,27.0,False
Tor,28.0,Jack Campbell,,,G,G,22.2,-37.9,324.0,47.0,46.0,1.0,28.0,False
Pit,,John Marino,2.0,2.0,D,D,19.3,-15.4,325.5,63.0,65.0,-2.0,28.0,False
Phi,28.0,Erik Gustafsson,3.0,2.0,D,D,25.1,-9.6,328.5,64.0,48.5,15.5,28.0,False
Ott,26.0,Matt Murray,,,G,G,26.4,-33.7,328.5,48.0,41.0,7.0,28.0,False
Cgy,28.0,David Rittich,,,G,G,16.8,-43.4,344.5,49.0,48.0,1.0,29.0,False
StL,28.0,Justin Faulk,2.0,,D,D,22.3,-12.4,350.0,65.0,58.0,7.0,30.0,False
Nsh,38.0,Pekka Rinne,,,G,G,28.6,-31.6,374.0,50.0,37.0,13.0,32.0,False
StL,,Robert Thomas,2.0,2.0,"C,RW",C,21.3,-28.9,416.0,49.0,49.0,0.0,35.0,False
TB,31.0,Ryan McDonagh,2.0,,D,D,17.6,-17.1,474.0,66.0,66.0,0.0,40.0,False
SJ,30.0,Martin Jones,,,G,G,23.7,-36.5,524.5,51.0,44.0,7.0,44.0,False
