name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Tom Wilson,WSH,RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.9,15.1,4.8,2.9,113.0,195.1,44.7,,,,
Duncan Keith,CHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.8,22.2,-3.7,6.5,110.7,27.5,107.4,,,,
Joel Eriksson Ek,MIN,C,Daily Faceoff,2021-01-04 20:06:43.044721,7.6,19.3,0.8,0.0,111.2,113.5,37.6,,,,
Jason Robertson,DAL,LW,Daily Faceoff,2021-01-04 20:06:43.044721,12.1,14.7,-0.5,5.6,125.7,20.9,18.1,,,,
Jeff Carter,LA,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,14.1,12.7,-12.7,7.9,143.7,56.4,20.9,,,,
Joel Farabee,PHI,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.9,14.9,3.5,3.2,120.4,33.7,19.0,,,,
Zach Sanford,STL,LW,Daily Faceoff,2021-01-04 20:06:43.044721,12.9,13.8,10.0,1.0,93.2,83.6,36.7,,,,
Drake Batherson,OTT,RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.0,17.4,-14.6,11.5,75.1,119.7,25.8,,,,
Jordan Staal,CAR,C,Daily Faceoff,2021-01-04 20:06:43.044721,9.8,16.4,0.8,3.9,101.6,105.4,20.5,,,,
Frank Vatrano,FLA,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,13.7,12.4,-4.0,3.6,138.2,89.1,42.5,,,,
Alexander Edler,VAN,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.9,20.1,-0.6,8.9,119.5,112.0,151.7,,,,
Blake Lizotte,LA,C,Daily Faceoff,2021-01-04 20:06:43.044721,6.0,19.8,-3.4,2.7,75.2,36.3,19.0,,,,
Brett Connolly,FLA,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,12.7,13.0,4.7,4.2,90.5,60.5,17.5,,,,
Luke Kunin,NSH,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.0,14.7,-5.0,1.4,117.7,67.0,45.0,,,,
Jared McCann,PIT,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,11.0,14.7,4.2,2.5,124.4,58.7,30.9,,,,
Adrian Kempe,LA,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.1,15.5,-2.2,5.0,102.7,66.1,14.9,,,,
Mikko Koivu,CBJ,C,Daily Faceoff,2021-01-04 20:06:43.044721,6.9,18.4,2.7,7.6,88.9,23.8,31.5,,,,
Mikhail Grigorenko,CBJ,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,9.4,15.9,-4.5,3.5,95.6,19.2,25.0,,,,
Ivan Provorov,PHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,7.9,17.3,0.9,5.2,122.1,86.3,110.2,,,,
Cam Fowler,ANA,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.4,18.8,-0.8,7.3,107.3,22.4,81.8,,,,
Josh Morrissey,WPG,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.3,20.0,6.8,5.8,90.6,65.1,95.4,,,,
JT Compher,COL,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.3,14.8,0.4,4.9,92.4,28.4,49.1,,,,
Martin Frk,LA,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.6,13.6,-11.7,6.1,99.1,81.6,11.0,,,,
Mattias Ekholm,NSH,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.5,19.7,9.9,5.1,100.2,45.7,78.0,,,,
Carter Verhaeghe,FLA,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.9,14.2,-9.7,1.0,91.8,46.7,12.9,,,,
Samuel Fagemo,LA,LW,Daily Faceoff,2021-01-04 20:06:43.044721,14.4,10.7,-4.3,4.2,110.8,20.1,13.5,,,,
Tyler Ennis,EDM,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.7,13.3,-3.8,5.0,115.4,63.7,23.7,,,,
Janne Kuokkanen,NJ,RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.8,17.1,-9.8,3.4,74.5,24.6,24.6,,,,
Alex Goligoski,ARI,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.8,20.1,-7.1,6.7,80.7,78.3,108.8,,,,
Warren Foegele,CAR,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.9,13.8,7.4,0.0,104.6,51.9,13.8,,,,
Jordan Greenway,MIN,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.8,16.8,-3.8,1.1,78.5,59.1,32.7,,,,
Nolan Patrick,PHI,C,Daily Faceoff,2021-01-04 20:06:43.044721,10.4,14.1,-2.7,3.5,97.4,48.3,18.1,,,,
Jordan Kyrou,STL,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.5,14.0,0.0,3.4,100.2,17.0,18.7,,,,
Justin Schultz,WSH,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.0,18.5,9.3,8.1,94.7,39.2,71.7,,,,
Morgan Frost,PHI,C,Daily Faceoff,2021-01-04 20:06:43.044721,10.1,14.3,2.9,3.2,112.3,11.4,11.4,,,,
Jakob Chychrun,ARI,D,Daily Faceoff,2021-01-04 20:06:43.044721,8.2,15.8,-2.0,6.8,132.1,80.0,87.6,,,,
Nick Leddy,NYI,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.1,18.9,-8.5,7.3,84.3,54.8,66.0,,,,
Alexandre Texier,CBJ,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.2,13.7,4.7,1.8,95.7,39.0,13.7,,,,
Aleksi Saarela,FLA,C,Daily Faceoff,2021-01-04 20:06:43.044721,9.6,14.3,12.4,3.3,106.9,7.1,21.4,,,,
Calle Jarnkrok,NSH,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.4,13.4,6.9,3.4,92.4,32.5,20.9,,,,
Damon Severson,NJ,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.3,18.6,-15.7,7.4,100.0,69.2,62.9,,,,
Chandler Stephenson,VGS,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.1,13.7,6.5,2.1,69.0,40.2,25.1,,,,
Barrett Hayton,ARI,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,8.2,15.5,5.6,0.0,91.5,47.5,10.2,,,,
Vinnie Hinostroza,FLA,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.7,16.1,0.6,2.8,102.4,40.4,23.2,,,,
Adam Boqvist,CHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,7.4,16.3,-4.1,2.8,83.4,50.0,65.2,,,,
Travis Zajac,NJ,C,Daily Faceoff,2021-01-04 20:06:43.044721,8.0,15.4,-10.2,4.7,71.7,47.2,24.7,,,,
Mark Jankowski,PIT,C,Daily Faceoff,2021-01-04 20:06:43.044721,12.0,11.4,-3.5,0.9,85.1,26.4,46.7,,,,
Jaccob Slavin,CAR,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.5,18.9,9.6,2.8,98.7,35.4,100.7,,,,
Samuel Girard,COL,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.3,20.0,3.3,8.3,79.8,41.8,68.5,,,,
Rocco Grimaldi,NSH,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,8.0,15.2,3.8,0.0,106.2,28.8,17.8,,,,
Jake Muzzin,TOR,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.6,17.5,15.5,1.7,109.8,115.2,103.0,,,,
Vitali Kravtsov,NYR,RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.4,11.5,1.3,2.7,126.9,16.7,16.0,,,,
Hampus Lindholm,ANA,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.1,16.8,0.3,5.5,102.2,58.2,84.2,,,,
Tyler Myers,VAN,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.9,17.0,-5.8,7.7,109.3,65.6,81.0,,,,
Nate Schmidt,VAN,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.4,18.5,-2.2,5.5,82.9,26.1,79.1,,,,
Dillon Dube,CGY,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,8.7,14.0,0.0,2.4,84.1,75.2,16.6,,,,
Vince Dunn,STL,D,Daily Faceoff,2021-01-04 20:06:43.044721,7.3,15.3,7.5,6.8,120.5,33.6,46.0,,,,
Matt Grzelcyk,BOS,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.1,19.6,12.9,10.9,88.3,45.7,52.5,,,,
Liam Foudy,CBJ,C,Daily Faceoff,2021-01-04 20:06:43.044721,8.5,14.0,0.0,0.3,94.1,28.6,12.3,,,,
Shayne Gostisbehere,PHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.9,15.6,-11.2,5.2,110.8,26.3,60.9,,,,
Conor Sheary,WSH,RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.7,11.5,-5.3,3.1,99.9,22.0,22.0,,,,
Dmitri Orlov,WSH,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.6,17.6,8.5,2.9,82.6,89.3,71.5,,,,
Troy Terry,ANA,RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.7,14.4,2.1,5.6,86.7,5.0,15.1,,,,
Blake Coleman,TB,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,13.6,8.5,7.0,1.9,140.4,141.4,30.6,,,,
Wayne Simmonds,TOR,RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.6,10.5,-4.7,7.2,91.2,82.9,22.4,,,,
Lawson Crouse,ARI,LW,Daily Faceoff,2021-01-04 20:06:43.044721,10.6,11.3,1.9,0.0,93.3,190.1,28.4,,,,
Pavel Zacha,NJ,C/LW,Daily Faceoff,2021-01-04 20:06:43.044721,7.8,14.2,-6.0,4.3,82.5,53.6,17.4,,,,
T.J. Brodie,TOR,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.6,17.4,5.2,4.0,73.3,16.7,70.0,,,,
Brady Skjei,CAR,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.8,17.2,-5.5,2.5,106.5,108.4,78.7,,,,
Travis Sanheim,PHI,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.7,16.1,-1.7,2.7,90.3,33.7,73.6,,,,
Nick Bonino,MIN,C,Daily Faceoff,2021-01-04 20:06:43.044721,9.8,11.9,1.4,2.3,79.7,21.2,58.8,,,,
Christian Wolanin,OTT,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.5,15.2,-7.0,3.6,75.7,22.4,56.1,,,,
Filip Chytil,NYR,C/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.5,10.1,-7.5,4.2,118.6,18.3,22.7,,,,
Noah Hanifin,CGY,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.6,17.0,-3.4,4.1,104.8,63.4,61.2,,,,
Sam Steel,ANA,C,Daily Faceoff,2021-01-04 20:06:43.044721,7.8,13.6,-7.1,5.9,76.7,21.4,20.1,,,,
Jimmy Vesey,TOR,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,11.6,9.9,-4.6,3.0,98.3,53.0,24.6,,,,
Jesper Boqvist,NJ,LW,Daily Faceoff,2021-01-04 20:06:43.044721,9.5,12.0,-17.6,3.5,92.6,78.4,33.9,,,,
Justin Faulk,STL,D,Daily Faceoff,2021-01-04 20:06:43.044721,6.9,14.3,-2.4,4.1,118.9,66.3,61.5,,,,
Devon Toews,COL,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.8,16.3,3.9,4.3,89.5,34.8,46.3,,,,
Nick Cousins,NSH,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,7.7,13.4,-3.1,3.2,99.1,78.9,31.4,,,,
Patrick Marleau,SJ,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,9.9,11.2,-4.2,3.8,101.9,48.0,23.8,,,,
Ryan McDonagh,TB,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.1,16.9,11.0,1.0,71.8,54.1,105.7,,,,
Cody Eakin,BUF,C,Daily Faceoff,2021-01-04 20:06:43.044721,8.8,12.1,2.7,1.2,77.3,53.7,25.8,,,,
John Marino,PTI,D,Daily Faceoff,2021-01-04 20:06:43.044721,3.7,17.2,6.4,3.5,61.0,72.0,77.0,,,,
Brandon Montour,BUF,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.1,15.2,2.3,4.4,102.9,61.4,61.9,,,,
Colin Miller,BUF,D,Daily Faceoff,2021-01-04 20:06:43.044721,4.1,16.2,-4.3,6.3,94.3,93.9,46.7,,,,
Esa Lindell,DAL,D,Daily Faceoff,2021-01-04 20:06:43.044721,5.2,14.9,9.2,5.3,89.8,79.3,100.6,,,,
Tage Thompson,BUF,LW/RW,Daily Faceoff,2021-01-04 20:06:43.044721,10.4,9.6,-7.4,1.7,115.5,63.0,10.6,,,,
