name,team,position,source,fetched_at,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,shutouts
Carter Hutton,BUF,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,9.6,2.91,688.4,0.7
Petr Mrazek,CAR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,17.8,2.75,823.6,2.8
James Reimer,CAR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.6,2.84,711.4,1.7
Elvis Merzlikins,CBJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,16.3,2.49,819.3,2.6
Joonas Korpisalo,CBJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.2,2.64,758.6,1.6
Jacob Markstrom,CGY,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.5,2.64,1011.5,1.2
David Rittich,CGY,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.3,2.8,558.9,0.5
Collin Delia,CHI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,11.2,3.1,837.1,1.1
Malcolm Subban,CHI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.9,3.3,840.6,0.4
Philipp Grubauer,COL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,19.7,2.58,924.2,2.7
Pavel Francouz,COL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.8,2.61,692.4,1.0
Ben Bishop,DAL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,9.3,2.43,494.9,1.8
Anton Khudobin,DAL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.6,2.52,986.6,1.2
Thomas Greiss,DET,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,11.2,2.89,897.7,1.2
Jonathan Bernier,DET,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,9.7,2.99,775.4,0.9
Mikko Koskinen,EDM,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,16.8,2.83,869.4,1.9
Mike Smith,EDM,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,13.7,2.96,750.1,1.2
Sergei Bobrovsky,FLA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,17.7,2.77,1121.5,2.7
Chris Driedger,FLA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,6.9,2.9,486.7,0.7
Jonathan Quick,LA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.3,2.79,903.9,1.8
Cal Petersen,LA,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.8,2.82,677.2,1.1
Cam Talbot,MIN,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.7,2.73,903.8,2.0
Alex Stalock,MIN,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.0,2.85,674.9,1.3
Carey Price,MTL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,19.1,2.8,1102.7,2.2
Jake Allen,MTL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,8.3,2.83,480.1,0.9
Corey Crawford,NJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,11.2,2.62,811.4,1.0
Mackenzie Blackwood,NJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.9,2.66,811.5,1.7
Pekka Rinne,NSH,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.1,2.65,797.3,2.1
Juuse Saros,NSH,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.8,2.57,796.0,3.3
Semyon Varlamov,NYI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.4,2.68,912.0,1.5
Ilya Sorokin,NYI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,11.1,2.65,656.2,1.0
Igor Shesterkin,NYR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.4,2.57,1079.6,1.7
Alexandar Georgiev,NYR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.0,2.87,593.9,1.2
Matt Murray,OTT,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.8,2.89,1121.5,1.2
Anders Nilsson,OTT,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,7.0,3.05,572.8,0.6
Carter Hart,PHI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.9,2.62,1016.5,1.9
Brian Elliott,PHI,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.0,2.9,559.2,0.8
Tristan Jarry,PIT,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,15.6,2.63,859.6,2.3
Casey DeSmith,PIT,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,13.5,2.72,742.5,2.6
Devan Dubnyk,SJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,14.6,2.73,857.0,1.6
Martin Jones,SJ,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,11.9,2.86,688.1,1.4
Jordan Binnington,STL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,21.3,2.6,1105.9,3.1
Ville Husso,STL,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,8.5,2.75,440.0,0.9
Andrei Vasilevskiy,TB,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,28.3,2.51,1197.4,4.1
Curtis McElhinney,TB,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,6.9,2.89,432.4,0.9
Frederik Andersen,TOR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,22.3,2.68,1168.8,2.1
Jack Campbell,TOR,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,8.9,2.71,467.0,0.9
Braden Holtby,VAN,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,16.7,2.87,941.6,1.5
Thatcher Demko,VAN,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,12.6,2.75,709.3,0.6
Robin Lehner,VGS,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,17.7,2.38,915.7,3.0
Marc-Andre Fleury,VGS,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,12.3,2.56,634.1,2.2
Connor Hellebuyck,WPG,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,23.1,2.61,1245.2,3.0
Laurent Brossoit,WPG,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,5.1,3.03,409.2,0.2
Ilya Samsonov,WSH,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,18.9,2.57,1023.0,1.7
Vitek Vanecek,WSH,G,Daily Faceoff,2021-01-04 20:06:43.044721,,,,,,,,10.1,2.79,564.0,0.6
