team,age,name,line,ppu,position_yahoo,position,rollup,vorp,yahoo_rank,rp,rp_vorp,rp_arbitrage,round
Was,,Ilya Samsonov,,,G,G,57.8,-4.5,38.5,6.0,14.0,-8.0,4.0
Col,28.0,Gabriel Landeskog,2.0,2.0,"C,LW",LW,54.2,0.5,38.5,14.0,11.0,3.0,4.0
Ott,,Brady Tkachuk,1.0,1.0,LW,LW,53.1,-0.6,39.5,15.0,13.0,2.0,4.0
Bos,35.0,Patrice Bergeron,1.0,1.0,C,C,54.3,-0.8,40.5,15.0,10.0,5.0,4.0
Car,,Teuvo Teravainen,1.0,1.0,"LW,RW",RW,50.4,-0.6,41.5,12.0,12.0,0.0,4.0
Car,,Teuvo Teravainen,1.0,1.0,"LW,RW",LW,50.4,-3.4,41.5,16.0,16.5,-0.5,4.0
Phi,,Carter Hart,,,G,G,66.1,3.8,43.0,7.0,8.0,-1.0,4.0
Car,27.0,Dougie Hamilton,1.0,1.0,D,D,51.8,11.8,45.5,4.0,3.0,1.0,4.0
Cgy,27.0,Johnny Gaudreau,2.0,1.0,"LW,RW",RW,50.3,-0.7,46.5,13.0,13.0,0.0,4.0
Cgy,27.0,Johnny Gaudreau,2.0,1.0,"LW,RW",LW,50.3,-3.4,46.5,17.0,16.5,0.5,4.0
VGK,28.0,Mark Stone,1.0,1.0,RW,RW,53.4,2.4,47.5,14.0,9.0,5.0,4.0
Ari,30.0,Darcy Kuemper,,,G,G,60.4,-1.9,47.5,8.0,11.0,-3.0,4.0
StL,29.0,Ryan O'Reilly,1.0,1.0,C,C,46.7,-8.4,49.0,16.5,25.0,-8.5,5.0
Fla,25.0,Aleksander Barkov,1.0,1.0,C,C,48.1,-7.0,49.0,16.5,19.0,-2.5,5.0
Phi,28.0,Sean Couturier,1.0,1.0,C,C,48.8,-6.3,49.5,18.0,18.0,0.0,5.0
Wpg,27.0,Mark Scheifele,1.0,1.0,C,C,47.8,-7.3,54.0,19.0,20.0,-1.0,5.0
Dal,34.0,Anton Khudobin,,,G,G,75.9,13.6,55.0,9.0,2.0,7.0,5.0
Mon,28.0,Brendan Gallagher,1.0,2.0,RW,RW,46.8,-4.3,55.5,15.0,20.0,-5.0,5.0
SJ,35.0,Brent Burns,1.0,2.0,D,D,45.4,5.4,55.5,5.5,7.5,-2.0,5.0
SJ,35.0,Brent Burns,1.0,1.0,D,D,45.4,5.4,55.5,5.5,7.5,-2.0,5.0
Phi,32.0,Claude Giroux,2.0,1.0,"C,LW",LW,47.5,-6.3,56.0,18.0,24.0,-6.0,5.0
Phi,32.0,Claude Giroux,2.0,1.0,"C,LW",C,47.5,-7.6,56.0,20.0,21.5,-1.5,5.0
Col,,Cale Makar,1.0,1.0,D,D,47.7,7.6,58.5,7.0,5.0,2.0,5.0
