name,age,salary
Nick Bonino,32,4100000.0
Olli Määttä,26,4083300.0
Marcus Pettersson,24,4025175.0
Brett Pesce,26,4025000.0
Nikita Gusev,28,4000000.0
Mathieu Perreault,32,4000000.0
Jaden Schwartz,28,4000000.0
Victor Rask,27,4000000.0
Jeff Petry,33,4000000.0
Josh Anderson,26,4000000.0
Andrew Ladd,35,4000000.0
Ryan Strome,27,4000000.0
Johnny Boychuk,36,4000000.0
David Backes,36,4000000.0
Dustin Brown,36,4000000.0
David Savard,30,4000000.0
Torey Krug,29,4000000.0
Milan Lucic,32,4000000.0
Jake Allen,30,4000000.0
Zachary Werenski,23,4000000.0
Niklas Hjalmarsson,33,4000000.0
Alexander Radulov,34,4000000.0
Casey Cizikas,29,4000000.0
Matt Murray,26,4000000.0
Jacob Markström,30,4000000.0
David Pastrnak,24,4000000.0
Pekka Rinne,38,4000000.0
Marcus Johansson,30,4000000.0
Loui Eriksson,35,4000000.0
Timo Meier,24,4000000.0
Cam Talbot,33,4000000.0
Alec Martinez,33,4000000.0
Colin White,23,4000000.0
Semyon Varlamov,32,4000000.0
Antti Raanta,31,4000000.0
Alex Goligoski,35,4000000.0
Nazem Kadri,30,4000000.0
Jake Gardiner,30,3900000.0
Jaccob Slavin,26,3900000.0
Colin Miller,28,3875000.0
Brandon Montour,26,3850000.0
Elias Lindholm,26,3850000.0
Tanner Pearson,28,3850000.0
Rickard Rakell,27,3800000.0
Mikko Koskinen,32,3800000.0
Mikael Granlund,28,3750000.0
Tyson Barrie,29,3750000.0
Hampus Lindholm,26,3750000.0
Tyler Johnson,30,3750000.0
Charlie McAvoy,23,3700000.0
Will Butcher,25,3600000.0
Alexander Kerfoot,26,3600000.0
Andreas Johnsson,26,3600000.0
Corey Crawford,36,3600000.0
Jason Demers,32,3600000.0
Christopher Tanev,31,3500000.0
Jonas Brodin,27,3500000.0
Reilly Smith,29,3500000.0
Brett Connolly,28,3500000.0
Alexander Steen,36,3500000.0
Zack Kassian,29,3500000.0
Boone Jenner,27,3500000.0
Michael Matheson,26,3500000.0
Bo Horvat,25,3500000.0
Tyler Bertuzzi,25,3500000.0
Ben Bishop,34,3500000.0
Kevin Fiala,24,3500000.0
Ryan Dzingel,28,3500000.0
Bryan Rust,28,3500000.0
Evgeni Dadonov,31,3500000.0
Darcy Kuemper,30,3500000.0
Brandon Tanev,29,3500000.0
Ben Chiarot,29,3500000.0
Pavel Buchnevich,25,3500000.0
Brandon Carlo,24,3500000.0
Jonathan Quick,34,3500000.0
Vincent Trocheck,27,3500000.0
Christian Dvorak,24,3450000.0
Ondrej Palat,29,3445000.0
Dominik Kubalik,25,3400000.0
Colton Parayko,27,3350000.0
Pierre-Luc Dubois,22,3350000.0
Brendan Smith,31,3350000.0
Ryan Pulock,26,3340000.0
Jakob Chychrun,22,3300000.0
Phillip Danault,27,3250000.0
Zack Smith,32,3250000.0
Tyler Toffoli,28,3250000.0
Shayne Gostisbehere,27,3250000.0
Andrew Cogliano,33,3250000.0
Petr Mrázek,28,3250000.0
Travis Sanheim,24,3250000.0
Kevin Labanc,25,3200000.0
Nikita Zadorov,25,3200000.0
Connor Murphy,27,3200000.0
Neal Pionk,25,3150000.0
Derek Ryan,34,3125000.0
James Reimer,32,3100000.0
David Perron,32,3087500.0
Marián Gáborík,38,3075000.0
Darren Helm,33,3000000.0
Eric Staal,36,3000000.0
Jakub Vrána,24,3000000.0
