position,name,ros_total,ros_mean,week_points
QB,Shaun Hill,8.4,0.7636363636363637,0.5
QB,T.J. Yates,0.6,0.06,0.03
QB,Tom Brady,205.5,20.55,21.2
QB,Tom Savage,15.0,1.5,1.2
QB,Tony Romo,136.1,15.122222222222222,NA
QB,Trevone Boykin,9.0,0.8181818181818182,0.8
QB,Trevor Siemian,128.2,12.82,10.6
QB,Tyrod Taylor,173.8,17.380000000000003,17.3
QB,Zach Mettenberger,1.56,0.156,0.7
RB,Aaron Ripkowski,0.11,0.01,0.01
RB,Alex Collins,2.3000000000000003,0.2090909090909091,1.1
RB,Alfred Blue,40.6,4.06,4.2
RB,Alfred Morris,39.1,3.91,NA
RB,Andre Ellington,38.0,3.8,3.6
RB,Anthony Sherman,1.2000000000000002,0.1090909090909091,0.1
RB,Antonio Andrews,23.9,2.39,2.6
RB,Arian Foster,81.4,8.14,8.5
RB,Benny Cunningham,22.2,2.22,2.1
RB,Bilal Powell,56.9,5.69,5.2
RB,Bobby Rainey,23.4,2.34,2.4
RB,Brandon Bolden,14.6,1.46,1.5
RB,C.J. Anderson,98.2,9.82,9.7
RB,C.J. Prosise,11.1,1.009090909090909,2.3
RB,C.J. Spiller,13.6,1.2363636363636363,1.4
RB,Cameron Artis-Payne,49.2,4.92,NA
RB,Carlos Hyde,80.6,8.955555555555556,NA
RB,Charcandrick West,53.1,4.827272727272727,5.4
RB,Chris Ivory,45.4,4.127272727272727,4.3
RB,Chris Polk,23.3,2.588888888888889,NA
RB,Chris Thompson,52.3,5.23,5.2
RB,Christine Michael,127.9,11.627272727272727,11.1
RB,Corey Grant,-0.74,-0.06727272727272728,-0.06
RB,D.J. Foster,12.0,1.2,1.2
RB,Damien Williams,36.0,3.6,3.7
RB,Daniel Lasco,6.3999999999999995,0.5818181818181818,0.6
RB,Darius Jackson,3.0,0.3,NA
RB,Darren McFadden,54.5,5.45,NA
RB,Darren Sproles,68.6,6.236363636363636,6.2
RB,David Johnson,181.0,18.1,16.8
RB,DeAndre Washington,43.7,4.37,4.0
RB,DeAngelo Williams,75.8,7.58,7.2
RB,DeMarco Murray,141.3,14.129999999999999,15.3
RB,Denard Robinson,13.9,1.2636363636363637,1.3
RB,Derrick Henry,34.9,3.49,3.8
RB,Devonta Freeman,94.10000000000001,9.41,13.6
RB,Devontae Booker,40.699999999999996,4.07,4.0
RB,Dexter McCluster,15.600000000000001,1.56,1.6
RB,Dion Lewis,101.8,12.725,NA
RB,Don Jackson,7.9399999999999995,0.7218181818181818,5.5
RB,Doug Martin,98.5,9.85,NA
RB,Duke Johnson,57.5,5.75,5.8
RB,Dwayne Washington,23.9,2.3899999999999997,2.6
RB,Eddie Lacy,95.5,9.55,NA
RB,Ezekiel Elliott,160.8,16.08,NA
RB,Fitzgerald Toussaint,7.5,0.75,0.7
RB,Fozzy Whittaker,29.8,2.98,NA
RB,Frank Gore,99.39999999999999,9.94,9.6
RB,George Atkinson,-0.27,-0.027,-0.02
RB,Giovani Bernard,53.4,5.34,5.6
RB,Isaiah Crowell,86.8,8.68,8.7
RB,Jacquizz Rodgers,58.4,5.309090909090909,6.1
RB,Jalen Richard,40.1,4.01,3.7
RB,Jamaal Charles,76.2,6.927272727272728,7.9
RB,James Starks,45.1,7.516666666666667,NA
RB,James White,69.8,6.98,7.2
RB,Jamize Olawale,16.5,1.65,1.8
RB,Javorius Allen,42.699999999999996,4.27,4.1
RB,Jay Ajayi,74.2,7.42,10.4
RB,Jeremy Hill,62.5,6.25,6.7
RB,Jeremy Langford,102.4,11.377777777777778,NA
RB,Jerick McKinnon,105.1,9.554545454545455,9.3
RB,John Kuhn,41.0,3.727272727272727,3.9
RB,Joique Bell,21.9,2.19,3.2
RB,Jonathan Grimes,24.7,2.7444444444444445,NA
RB,Jonathan Stewart,115.1,11.51,NA
RB,Jonathan Williams,1.12,0.112,0.1
RB,Jordan Howard,119.9,11.99,10.8
RB,Jordan Todman,0.1,0.01,0.01
RB,Josh Ferguson,12.5,1.25,1.2
RB,Justin Forsett,49.4,4.94,5.5
RB,Ka'Deem Carey,18.1,1.81,1.1
RB,Kapri Bibbs,3.2,0.32,0.3
RB,Kendall Hunter,0.15,0.015,NA
RB,Kenjon Barner,19.4,1.7636363636363637,1.7
RB,Kenneth Dixon,13.6,1.3599999999999999,1.3
RB,Kenneth Farrow,32.1,3.21,3.2
RB,Kenyan Drake,14.9,1.49,1.5
RB,Knile Davis,14.4,1.309090909090909,9.5
RB,Kyle Juszczyk,30.4,3.04,2.9
RB,Lamar Miller,124.9,12.49,12.1
RB,Lance Dunbar,16.5,1.6500000000000001,NA
RB,Latavius Murray,77.8,7.78,7.1
RB,Le'Veon Bell,160.4,16.04,15.3
RB,LeGarrette Blount,116.1,11.61,12.1
RB,LeSean McCoy,119.4,11.94,11.8
RB,Lorenzo Taliaferro,6.3999999999999995,0.64,0.6
RB,Malcolm Brown,6.199999999999999,0.62,0.6
RB,Malcolm Johnson,-0.85,-0.085,-0.08
RB,Mark Ingram,127.7,11.60909090909091,11.8
RB,Matt Asiata,41.9,3.809090909090909,3.7
RB,Matt Forte,89.9,8.99,8.2
RB,Matt Jones,100.7,10.07,10.1
RB,Melvin Gordon,102.1,10.21,10.3
RB,Mike Davis,12.100000000000001,1.21,2.2
RB,Mike Gillislee,63.8,6.38,6.4
