source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Daily Faceoff,2021-01-07 08:20:37.590158,STL,LW/RW,David Perron,16.1,26.2,2.2,14.8,125.5,53.7,14.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,STL,LW,Jaden Schwartz,16.4,25.8,5.1,8.2,131.5,47.1,24.7,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PHI,RW,Jakub Voracek,11.8,30.4,-2.9,15.1,135.3,14.3,17.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,STL,C,Ryan O'Reilly,13.8,28.4,12.1,14.4,127.8,17.1,28.3,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,BUF,LW/RW,Victor Olofsson,19.5,22.6,0.0,14.9,139.3,11.3,17.9,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,DET,LW/RW,Anthony Mantha,20.4,21.7,-4.7,9.6,164.8,65.0,26.4,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,ANA,C,Ryan Getzlaf,12.0,30.0,-4.4,8.1,104.4,98.5,53.1,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,STL,RW,Mike Hoffman,19.0,22.6,3.6,17.4,161.1,25.0,17.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,VAN,C,Bo Horvat,18.1,23.4,-7.0,12.3,145.9,42.1,46.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,MIN,LW/RW,Kevin Fiala,17.5,24.0,-0.7,13.3,159.0,26.2,17.0,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,OTT,LW/RW,Evgenii Dadonov,19.5,21.9,-0.7,11.0,136.2,22.0,24.5,,,,,
Daily Faceoff,2021-01-07 08:20:37.590158,PIT,LW/RW,Bryan Rust,19.1,22.2,14.3,12.5,153.6,72.2,35.6,,,,,
