source,fetched_at,team,position,name,ranking_preseason,ranking_current,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 10:51:03.078557,Mon,G,Cayden Primeau,395.0,300.0,,,,,,,,1.0,45.0,0.918,3.0,0.0
Yahoo,2021-01-08 10:51:03.078557,Cgy,G,David Rittich,386.0,303.0,,,,,,,,11.0,552.0,0.908,2.87,1.0
Yahoo,2021-01-08 10:51:03.078557,Cls,G,Matiss Kivlenieks,518.0,312.0,,,,,,,,1.0,129.0,0.902,2.92,1.0
Yahoo,2021-01-08 10:51:03.078557,Tor,G,Aaron Dell,560.0,314.0,,,,,,,,1.0,39.0,0.907,2.93,0.0
Yahoo,2021-01-08 10:51:03.078557,Phi,G,Brian Elliott,388.0,324.0,,,,,,,,12.0,579.0,0.908,2.94,1.0
Yahoo,2021-01-08 10:51:03.078557,Van,G,Michael DiPietro,515.0,325.0,,,,,,,,0.0,6.0,0.857,5.46,0.0
Yahoo,2021-01-08 10:51:03.078557,Buf,G,Jonas Johansson,527.0,329.0,,,,,,,,1.0,80.0,0.909,2.87,0.0
Yahoo,2021-01-08 10:51:03.078557,Ari,G,Adin Hill,394.0,335.0,,,,,,,,1.0,144.0,0.911,3.6,1.0
Yahoo,2021-01-08 10:51:03.078557,SJ,G,Devan Dubnyk,213.0,336.0,,,,,,,,12.0,726.0,0.908,2.88,1.0
Yahoo,2021-01-08 10:51:03.078557,Anh,G,John Gibson,180.0,337.0,,,,,,,,16.0,1022.0,0.907,2.87,1.0
Yahoo,2021-01-08 10:51:03.078557,VGK,G,Oscar Dansk,536.0,343.0,,,,,,,,0.0,24.0,0.889,3.67,0.0
Yahoo,2021-01-08 10:51:03.078557,Nsh,G,Pekka Rinne,389.0,359.0,,,,,,,,13.0,615.0,0.898,2.93,2.0
Yahoo,2021-01-08 10:51:03.078557,NYI,G,Cory Schneider,584.0,366.0,,,,,,,,1.0,75.0,0.904,3.2,0.0
Yahoo,2021-01-08 10:51:03.078557,LA,G,Jonathan Quick,264.0,375.0,,,,,,,,12.0,789.0,0.905,2.83,1.0
Yahoo,2021-01-08 10:51:03.078557,Wpg,G,Eric Comrie,544.0,379.0,,,,,,,,1.0,38.0,0.884,3.66,0.0
Yahoo,2021-01-08 10:51:03.078557,Anh,G,Ryan Miller,532.0,392.0,,,,,,,,8.0,457.0,0.907,3.07,1.0
Yahoo,2021-01-08 10:51:03.078557,Car,G,Alex Nedeljkovic,517.0,397.0,,,,,,,,1.0,111.0,0.902,3.04,0.0
Yahoo,2021-01-08 10:51:03.078557,Col,G,Adam Werner,496.0,398.0,,,,,,,,1.0,126.0,0.913,3.48,0.0
Yahoo,2021-01-08 10:51:03.078557,NJ,G,Gilles Senn,504.0,409.0,,,,,,,,1.0,57.0,0.891,3.82,0.0
Yahoo,2021-01-08 10:51:03.078557,Van,G,Braden Holtby,118.0,419.0,,,,,,,,16.0,809.0,0.902,2.93,1.0
Yahoo,2021-01-08 10:51:03.078557,Edm,G,Mike Smith,500.0,422.0,,,,,,,,12.0,621.0,0.903,2.96,1.0
Yahoo,2021-01-08 10:51:03.078557,Phi,G,Alex Lyon,525.0,425.0,,,,,,,,1.0,91.0,0.884,3.83,1.0
Yahoo,2021-01-08 10:51:03.078557,Ott,G,Matt Murray,205.0,452.0,,,,,,,,14.0,935.0,0.905,3.0,1.0
Yahoo,2021-01-08 10:51:03.078557,Anh,G,Anthony Stolarz,499.0,453.0,,,,,,,,1.0,58.0,0.866,3.19,0.0
Yahoo,2021-01-08 10:51:03.078557,Fla,G,Sam Montembeault,581.0,468.0,,,,,,,,3.0,197.0,0.904,3.3,0.0
Yahoo,2021-01-08 10:51:03.078557,SJ,G,Martin Jones,562.0,487.0,,,,,,,,14.0,744.0,0.896,2.89,1.0
Yahoo,2021-01-08 10:51:03.078557,Det,G,Jonathan Bernier,550.0,494.0,,,,,,,,11.0,848.0,0.906,3.08,1.0
Yahoo,2021-01-08 10:51:03.078557,Cgy,G,Louis Domingue,653.0,499.0,,,,,,,,1.0,71.0,0.877,4.03,0.0
Yahoo,2021-01-08 10:51:03.078557,Car,G,Antoine Bibeau,503.0,504.0,,,,,,,,1.0,67.0,0.87,3.85,0.0
Yahoo,2021-01-08 10:51:03.078557,Wpg,G,Laurent Brossoit,559.0,510.0,,,,,,,,7.0,402.0,0.897,3.12,1.0
