source,fetched_at,team,position,name,ranking_preseason,ranking_current,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
Yahoo,2021-01-08 10:51:03.078557,Dal,D,Miro Heiskanen,91.0,114.0,11.0,29.0,8.0,8.0,131.0,31.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,D,Zach Werenski,94.0,115.0,12.0,22.0,7.0,10.0,143.0,33.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,C,Nazem Kadri,84.0,116.0,18.0,16.0,4.0,11.0,124.0,59.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,D,Ryan Ellis,156.0,117.0,7.0,26.0,16.0,8.0,104.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,RW,T.J. Oshie,123.0,118.0,18.0,20.0,3.0,11.0,100.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,LW,Jakub Vrana,100.0,119.0,18.0,20.0,6.0,9.0,137.0,24.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,C,William Karlsson,154.0,121.0,15.0,22.0,10.0,9.0,112.0,35.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,RW,Cam Atkinson,129.0,122.0,18.0,17.0,3.0,8.0,169.0,21.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,RW,Vladimir Tarasenko,173.0,123.0,16.0,17.0,5.0,10.0,134.0,48.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,C,Brock Nelson,133.0,124.0,19.0,20.0,8.0,5.0,128.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,"LW,RW",Tyler Toffoli,147.0,125.0,18.0,15.0,3.0,8.0,161.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,C,Phillip Danault,167.0,126.0,10.0,26.0,11.0,4.0,99.0,84.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,"LW,RW",Evgenii Dadonov,151.0,127.0,19.0,27.0,-3.0,13.0,130.0,23.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NJ,RW,Kyle Palmieri,93.0,128.0,19.0,16.0,-4.0,13.0,141.0,61.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,"C,LW",Zach Hyman,174.0,130.0,16.0,18.0,12.0,5.0,105.0,64.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,"LW,RW",Oliver Bjorkstrand,153.0,131.0,19.0,16.0,7.0,6.0,137.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,D,Shea Weber,102.0,132.0,11.0,16.0,7.0,7.0,131.0,84.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,C,Bo Horvat,101.0,133.0,17.0,24.0,-5.0,13.0,141.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,LW,Ondrej Palat,126.0,135.0,11.0,18.0,10.0,7.0,95.0,95.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,D,Tony DeAngelo,132.0,136.0,8.0,29.0,5.0,13.0,111.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,LW,Jeff Skinner,160.0,137.0,19.0,16.0,-3.0,9.0,176.0,27.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,D,Seth Jones,99.0,138.0,7.0,23.0,6.0,10.0,126.0,61.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,"C,LW",Tomas Hertl,121.0,139.0,18.0,22.0,2.0,9.0,125.0,36.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,D,Oliver Ekman-Larsson,131.0,140.0,10.0,20.0,-3.0,10.0,126.0,107.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,"LW,RW",Victor Olofsson,134.0,141.0,19.0,22.0,0.0,13.0,130.0,10.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,RW,Dustin Brown,149.0,142.0,16.0,18.0,-7.0,7.0,135.0,114.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,RW,Josh Anderson,138.0,144.0,14.0,9.0,5.0,3.0,129.0,120.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,C,Ryan Johansen,196.0,145.0,10.0,31.0,6.0,11.0,90.0,40.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"C,RW",Tyler Johnson,250.0,146.0,16.0,18.0,7.0,8.0,114.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,RW,Craig Smith,193.0,147.0,14.0,12.0,9.0,6.0,144.0,47.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,"LW,RW",Dominik Kubalik,120.0,148.0,19.0,14.0,3.0,7.0,124.0,63.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"LW,RW",Alex Killorn,216.0,149.0,12.0,17.0,14.0,6.0,105.0,51.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,D,Aaron Ekblad,172.0,150.0,11.0,18.0,5.0,10.0,139.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,RW,Brock Boeser,97.0,151.0,18.0,20.0,1.0,12.0,128.0,19.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,"C,RW",Mikael Backlund,207.0,152.0,13.0,19.0,9.0,7.0,126.0,35.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,D,Keith Yandle,175.0,153.0,5.0,33.0,-4.0,21.0,120.0,18.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"LW,RW",Jason Zucker,190.0,154.0,17.0,18.0,2.0,10.0,115.0,51.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,LW,Zach Parise,187.0,158.0,18.0,20.0,-3.0,11.0,147.0,23.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,D,Jeff Petry,113.0,159.0,8.0,22.0,-5.0,10.0,112.0,126.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,D,Ryan Graves,203.0,160.0,7.0,14.0,20.0,0.0,103.0,88.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"LW,RW",Clayton Keller,197.0,161.0,14.0,24.0,-2.0,13.0,143.0,14.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,D,Mark Giordano,157.0,162.0,8.0,19.0,9.0,10.0,127.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,RW,Phil Kessel,191.0,164.0,16.0,29.0,-14.0,22.0,133.0,8.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,"LW,RW",Kevin Fiala,112.0,165.0,18.0,24.0,-6.0,12.0,141.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,D,Matt Grzelcyk,336.0,166.0,5.0,18.0,12.0,8.0,134.0,42.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,D,Rasmus Dahlin,122.0,167.0,5.0,31.0,-3.0,17.0,95.0,67.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"C,RW",Matt Duchene,139.0,168.0,19.0,23.0,-1.0,10.0,118.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,D,Mikhail Sergachev,170.0,169.0,6.0,19.0,9.0,10.0,95.0,82.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Det,"LW,RW",Tyler Bertuzzi,188.0,170.0,15.0,20.0,4.0,11.0,95.0,53.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,D,Darnell Nurse,162.0,171.0,5.0,22.0,-2.0,5.0,133.0,126.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"LW,RW",Bryan Rust,161.0,172.0,13.0,20.0,8.0,6.0,97.0,65.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,D,Charlie McAvoy,140.0,173.0,5.0,22.0,15.0,3.0,76.0,100.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,D,Quinn Hughes,115.0,174.0,7.0,35.0,-4.0,19.0,110.0,10.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,D,Rasmus Ristolainen,152.0,175.0,4.0,24.0,-7.0,10.0,103.0,151.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Anh,"LW,RW",Rickard Rakell,159.0,176.0,15.0,21.0,-6.0,8.0,143.0,64.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,D,Colton Parayko,179.0,177.0,7.0,17.0,10.0,5.0,116.0,78.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,C,Kevin Hayes,183.0,180.0,17.0,21.0,-3.0,7.0,126.0,57.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"C,RW",Tyler Seguin,220.0,181.0,14.0,17.0,3.0,9.0,129.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"C,RW",Joe Pavelski,232.0,182.0,14.0,16.0,3.0,12.0,108.0,48.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,LW,James van Riemsdyk,238.0,183.0,18.0,16.0,5.0,8.0,122.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"C,LW",Roope Hintz,210.0,184.0,15.0,12.0,4.0,10.0,109.0,63.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,"C,RW",Dylan Strome,228.0,185.0,14.0,28.0,3.0,11.0,95.0,18.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,D,Jaccob Slavin,240.0,187.0,5.0,21.0,17.0,4.0,107.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,RW,Pavel Buchnevich,202.0,188.0,13.0,22.0,1.0,8.0,112.0,56.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,"C,LW",Jonathan Drouin,234.0,190.0,12.0,23.0,-1.0,12.0,110.0,44.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,D,Thomas Chabot,150.0,192.0,7.0,29.0,-9.0,12.0,139.0,57.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"LW,RW",Mikael Granlund,247.0,193.0,14.0,22.0,-3.0,13.0,114.0,34.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,"LW,RW",Nick Foligno,171.0,194.0,9.0,14.0,3.0,2.0,93.0,149.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,"C,RW",Sam Reinhart,146.0,195.0,17.0,25.0,-7.0,11.0,124.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,D,Mattias Ekholm,262.0,196.0,6.0,20.0,12.0,5.0,115.0,42.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,D,Tyson Barrie,143.0,198.0,8.0,28.0,-3.0,12.0,123.0,33.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,RW,Jordan Eberle,252.0,200.0,14.0,20.0,3.0,8.0,114.0,31.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYR,D,Jacob Trouba,163.0,201.0,5.0,18.0,-3.0,7.0,121.0,120.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,LW,Oskar Lindblom,606.0,202.0,14.0,14.0,3.0,8.0,113.0,56.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,"LW,RW",Andre Burakovsky,192.0,203.0,15.0,21.0,6.0,9.0,90.0,23.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,LW,Tanner Pearson,198.0,204.0,16.0,17.0,-4.0,5.0,124.0,78.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,C,Vincent Trocheck,209.0,205.0,10.0,22.0,-6.0,10.0,111.0,86.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,D,John Klingberg,142.0,207.0,6.0,24.0,5.0,12.0,107.0,26.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,"LW,RW",Alex Tuch,233.0,208.0,11.0,17.0,2.0,6.0,120.0,67.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,D,Drew Doughty,176.0,209.0,6.0,24.0,-12.0,15.0,119.0,94.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,"C,RW",Charlie Coyle,242.0,210.0,12.0,16.0,7.0,4.0,109.0,60.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,LW,Lawson Crouse,178.0,212.0,11.0,9.0,3.0,0.0,92.0,160.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Det,"LW,RW",Anthony Mantha,166.0,213.0,16.0,19.0,-6.0,8.0,129.0,53.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,C,Jean-Gabriel Pageau,218.0,214.0,11.0,12.0,2.0,5.0,112.0,99.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,D,Jake Muzzin,225.0,216.0,5.0,16.0,12.0,0.0,88.0,112.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"LW,RW",Brandon Tanev,169.0,217.0,8.0,10.0,3.0,0.0,75.0,188.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"LW,RW",Conor Garland,266.0,218.0,17.0,14.0,1.0,8.0,131.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,C,David Krejci,212.0,220.0,11.0,24.0,7.0,10.0,74.0,27.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,D,Ryan Suter,194.0,221.0,5.0,29.0,-3.0,14.0,99.0,44.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"C,LW",Jared McCann,261.0,222.0,11.0,15.0,5.0,5.0,111.0,63.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cls,"C,LW",Boone Jenner,224.0,223.0,9.0,14.0,2.0,2.0,126.0,94.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,C,Jordan Staal,211.0,224.0,9.0,15.0,2.0,2.0,103.0,116.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,"LW,RW",Kevin Labanc,268.0,225.0,12.0,20.0,-5.0,11.0,128.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Anh,"C,LW",Adam Henrique,257.0,226.0,16.0,17.0,-1.0,7.0,104.0,56.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,"C,LW",Carl Soderberg,259.0,227.0,13.0,14.0,3.0,7.0,104.0,60.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,"C,RW",Nick Bjugstad,249.0,228.0,10.0,12.0,4.0,5.0,111.0,81.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,RW,Joel Armia,230.0,230.0,10.0,10.0,2.0,5.0,107.0,104.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,SJ,D,Erik Karlsson,108.0,231.0,5.0,31.0,-5.0,13.0,114.0,29.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"LW,RW",Yanni Gourde,258.0,232.0,14.0,20.0,3.0,5.0,87.0,58.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,C,Paul Stastny,208.0,233.0,12.0,18.0,5.0,7.0,97.0,41.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,RW,Jesse Puljujarvi,269.0,234.0,13.0,15.0,-6.0,7.0,148.0,54.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,D,Erik Cernak,227.0,235.0,3.0,7.0,12.0,0.0,92.0,141.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,C,Eric Staal,181.0,236.0,14.0,22.0,-3.0,10.0,114.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NJ,C,Nico Hischier,155.0,237.0,12.0,22.0,-3.0,9.0,113.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,D,Jared Spurgeon,255.0,238.0,10.0,19.0,1.0,10.0,96.0,52.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,"LW,RW",Jake DeBrusk,265.0,239.0,15.0,12.0,4.0,7.0,117.0,30.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,"LW,RW",Nino Niederreiter,275.0,240.0,14.0,17.0,-1.0,9.0,103.0,48.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,RW,Owen Tippett,341.0,241.0,10.0,10.0,14.0,0.0,107.0,59.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Anh,RW,Jakob Silfverberg,302.0,242.0,16.0,14.0,2.0,8.0,114.0,24.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,LW,Anthony Beauvillier,235.0,243.0,15.0,16.0,-3.0,6.0,111.0,66.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,"LW,RW",Anthony Duclair,270.0,244.0,16.0,12.0,-2.0,7.0,135.0,37.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Tor,LW,Ilya Mikheyev,285.0,246.0,10.0,20.0,6.0,0.0,129.0,35.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,"LW,RW",Brandon Saad,239.0,247.0,16.0,15.0,1.0,3.0,131.0,32.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,"LW,RW",Denis Gurianov,195.0,248.0,15.0,7.0,3.0,7.0,112.0,55.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,"LW,RW",Frank Vatrano,244.0,249.0,14.0,14.0,-6.0,4.0,129.0,82.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,"LW,RW",Artturi Lehkonen,260.0,250.0,10.0,12.0,5.0,0.0,114.0,88.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,D,Alexander Edler,272.0,251.0,4.0,19.0,5.0,5.0,90.0,88.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Dal,D,Esa Lindell,284.0,252.0,5.0,16.0,8.0,5.0,91.0,75.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Anh,D,Kevin Shattenkirk,231.0,253.0,4.0,18.0,10.0,6.0,97.0,47.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NYI,"LW,RW",Josh Bailey,214.0,254.0,12.0,25.0,3.0,9.0,83.0,14.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NJ,"LW,RW",Nikita Gusev,201.0,256.0,11.0,25.0,-7.0,12.0,124.0,10.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,"LW,RW",Connor Brown,308.0,258.0,11.0,19.0,3.0,4.0,121.0,27.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,"LW,RW",Valeri Nichushkin,312.0,259.0,10.0,11.0,12.0,2.0,86.0,64.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,"C,RW",Nick Suzuki,186.0,260.0,10.0,20.0,-5.0,11.0,108.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"C,LW",Erik Haula,333.0,261.0,13.0,14.0,1.0,10.0,99.0,35.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NJ,LW,Miles Wood,296.0,262.0,8.0,10.0,8.0,2.0,107.0,72.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,D,Dmitry Orlov,301.0,263.0,3.0,18.0,7.0,4.0,82.0,88.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,D,Nate Schmidt,221.0,264.0,5.0,19.0,12.0,6.0,90.0,22.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,LW,Alex Iafallo,304.0,265.0,11.0,15.0,4.0,6.0,99.0,43.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,"LW,RW",Marcus Foligno,236.0,266.0,8.0,10.0,4.0,0.0,65.0,155.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,D,Vince Dunn,317.0,267.0,7.0,12.0,10.0,7.0,100.0,34.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,D,Josh Morrissey,323.0,268.0,5.0,20.0,4.0,10.0,92.0,38.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"C,LW",Christian Dvorak,340.0,269.0,13.0,15.0,3.0,6.0,100.0,34.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"C,RW",Derick Brassard,293.0,270.0,7.0,16.0,3.0,7.0,80.0,79.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Was,C,Lars Eller,306.0,271.0,12.0,16.0,1.0,3.0,115.0,47.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"LW,RW",Calle Jarnkrok,365.0,272.0,12.0,14.0,7.0,5.0,99.0,26.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,"LW,RW",William Carrier,222.0,274.0,5.0,10.0,1.0,0.0,75.0,173.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,"LW,RW",Kasperi Kapanen,237.0,275.0,10.0,16.0,5.0,3.0,93.0,58.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,"C,RW",Cody Glass,267.0,276.0,10.0,21.0,-1.0,12.0,88.0,24.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,LW,Milan Lucic,241.0,277.0,6.0,10.0,-3.0,6.0,68.0,161.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,D,Matt Dumba,200.0,278.0,7.0,16.0,-4.0,7.0,116.0,75.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Edm,"LW,RW",James Neal,298.0,280.0,15.0,10.0,-8.0,11.0,111.0,60.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,NJ,"LW,RW",Andreas Johnsson,271.0,281.0,11.0,15.0,4.0,5.0,92.0,48.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Anh,C,Ryan Getzlaf,254.0,282.0,10.0,22.0,-12.0,8.0,99.0,92.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Mon,D,Ben Chiarot,278.0,283.0,5.0,10.0,6.0,0.0,95.0,114.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Bos,D,Brandon Carlo,332.0,284.0,3.0,12.0,12.0,0.0,84.0,93.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,D,Tyler Myers,339.0,285.0,5.0,13.0,2.0,6.0,107.0,73.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Car,RW,Jesper Fast,310.0,286.0,9.0,14.0,8.0,0.0,64.0,96.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,"C,RW",Nick Schmaltz,251.0,287.0,9.0,25.0,0.0,12.0,78.0,9.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,D,John Marino,363.0,288.0,5.0,18.0,10.0,4.0,62.0,67.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,"C,LW",Barclay Goodrow,292.0,289.0,6.0,14.0,4.0,1.0,76.0,115.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,D,Matt Roy,320.0,290.0,3.0,11.0,10.0,0.0,86.0,101.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,VGK,RW,Ryan Reaves,206.0,293.0,5.0,7.0,-2.0,0.0,47.0,221.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,"C,LW",Adrian Kempe,343.0,294.0,10.0,16.0,-5.0,8.0,107.0,57.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,D,Erik Gustafsson,362.0,295.0,6.0,18.0,2.0,8.0,80.0,60.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,D,Samuel Girard,256.0,296.0,3.0,22.0,4.0,10.0,77.0,39.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Van,RW,Jake Virtanen,318.0,297.0,11.0,10.0,-1.0,4.0,103.0,80.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,LA,C,Gabriel Vilardi,300.0,298.0,12.0,21.0,0.0,7.0,98.0,11.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,D,Jakob Chychrun,286.0,299.0,5.0,11.0,4.0,6.0,110.0,58.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Det,"LW,RW",Vladislav Namestnikov,294.0,301.0,12.0,15.0,-3.0,4.0,85.0,85.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,D,Calvin de Haan,315.0,302.0,1.0,8.0,12.0,0.0,65.0,131.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,"LW,RW",Brett Connolly,361.0,304.0,14.0,12.0,3.0,4.0,91.0,43.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,D,Marcus Pettersson,530.0,305.0,2.0,16.0,10.0,3.0,69.0,79.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Col,D,Devon Toews,273.0,306.0,5.0,18.0,3.0,6.0,100.0,42.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ari,D,Alex Goligoski,338.0,307.0,3.0,18.0,6.0,6.0,74.0,65.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Phi,"C,LW",Scott Laughton,329.0,308.0,9.0,13.0,6.0,0.0,71.0,93.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Ott,C,Derek Stepan,335.0,309.0,9.0,15.0,-2.0,6.0,126.0,32.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Cgy,"LW,RW",Andrew Mangiapane,248.0,310.0,13.0,12.0,5.0,1.0,89.0,54.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,D,Brandon Montour,553.0,311.0,5.0,14.0,7.0,3.0,92.0,61.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Pit,D,Brian Dumoulin,633.0,313.0,2.0,11.0,15.0,1.0,66.0,83.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,D,Duncan Keith,276.0,315.0,3.0,22.0,5.0,6.0,98.0,24.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,LW,Zach Sanford,396.0,316.0,10.0,10.0,7.0,2.0,78.0,71.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Chi,D,Nikita Zadorov,289.0,317.0,4.0,7.0,7.0,0.0,58.0,150.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Buf,C,Dylan Cozens,1202.0,318.0,10.0,15.0,4.0,8.0,81.0,27.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Wpg,"C,LW",Andrew Copp,557.0,319.0,8.0,12.0,9.0,2.0,90.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,TB,D,Ryan McDonagh,628.0,320.0,3.0,19.0,16.0,0.0,62.0,46.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,StL,"C,RW",Robert Thomas,511.0,321.0,8.0,24.0,5.0,7.0,71.0,10.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Min,C,Nick Bonino,393.0,322.0,12.0,12.0,14.0,1.0,77.0,14.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Fla,D,Radko Gudas,324.0,323.0,2.0,10.0,7.0,0.0,72.0,128.0,,,,,,
Yahoo,2021-01-08 10:51:03.078557,Nsh,"C,RW",Luke Kunin,355.0,326.0,12.0,14.0,-5.0,4.0,110.0,58.0,,,,,,
