ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
98.6,Zach Werenski,D,CBJ,66,24.4,0.18,0.61,0.79,-0.06,2.53,0.55,1.09,0.17,0.03,,,(/),,,,0.86
98.8,Brent Burns,D,CAR,81,25.8,0.13,0.52,0.65,-0.20,2.92,0.72,1.50,0.23,0.01,,,(/),,,,0.01
103.2,Alexandar Georgiev,G,COL,47,60.0,,,,,,,,,,0.09,0.62,0.911 (26.4/29.0),2.51,26.42,29.00,1.01
103.6,Dougie Hamilton,D,NJD,74,21.8,0.16,0.50,0.66,0.12,2.88,1.08,1.27,0.23,0.02,,,(/),,,,2.56
104.3,Torey Krug,D,STL,68,21.2,0.10,0.54,0.64,0.14,1.93,0.75,0.90,0.31,0.02,,,(/),,,,0.85
104.4,Evan Bouchard,D,EDM,76,16.6,0.14,0.38,0.53,0.05,2.64,1.03,1.47,0.05,0.01,,,(/),,,,-1.92
105.0,Mats Zuccarello,RW,MIN,75,17.7,0.32,0.68,1.00,0.08,2.16,0.39,0.45,0.32,0.02,,,(/),,,,3.02
105.4,Cam Talbot,G,OTT,49,60.0,,,,,,,,,,0.04,0.53,0.909 (27.3/30.0),2.54,27.27,30.00,-1.22
106.5,Jonathan Marchessault,"LW,RW",VGK,78,17.5,0.40,0.50,0.90,0.13,2.98,1.14,0.21,0.18,0.04,,,(/),,,,3.87
107.5,Jacob Trouba,D,NYR,72,22.2,0.11,0.43,0.54,0.08,2.10,2.58,2.14,0.08,0.01,,,(/),,,,1.45
108.0,Brayden Schenn,"C,LW",STL,74,18.5,0.32,0.45,0.77,0.11,1.76,1.63,0.35,0.20,0.04,,,(/),,,,2.02
111.6,Matt Boldy,"LW,RW",MIN,78,15.4,0.29,0.55,0.85,0.22,2.40,0.51,0.44,0.26,0.03,,,(/),,,,2.57
114.7,Thomas Chabot,D,OTT,68,25.3,0.16,0.62,0.78,-0.17,2.32,1.38,1.78,0.16,0.01,,,(/),,,,1.04
114.7,Cole Caufield,"LW,RW",MTL,71,15.5,0.39,0.44,0.83,-0.19,2.69,0.16,0.05,0.10,0.02,,,(/),,,,-2.22
116.2,Brad Marchand,LW,BOS,51,19.3,0.47,0.80,1.27,0.44,2.78,0.94,0.43,0.50,0.11,,,(/),,,,16.49
116.2,Ilya Samsonov,G,TOR,32,60.0,,,,,,,,,,0.06,0.59,0.906 (17.9/19.8),2.16,17.89,19.75,-2.99
116.4,Pierre-Luc Dubois,C,WPJ,77,17.4,0.38,0.40,0.78,-0.06,2.96,1.22,0.54,0.16,0.05,,,(/),,,,2.61
117.0,Brayden Point,C,TBL,75,19.0,0.37,0.45,0.82,0.13,2.45,0.91,0.39,0.26,0.05,,,(/),,,,3.92
118.0,Trevor Zegras,C,ANA,78,16.8,0.32,0.53,0.85,-0.12,2.51,0.74,0.42,0.12,0.04,,,(/),,,,0.27
118.8,Justin Faulk,D,STL,79,22.8,0.14,0.35,0.49,0.18,2.22,1.85,1.41,0.09,0.04,,,(/),,,,0.89
118.8,Logan Thompson,G,VGK,45,60.0,,,,,,,,,,0.01,0.56,0.914 (26.5/29.0),2.79,26.51,29.00,-0.95
121.2,Tony DeAngelo,D,PHI,76,19.1,0.11,0.43,0.54,0.15,2.19,0.62,0.84,0.16,0.02,,,(/),,,,-1.85
121.3,John Klingberg,D,ANA,72,22.8,0.11,0.57,0.68,-0.22,1.85,0.75,1.28,0.28,0.02,,,(/),,,,-0.72
122.5,Zach Hyman,"LW,RW",EDM,68,18.9,0.35,0.41,0.76,0.12,2.24,1.10,0.43,0.09,0.03,,,(/),,,,0.54
124.1,Jesper Bratt,RW,NJD,77,15.9,0.36,0.61,0.97,-0.03,2.54,0.40,0.31,0.15,0.03,,,(/),,,,1.62
125.6,Rasmus Andersson,D,CGY,76,20.4,0.05,0.41,0.46,0.07,1.54,0.93,1.91,0.12,0.00,,,(/),,,,-2.68
127.1,Ville Husso,G,DET,45,60.0,,,,,,,,,,0.07,0.53,0.913 (27.4/30.0),2.77,27.40,30.00,0.48
127.8,Anze Kopitar,C,LAK,81,21.2,0.30,0.60,0.90,-0.01,2.41,0.85,0.71,0.32,0.04,,,(/),,,,4.09
129.0,Anton Forsberg,G,OTT,30,60.0,,,,,,,,,,0.01,0.47,0.911 (26.4/29.0),2.68,26.42,29.00,-2.19
129.7,Seth Jones,D,CHI,76,25.6,0.12,0.50,0.62,-0.17,2.22,1.22,1.70,0.26,0.01,,,(/),,,,0.13
130.0,Robert Thomas,C,STL,76,15.6,0.24,0.72,0.96,0.13,1.51,0.14,0.24,0.10,0.03,,,(/),,,,-0.19
133.0,Mark Scheifele,C,WPJ,75,21.3,0.41,0.65,1.07,-0.06,2.07,0.56,0.71,0.25,0.04,,,(/),,,,4.29
133.6,Roope Hintz,C,DAL,74,16.8,0.42,0.53,0.95,0.14,2.65,0.98,0.46,0.24,0.05,,,(/),,,,5.62
135.6,Charlie McAvoy,D,BOS,48,23.7,0.10,0.71,0.81,0.53,1.59,2.42,2.25,0.21,0.05,,,(/),,,,9.40
136.4,Jared Spurgeon,D,MIN,72,22.3,0.13,0.51,0.64,0.13,1.58,0.94,1.68,0.29,0.02,,,(/),,,,1.57
136.9,Jordan Binnington,G,STL,48,60.0,,,,,,,,,,0.03,0.52,0.908 (27.2/30.0),2.65,27.24,30.00,-1.70
137.4,Radko Gudas,D,FLO,76,17.6,0.03,0.16,0.20,0.21,1.33,4.09,1.42,0.00,0.00,,,(/),,,,-2.88
137.8,Mikhail Sergachev,D,TBL,79,20.8,0.11,0.46,0.57,0.11,1.63,1.80,1.54,0.11,0.01,,,(/),,,,-0.62
141.1,Erik Karlsson,D,SJS,61,24.1,0.16,0.51,0.67,-0.26,2.10,0.52,1.33,0.20,0.02,,,(/),,,,-1.96
141.4,Tage Thompson,C,BUF,80,13.5,0.36,0.39,0.75,-0.10,2.74,0.89,0.35,0.08,0.02,,,(/),,,,-1.57
