ADP,PLAYER,POS,TEAM,GP,TOI,G,A,P,+/-,SOG,HIT,BLK,PPP,GWG,SHO,W,SV%,GAA,SV,SA,TOTAL
177.9,John Gibson,G,ANA,53,60.0,,,,,,,,,,0.03,0.34,0.908 (28.1/31.0),3.08,28.14,30.99,-3.38
178.4,Ivan Barbashev,"C,LW",STL,71,14.1,0.20,0.32,0.53,0.05,1.64,1.99,0.36,0.05,0.02,,,(/),,,,-3.33
182.0,Antti Raanta,G,CAR,26,60.0,,,,,,,,,,0.03,0.58,0.909 (28.2/31.0),2.38,28.19,31.00,-0.60
183.3,Viktor Arvidsson,"LW,RW",LAK,73,17.1,0.27,0.47,0.74,0.04,2.78,0.29,0.47,0.08,0.03,,,(/),,,,-0.47
183.8,James Reimer,G,SJS,38,60.0,,,,,,,,,,0.01,0.42,0.911 (27.3/30.0),2.29,27.33,30.00,-1.89
183.9,Alex Nedeljkovic,G,DET,35,60.0,,,,,,,,,,0.06,0.46,0.908 (26.3/29.0),2.94,26.33,29.00,-2.05
,Nicklas Backstrom,C,WSH,26,18.6,0.15,0.81,0.96,-0.10,1.59,1.06,1.11,0.36,0.05,,,(/),,,,4.75
,Noah Cates,LW,PHI,16,13.3,0.31,0.75,1.06,0.25,1.44,1.31,0.38,0.06,0.06,,,(/),,,,4.49
,Anthony Cirelli,"C,LW",TBL,42,17.4,0.19,0.33,0.52,0.36,1.89,1.75,1.12,0.12,0.07,,,(/),,,,3.75
,Ryan Ellis,D,PHI,33,23.4,0.12,0.51,0.63,0.24,1.80,0.80,1.92,0.14,0.03,,,(/),,,,1.88
,Jonathan Bernier,G,NJD,5,60.0,,,,,,,,,,0.04,0.40,0.908 (36.2/39.9),2.45,36.22,39.90,0.44
,Chris Driedger,G,SEA,9,60.0,,,,,,,,,,0.16,0.33,0.910 (25.6/28.1),2.99,25.58,28.10,0.00
,Louis Domingue,G,NYR,5,60.0,,,,,,,,,,0.00,0.60,0.913 (27.4/30.0),2.08,27.38,30.00,-0.18
,Reilly Smith,RW,VGK,70,17.9,0.30,0.32,0.62,0.17,2.16,0.80,0.36,0.11,0.04,,,(/),,,,-0.26
,Ryan Strome,C,ANA,78,18.0,0.26,0.44,0.69,0.17,1.84,0.53,0.30,0.18,0.04,,,(/),,,,-0.36
,Keith Kinkaid,G,BOS,5,60.0,,,,,,,,,,0.17,0.60,0.894 (25.9/29.0),2.03,25.93,29.00,-0.42
,Jordan Greenway,LW,MIN,74,14.5,0.20,0.42,0.62,0.14,1.98,2.41,0.43,0.02,0.02,,,(/),,,,-1.22
,Mike Hoffman,"LW,RW",MTL,74,16.7,0.29,0.33,0.62,-0.14,2.37,0.42,0.31,0.26,0.04,,,(/),,,,-1.29
,Phillip Danault,C,LAK,77,17.8,0.27,0.34,0.62,0.17,2.17,1.11,0.54,0.04,0.03,,,(/),,,,-1.31
,Brandon Tanev,"LW,RW",SEA,69,14.4,0.23,0.28,0.51,0.07,1.51,2.99,0.63,0.01,0.03,,,(/),,,,-1.34
,Jonathan Toews,C,CHI,75,19.0,0.25,0.45,0.70,-0.10,2.21,0.50,0.40,0.14,0.04,,,(/),,,,-1.52
,Mario Ferraro,D,SJS,71,21.0,0.07,0.37,0.44,-0.15,1.30,2.42,2.27,0.14,0.01,,,(/),,,,-1.53
,Kyle Palmieri,RW,NYI,71,16.6,0.25,0.24,0.50,-0.04,2.19,1.15,0.34,0.16,0.05,,,(/),,,,-1.55
,Jaroslav Halak,G,NYR,22,60.0,,,,,,,,,,0.05,0.59,0.904 (26.2/29.0),2.12,26.22,29.00,-1.56
,Daniil Tarasov,G,CBJ,5,60.0,,,,,,,,,,0.00,0.40,0.908 (32.7/36.0),2.40,32.69,36.00,-1.59
,Mackenzie Blackwood,G,NJD,30,60.0,,,,,,,,,,0.04,0.47,0.901 (33.5/37.2),2.46,33.53,37.20,-1.79
,Lawson Crouse,"LW,RW",ARI,77,14.8,0.29,0.22,0.51,-0.08,2.06,2.57,0.60,0.04,0.03,,,(/),,,,-1.97
,Ondrej Kase,RW,CAR,39,13.3,0.23,0.38,0.61,0.01,2.36,0.67,0.45,0.10,0.03,,,(/),,,,-2.01
,Andreas Athanasiou,"LW,RW",CHI,55,15.5,0.35,0.36,0.71,-0.28,2.04,0.36,0.32,0.22,0.04,,,(/),,,,-2.04
,Jean-Gabriel Pageau,C,NYI,78,17.7,0.23,0.28,0.51,0.04,1.58,1.99,0.78,0.09,0.02,,,(/),,,,-2.11
,Fabian Zetterlund,RW,NJD,14,13.4,0.21,0.36,0.57,0.36,2.57,1.14,0.50,0.00,0.00,,,(/),,,,-2.22
,Brendan Gallagher,RW,MTL,62,15.7,0.27,0.26,0.54,0.04,2.90,1.03,0.41,0.10,0.02,,,(/),,,,-2.22
,Mark Kastelic,C,OTT,11,9.2,0.09,0.09,0.18,-0.09,0.69,3.45,0.91,0.00,0.09,,,(/),,,,-2.26
,Patric Hornqvist,RW,FLO,64,15.1,0.24,0.27,0.51,0.01,2.24,1.71,0.48,0.16,0.01,,,(/),,,,-2.29
,William Karlsson,"C,LW",VGK,75,18.6,0.22,0.41,0.64,0.17,1.83,0.53,0.53,0.10,0.02,,,(/),,,,-2.32
,Laurent Brossoit,G,VGK,31,60.0,,,,,,,,,,0.03,0.45,0.909 (27.3/30.0),2.89,27.28,30.00,-2.35
,Erik Cernak,D,TBL,72,19.3,0.07,0.33,0.40,0.12,1.87,2.63,1.40,0.00,0.01,,,(/),,,,-2.46
,Scott Wedgewood,G,DAL,27,60.0,,,,,,,,,,0.05,0.48,0.907 (26.3/29.0),3.13,26.31,29.00,-2.47
,Spencer Martin,G,VAN,17,60.0,,,,,,,,,,0.00,0.53,0.911 (27.3/30.0),3.24,27.33,30.00,-2.51
,Jordan Staal,C,CAR,74,17.7,0.23,0.31,0.54,0.07,1.73,2.23,0.38,0.08,0.01,,,(/),,,,-2.56
,Adin Hill,G,SJS,24,60.0,,,,,,,,,,0.06,0.42,0.908 (27.2/30.0),3.21,27.23,30.00,-2.58
,Matt Grzelcyk,D,BOS,58,18.8,0.07,0.38,0.45,0.29,1.89,0.67,1.05,0.10,0.01,,,(/),,,,-2.59
,Rasmus Ristolainen,D,PHI,72,22.7,0.06,0.29,0.35,-0.14,1.58,3.21,1.65,0.11,0.00,,,(/),,,,-2.59
,Alexander Edler,D,LAK,59,21.1,0.06,0.31,0.37,0.12,1.64,1.37,1.71,0.08,0.02,,,(/),,,,-2.64
,Sebastian Aho - D,D,NYI,36,0.0,0.08,0.50,0.58,0.22,1.10,0.89,1.89,0.00,0.00,,,(/),,,,-2.69
,Ilya Mikheyev,"LW,RW",VAN,74,15.0,0.26,0.34,0.59,0.15,2.33,0.60,0.27,0.03,0.03,,,(/),,,,-2.78
,Ross Colton,"C,LW",TBL,78,15.0,0.27,0.23,0.50,0.05,2.20,1.55,0.33,0.04,0.03,,,(/),,,,-2.87
,Gregory Hofmann,,,24,12.5,0.08,0.21,0.29,0.25,1.38,0.96,0.42,0.00,0.08,,,(/),,,,-2.91
,Craig Smith,RW,BOS,77,14.5,0.22,0.29,0.50,0.18,2.48,0.98,0.29,0.08,0.01,,,(/),,,,-2.92
,Jaden Schwartz,LW,SEA,65,18.2,0.23,0.38,0.62,-0.03,2.30,0.74,0.35,0.12,0.02,,,(/),,,,-2.97
,Josh Anderson,RW,MTL,70,16.8,0.30,0.30,0.60,-0.20,2.17,1.96,0.40,0.04,0.02,,,(/),,,,-2.98
,Jesse Puljujarvi,RW,EDM,67,14.9,0.22,0.39,0.61,0.17,1.87,1.20,0.29,0.07,0.01,,,(/),,,,-2.98
,Yanni Gourde,C,SEA,78,16.7,0.23,0.35,0.58,-0.01,1.57,0.89,0.34,0.09,0.04,,,(/),,,,-3.04
,Anthony Beauvillier,"LW,RW",NYI,74,16.4,0.21,0.42,0.63,-0.04,1.84,0.89,0.50,0.09,0.02,,,(/),,,,-3.09
,Thomas Greiss,G,STL,30,60.0,,,,,,,,,,0.03,0.50,0.904 (27.1/30.0),2.80,27.12,30.00,-3.11
,Jake Muzzin,D,TOR,64,21.3,0.08,0.30,0.38,0.13,1.58,1.91,1.46,0.03,0.01,,,(/),,,,-3.14
,Sean Monahan,C,MTL,72,16.8,0.18,0.33,0.51,-0.16,1.92,0.73,0.30,0.20,0.04,,,(/),,,,-3.21
,Martin Necas,RW,CAR,76,14.6,0.15,0.33,0.48,0.08,2.14,0.64,0.25,0.08,0.04,,,(/),,,,-3.27
,Gustav Nyquist,"LW,RW",CBJ,81,17.8,0.22,0.39,0.62,-0.05,1.89,0.68,0.47,0.12,0.02,,,(/),,,,-3.30
,Nick Blankenburg,,CBJ,35,17.6,0.11,0.26,0.37,-0.09,1.86,1.83,1.37,0.03,0.03,,,(/),,,,-3.31
,Daniel Vladar,G,CGY,20,60.0,,,,,,,,,,0.06,0.55,0.903 (23.5/26.0),2.85,23.48,26.00,-3.39
,Kevin Hayes,C,PHI,67,17.8,0.23,0.39,0.62,-0.14,2.14,0.84,0.25,0.11,0.03,,,(/),,,,-3.41
,Richard Panik,"LW,RW",NYI,11,13.8,0.00,0.27,0.27,0.25,1.20,1.73,0.55,0.12,0.04,,,(/),,,,-3.41
,Kiefer Sherwood,RW,NSH,10,10.1,0.00,0.23,0.23,0.13,1.01,3.21,0.67,0.00,0.05,,,(/),,,,-3.41
,Brian Elliott,G,TBL,21,60.0,,,,,,,,,,0.05,0.49,0.902 (27.1/30.0),2.84,27.05,30.00,-3.42
,Jeff Carter,C,PIT,75,17.3,0.22,0.28,0.50,-0.11,2.40,0.93,0.45,0.09,0.03,,,(/),,,,-3.47
,Philip Tomasino,RW,NSH,76,11.5,0.18,0.34,0.53,0.03,1.46,0.64,0.37,0.12,0.04,,,(/),,,,-3.47
,Adam Henrique,"C,LW",ANA,74,16.8,0.31,0.25,0.56,-0.04,2.11,0.53,0.60,0.12,0.02,,,(/),,,,-3.47
,Jonas Brodin,D,MIN,76,22.3,0.07,0.33,0.40,0.13,1.80,0.67,1.82,0.04,0.01,,,(/),,,,-3.48
,Evgenii Dadonov,"LW,RW",MTL,79,16.5,0.22,0.32,0.53,-0.03,1.96,0.55,0.35,0.12,0.03,,,(/),,,,-3.52
,Garnet Hathaway,RW,WSH,76,12.1,0.14,0.16,0.30,0.14,1.17,3.04,0.67,0.00,0.03,,,(/),,,,-3.56
,Alex Newhook,"C,LW",COL,76,13.6,0.21,0.36,0.57,0.11,1.53,0.59,0.27,0.04,0.04,,,(/),,,,-3.65
