position,name,low,mid,high
QB,Andy Dalton,12.6,15.4,18.4
QB,Tyrod Taylor,13.7,15.4,17.6
WR,Allen Robinson,10.2,11.2,13.2
WR,Alshon Jeffery,6.5,7.8,8.7
WR,Tyrell Williams,5.6,7.8,12.2
RB,Jacquizz Rodgers,9.6,12.8,21.3
RB,Matt Forte,7.6,10.5,13.0
TE,Cameron Brate,5.8,7.2,10.0
K,Adam Vinatieri,1.0,6.0,9.4
DEF,Buffalo Bills,1.0,4.2,8.9
RB,Isaiah Crowell,6.6,8.7,9.8
