source,fetched_at,team,position,name,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,saves,save_percentage,goals_against_average,shutouts
CBS,2021-01-07 08:20:41.125491,CGY,C,Mikael Backlund,15.67,23.58,3.14,5.0,128.0,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,C,William Karlsson,14.16,27.92,2.05,4.4,164.74,,,,,,,
CBS,2021-01-07 08:20:41.125491,NJ,C,Nico Hischier,15.34,22.84,5.9,6.13,112.89,,,,,,,
CBS,2021-01-07 08:20:41.125491,COL,C,Shane Bowers,14.87,21.32,10.25,5.13,111.69,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,C,Logan Couture,15.95,21.21,-0.28,5.42,136.7,,,,,,,
CBS,2021-01-07 08:20:41.125491,SJ,C,Tomas Hertl,16.79,20.69,-0.28,4.76,135.53,,,,,,,
CBS,2021-01-07 08:20:41.125491,PHI,C,Kevin Hayes,18.56,17.77,-0.92,2.92,146.92,,,,,,,
CBS,2021-01-07 08:20:41.125491,DAL,C,Joe Pavelski,17.32,13.75,4.28,4.93,103.18,,,,,,,
CBS,2021-01-07 08:20:41.125491,BUF,C,Sam Reinhart,15.92,20.25,-3.05,5.42,103.27,,,,,,,
CBS,2021-01-07 08:20:41.125491,CHI,C,Dylan Strome,12.55,23.38,1.76,5.18,78.39,,,,,,,
CBS,2021-01-07 08:20:41.125491,LV,C,Patrick Brown,18.07,14.81,4.67,3.52,122.35,,,,,,,
CBS,2021-01-07 08:20:41.125491,TOR,C,Joe Thornton,7.7,23.42,11.98,5.38,63.4,,,,,,,
