name,team,position,pick
Linus Ullmark,Buf,G,164.5
Alex Killorn,TB,"LW,RW",164.8
Kasperi Kapanen,Pit,"LW,RW",164.9
Cody Glass,VGK,"C,RW",165.2
Jack Campbell,Tor,G,165.8
Evgenii Dadonov,Ott,"LW,RW",165.9
Alex Tuch,VGK,"LW,RW",166.1
Tyler Bertuzzi,Det,"LW,RW",167.0
Zach Parise,Min,LW,167.2
David Krejci,Bos,C,167.2
Cam Talbot,Min,G,167.2
Anthony Duclair,Fla,"LW,RW",167.5
Ryan McDonagh,TB,D,167.5
John Marino,Pit,D,167.7
P.K. Subban,NJ,D,168.0
T.J. Brodie,Tor,D,168.0
Calvin Petersen,LA,G,168.0
Chris Driedger,Fla,G,168.0
Josh Anderson,Mon,RW,168.2
Duncan Keith,Chi,D,168.5
Jason Zucker,Pit,"LW,RW",168.6
Roope Hintz,Dal,"C,LW",168.7
Travis Sanheim,Phi,D,168.8
Antti Raanta,Ari,G,168.9
Ryan Johansen,Nsh,C,169.0
Carter Hutton,Buf,G,169.0
Andre Burakovsky,Col,"LW,RW",169.1
Kevin Hayes,Phi,C,169.3
Dmitry Orlov,Was,D,169.6
Alexander Romanov,Mon,D,169.7
Samuel Girard,Col,D,169.8
Jesse Puljujarvi,Edm,RW,169.8
Brandon Carlo,Bos,D,169.8
Jean-Gabriel Pageau,NYI,C,170.1
Ben Chiarot,Mon,D,170.1
Anthony Cirelli,TB,C,170.3
Casey DeSmith,Pit,G,170.3
Dylan Strome,Chi,"C,RW",170.5
James Reimer,Car,G,170.6
Martin Jones,SJ,G,170.7
Pavel Buchnevich,NYR,RW,170.9
Esa Lindell,Dal,D,170.9
Matt Grzelcyk,Bos,D,170.9
Tyler Toffoli,Mon,"LW,RW",171.2
Mikael Backlund,Cgy,"C,RW",171.2
Erik Gustafsson,Phi,D,171.2
Brock Nelson,NYI,C,171.3
Mark Borowiecki,Nsh,D,171.4
Oliver Bjorkstrand,Cls,"LW,RW",171.5
Ilya Sorokin,NYI,G,171.5
Vincent Trocheck,Car,C,171.5
Mattias Ekholm,Nsh,D,171.5
Robert Thomas,StL,"C,RW",171.5
Alec Martinez,VGK,D,171.6
Jonathan Drouin,Mon,"C,LW",171.7
Nikita Zadorov,Chi,D,172.3
Josh Bailey,NYI,"LW,RW",172.5
Devon Toews,Col,D,172.5
Vince Dunn,StL,D,173.0
Phillip Danault,Mon,C,173.3
Brandon Tanev,Pit,"LW,RW",173.5
Alexander Edler,Van,D,173.6
William Karlsson,VGK,C,173.8
Jakob Chychrun,Ari,D,174.2
Jeff Skinner,Buf,LW,174.3
Zach Hyman,Tor,"C,LW",174.4
Eric Staal,Buf,C,174.5
Justin Faulk,StL,D,174.6
Bowen Byram,Col,D,174.7
Clayton Keller,Ari,"LW,RW",174.8
Paul Stastny,Wpg,C,174.9
Josh Morrissey,Wpg,D,175.0
Dustin Brown,LA,RW,175.2
Mikko Lehtonen,Tor,D,175.2
Matt Murray,Ott,G,176.0
Corey Crawford,NJ,G,176.1
Nick Foligno,Cls,"LW,RW",176.6
Mikko Koskinen,Edm,G,176.8
MacKenzie Blackwood,NJ,G,178.2
Rickard Rakell,Anh,"LW,RW",178.8
Denis Gurianov,Dal,"LW,RW",178.8
Alexandar Georgiev,NYR,G,181.1
Nikita Gusev,NJ,"LW,RW",182.6
Kevin Labanc,SJ,"LW,RW",182.6
Alex Stalock,Min,G,184.1
Devan Dubnyk,SJ,G,184.3
Henrik Lundqvist,Was,G,185.2
