position,name,low,mid,high,n
RB,Jacquizz Rodgers,10.8,12.2,15.8,4
WR,Jaelen Strong,1.6,3.6,7.9,4
WR,Jake Kumerow,0.0,0.0,0.0,2
RB,Jalen Richard,2.4,3.8,4.8,4
WR,Jalin Marshall,1.5,2.5,3.9,4
RB,Jalston Fowler,0.0,0.1,0.3,3
RB,Jamaal Charles,3.5,4.9,5.8,4
QB,Jameis Winston,14.5,17.0,18.4,4
RB,James Develin,0.0,0.1,0.4,3
TE,James Hanna,0.5,0.6,0.6,2
TE,James O'Shaughnessy,0.1,0.2,0.4,2
RB,James Starks,0.0,0.0,0.0,3
RB,James White,4.7,7.1,8.5,4
WR,James Wright,0.0,0.5,1.0,4
WR,Jamison Crowder,4.5,6.4,8.7,4
RB,Jamize Olawale,0.6,1.3,1.9,4
WR,Jared Abbrederis,0.0,0.0,0.0,2
TE,Jared Cook,0.0,0.8,2.3,3
WR,Jarius Wright,0.0,1.0,1.8,4
WR,Jaron Brown,0.0,0.0,0.0,2
WR,Jason Avant,0.0,0.4,0.9,2
K,Jason Myers,5.0,6.1,7.0,3
TE,Jason Witten,3.8,4.5,5.3,4
WR,Javontee Herndon,0.0,0.0,0.0,2
QB,Jay Cutler,12.0,12.2,12.4,4
RB,Jay Prosch,0.0,0.2,0.3,3
TE,Jeff Cumberland,0.0,0.0,0.0,2
TE,Jeff Heuerman,0.9,1.0,1.1,3
WR,Jeff Janis,0.0,2.4,7.6,4
WR,Jeremy Butler,0.0,0.5,1.6,4
RB,Jeremy Hill,3.9,7.4,9.9,4
RB,Jeremy Langford,0.0,3.4,8.3,4
WR,Jeremy Maclin,5.5,7.3,8.4,4
RB,Jerick McKinnon,3.2,7.0,9.2,4
TE,Jermaine Gresham,0.8,1.8,2.3,4
WR,Jermaine Kearse,4.8,6.3,10.0,4
RB,Jerome Felton,0.0,0.2,0.4,3
QB,Jimmy Garoppolo,0.3,1.0,2.4,3
TE,Jimmy Graham,6.9,9.3,12.7,4
QB,Joe Webb,0.0,0.0,0.0,2
WR,John Brown,5.8,6.5,7.8,4
RB,John Crockett,0.0,0.0,0.0,2
RB,John Kuhn,0.5,1.5,3.5,4
TE,John Phillips,0.4,0.7,1.0,3
WR,Johnny Holton,0.0,0.3,0.6,3
RB,Jonathan Grimes,0.0,0.6,1.9,3
RB,Jonathan Stewart,6.1,8.4,9.9,4
RB,Jonathan Williams,0.0,0.8,1.6,4
RB,Jordan Howard,3.4,5.5,6.4,4
WR,Jordan Matthews,5.0,7.7,9.6,4
WR,Jordan Norwood,1.2,3.3,8.4,4
WR,Jordan Payton,0.0,0.4,0.6,4
TE,Jordan Reed,5.4,8.7,11.9,3
WR,Jordan Taylor,-0.2,0.0,0.3,3
RB,Jordan Todman,0.0,0.2,0.4,4
WR,Jordy Nelson,5.8,9.8,11.6,4
WR,Josh Bellamy,0.9,2.0,3.1,3
WR,Josh Boyce,0.0,0.0,0.0,2
WR,Josh Doctson,0.0,0.0,0.0,2
RB,Josh Ferguson,1.1,1.6,2.1,4
WR,Josh Gordon,0.0,0.0,0.0,2
TE,Josh Hill,1.5,3.2,7.1,4
WR,Josh Huff,1.6,1.9,2.6,4
K,Josh Lambo,6.4,7.5,9.0,3
QB,Josh McCown,0.0,2.5,5.2,4
WR,Julian Edelman,5.2,7.5,8.7,4
WR,Julio Jones,12.8,15.1,17.1,4
TE,Julius Thomas,3.7,4.9,6.4,4
WR,Justin Blackmon,0.0,0.0,0.0,2
RB,Justin Forsett,2.0,2.4,2.6,4
WR,Justin Hardy,1.6,2.5,3.2,4
WR,Justin Hunter,3.2,5.5,9.8,4
TE,Justin Perillo,0.6,0.8,1.0,3
RB,Juwan Thompson,0.0,0.0,0.0,3
RB,Ka'Deem Carey,2.6,4.0,6.7,4
DEF,Kansas City Chiefs,6.0,8.1,10.3,3
RB,Kapri Bibbs,0.0,0.8,1.8,4
WR,Keenan Allen,0.0,0.0,0.0,2
RB,Keith Marshall,0.0,0.0,0.0,2
WR,Keith Mumphery,0.0,0.2,0.3,3
QB,Kellen Clemens,0.0,0.1,0.2,3
TE,Kellen Davis,0.0,0.1,0.2,3
QB,Kellen Moore,0.0,0.0,0.0,2
WR,Kelvin Benjamin,8.0,9.7,11.8,4
RB,Kendall Hunter,0.0,0.0,0.0,2
WR,Kendall Wright,3.2,5.6,10.0,4
RB,Kenjon Barner,0.0,0.9,1.5,4
RB,Kenneth Farrow,0.0,0.8,1.6,4
WR,Kenny Lawler,0.0,0.0,0.0,3
RB,Kerwynn Williams,0.0,0.3,1.1,4
QB,Kevin Hogan,3.7,7.6,11.6,4
WR,Kevin Norwood,-0.0,-0.0,0.0,3
WR,Keyarris Garrett,0.0,0.0,0.0,3
QB,Kirk Cousins,11.4,14.7,16.5,4
RB,Knile Davis,1.4,4.0,8.1,4
WR,Kolby Listenbee,0.0,0.0,0.0,2
TE,Kyle Rudolph,4.2,5.8,6.8,4
RB,Lamar Miller,8.9,13.0,15.3,4
RB,Lance Dunbar,0.0,3.1,8.1,4
WR,Laquon Treadwell,0.0,0.3,0.7,4
WR,Larry Fitzgerald,6.5,9.8,11.1,4
RB,Latavius Murray,8.4,10.3,12.2,4
RB,LeGarrette Blount,8.8,11.4,13.6,4
RB,LeSean McCoy,0.0,4.3,7.8,3
TE,Levine Toilolo,0.8,1.6,2.2,4
TE,Logan Paulsen,0.0,0.2,0.4,3
WR,Louis Murphy,0.0,0.2,0.7,3
WR,Lucky Whitehead,0.0,0.4,0.7,4
QB,Luke McCown,0.0,0.1,0.3,4
TE,Luke Stocker,0.2,0.6,0.9,2
RB,Mack Brown,0.0,0.0,0.0,2
WR,Malcolm Mitchell,0.0,0.8,1.5,4
WR,Marc Mariani,0.0,0.2,0.5,4
TE,Marcedes Lewis,1.3,1.8,2.1,4
WR,Marcus Easley,0.0,0.0,0.0,2
QB,Marcus Mariota,11.7,14.5,16.0,4
RB,Marcus Murphy,0.0,0.1,0.2,3
RB,Mark Ingram,9.8,11.4,15.0,4
QB,Mark Sanchez,-1.6,-0.2,0.8,4
WR,Marqise Lee,5.2,6.8,10.3,4
WR,Marquess Wilson,0.0,0.0,0.0,2
WR,Marquise Goodwin,3.7,4.7,5.2,4
TE,Martellus Bennett,5.8,6.8,8.9,4
WR,Marvin Jones,6.3,8.1,9.2,4
K,Mason Crosby,7.5,8.9,11.0,3
RB,Matt Asiata,4.4,5.7,7.7,4
QB,Matt Barkley,-1.6,-0.5,0.2,3
K,Matt Bryant,2.0,6.9,10.6,3
QB,Matt Cassel,0.0,0.4,1.0,4
QB,Matt Flynn,-0.0,-0.0,0.0,2
RB,Matt Forte,12.9,13.8,15.9,4
RB,Matt Jones,7.8,9.4,12.9,4
QB,Matt McGloin,-0.1,0.2,0.4,3
K,Matt Prater,6.7,7.6,8.2,3
QB,Matt Ryan,16.5,18.0,19.1,4
QB,Matt Schaub,-0.1,0.1,0.4,4
QB,Matt Simms,0.0,0.0,0.0,2
WR,Matt Slater,0.0,0.0,0.0,2
WR,Matthew Slater,0.0,0.0,0.0,2
QB,Matthew Stafford,14.1,15.4,17.0,4
RB,Melvin Gordon,8.7,10.6,11.5,4
RB,Michael Burton,0.0,0.1,0.2,3
WR,Michael Crabtree,5.8,8.8,10.9,4
WR,Michael Floyd,5.7,6.1,6.7,4
TE,Michael Hoomanawanui,0.0,0.0,0.0,2
WR,Michael Thomas,5.8,8.4,12.9,4
WR,Mike Evans,13.3,14.1,14.5,4
RB,Mike Gillislee,2.5,6.8,9.7,4
QB,Mike Glennon,0.0,0.2,0.3,2
K,Mike Nugent,5.0,6.8,8.0,3
RB,Mike Tolbert,0.6,1.8,3.5,4
DEF,Minnesota Vikings,4.0,9.0,13.1,3
WR,Mitch Mathews,0.0,0.0,0.0,2
WR,Mohamed Sanu,5.4,7.2,9.5,4
WR,Moritz Boehringer,0.0,0.0,0.0,2
TE,Mychal Rivera,0.6,1.2,1.7,4
TE,MyCole Pruitt,0.3,0.4,0.4,2
WR,Nelson Agholor,3.0,4.0,5.2,4
DEF,New England Patriots,4.0,4.8,6.0,3
DEF,New Orleans Saints,-0.5,3.3,6.3,3
DEF,New York Jets,5.6,8.6,12.0,3
QB,Nick Foles,0.0,0.6,1.8,4
K,Nick Folk,7.1,8.5,11.0,3
K,Nick Novak,7.6,8.8,11.0,3
TE,Nick O'Leary,0.6,0.9,1.1,3
TE,Nick Vannett,0.0,0.4,0.7,3
TE,Niles Paul,1.1,1.7,2.6,3
DEF,Oakland Raiders,6.0,7.4,8.1,3
RB,Patrick DiMarco,0.5,1.7,4.9,4
WR,Paul Richardson,0.0,1.2,1.9,4
QB,Paxton Lynch,0.4,1.4,3.0,3
RB,Peyton Barber,3.2,5.4,8.5,4
DEF,Philadelphia Eagles,6.0,6.9,8.1,3
QB,Philip Rivers,10.0,12.5,13.8,4
WR,Phillip Dorsett,0.0,3.1,5.2,4
TE,Phillip Supernaw,0.3,0.4,0.4,2
WR,Philly Brown,3.1,4.9,6.7,2
WR,Pierre Garcon,4.9,5.8,6.5,4
WR,Quan Bray,0.0,0.0,0.0,2
WR,Quincy Enunwa,4.2,6.7,7.6,4
RB,Raheem Mostert,0.0,0.0,0.0,2
WR,Randall Cobb,8.0,11.2,18.4,4
TE,Randall Telfer,0.6,0.6,0.7,2
WR,Rashad Greene,0.0,0.7,1.2,4
WR,Rashad Ross,0.0,0.4,1.2,4
WR,Rashard Higgins,0.0,0.7,1.4,4
RB,Reggie Bush,1.5,2.6,3.6,4
RB,Rex Burkhead,0.0,0.6,1.2,4
TE,Rhett Ellison,0.5,0.7,0.9,2
WR,Ricardo Louis,3.1,3.6,4.2,4
TE,Richard Rodgers,2.6,3.4,3.8,4
WR,Rishard Matthews,3.8,6.7,10.8,4
TE,Rob Gronkowski,7.0,9.5,11.1,4
RB,Rob Kelley,2.9,5.2,7.5,2
WR,Robby Anderson,0.5,2.3,3.5,4
RB,Robert Kelley,1.6,2.3,3.0,2
RB,Robert Turbin,1.9,2.6,3.2,4
WR,Robert Woods,4.7,6.1,7.2,4
K,Roberto Aguayo,2.0,5.5,7.7,3
RB,Rod Smith,0.0,0.1,0.1,4
RB,Ronnie Hillman,0.0,1.7,3.2,4
RB,Russell Hansbrough,0.0,0.0,0.0,2
WR,Russell Shepard,2.7,4.8,7.2,4
QB,Russell Wilson,13.1,17.7,20.4,4
QB,Ryan Fitzpatrick,12.9,15.3,16.4,4
WR,Ryan Grant,0.5,1.3,1.6,4
TE,Ryan Griffin,2.3,2.5,2.6,4
RB,Ryan Hewitt,0.0,0.3,0.6,2
RB,Ryan Mathews,3.8,6.6,8.1,4
K,Ryan Succop,6.8,8.3,11.0,3
QB,Sam Bradford,11.9,13.0,13.9,4
WR,Sammy Watkins,0.0,0.0,0.0,2
DEF,San Diego Chargers,6.0,7.0,8.1,3
QB,Scott Tolzien,0.0,0.3,0.6,4
TE,Sean McGrath,0.1,0.2,0.3,2
WR,Seantavius Jones,0.0,0.0,0.0,2
DEF,Seattle Seahawks,1.0,3.5,6.8,4
K,Sebastian Janikowski,7.6,7.8,8.0,3
WR,Seth DeValve,0.0,0.1,0.2,2
WR,Seth Roberts,3.1,4.3,5.3,4
WR,Seyi Ajirotutu,0.0,0.0,0.0,2
QB,Shaun Hill,0.0,0.3,0.6,4
RB,Silas Redd,0.0,0.0,0.0,2
RB,Spencer Ware,13.7,14.5,15.3,4
WR,Stefon Diggs,5.3,7.5,9.2,4
RB,Stepfan Taylor,0.4,0.6,0.8,4
TE,Stephen Anderson,0.7,1.1,1.6,4
K,Stephen Gostkowski,2.0,6.1,8.7,3
K,Stephen Hauschka,7.7,9.8,12.0,2
RB,Stevan Ridley,0.0,0.7,1.9,3
RB,Steven Jackson,0.0,1.4,2.7,2
QB,T.J. Yates,0.0,0.0,0.0,2
RB,T.J. Yeldon,5.0,5.9,6.6,4
WR,T.Y. Hilton,11.4,12.2,13.4,4
RB,Taiwan Jones,0.0,0.3,0.5,4
WR,Tajae Sharpe,4.6,7.5,9.9,4
DEF,Tampa Bay Buccaneers,3.5,5.0,6.6,3
WR,Tanner McEvoy,0.0,1.3,2.8,4
WR,Taylor Gabriel,1.4,1.7,2.0,4
WR,Ted Ginn,3.8,6.9,10.1,2
WR,Ted Ginn Jr.,3.2,4.8,6.3,2
DEF,Tennessee Titans,6.0,7.8,8.8,3
WR,Terrance Williams,4.2,5.4,6.3,4
WR,Terrelle Pryor,4.5,7.1,9.1,3
RB,Terron Ward,0.7,2.2,3.7,4
WR,Tevaun Smith,0.4,0.8,1.1,2
RB,Tevin Coleman,0.0,0.0,0.0,3
RB,Theo Riddick,0.0,3.6,7.4,4
RB,Thomas Rawls,0.0,0.7,2.0,3
RB,Tim Hightower,1.6,2.4,3.8,4
WR,TJ Jones,0.0,0.0,0.0,2
QB,Tom Brady,14.1,16.8,18.5,4
QB,Tom Savage,0.3,0.7,1.5,3
WR,Tommylee Lewis,0.5,0.8,1.1,4
QB,Tony Romo,0.0,0.2,0.4,2
RB,Travaris Cadet,1.6,3.5,8.0,4
WR,Travis Benjamin,5.2,5.6,5.9,4
TE,Travis Kelce,4.5,6.3,7.4,4
WR,Tre McBride,0.0,0.0,0.0,2
QB,Trevone Boykin,0.2,0.5,0.9,3
WR,Trevor Davis,0.0,0.2,0.6,4
QB,Trevor Siemian,12.8,16.1,21.5,4
TE,Trey Burton,0.1,1.1,1.7,4
RB,Troymaine Pope,0.0,0.5,1.1,4
WR,Ty Montgomery,7.8,9.6,13.5,5
WR,Tyler Boyd,2.9,5.0,8.9,4
TE,Tyler Eifert,5.7,7.1,10.7,4
RB,Tyler Ervin,0.0,0.6,0.9,4
RB,Tyler Gaffney,0.0,0.0,0.0,2
TE,Tyler Kroft,0.8,3.1,7.3,3
WR,Tyler Lockett,5.0,6.7,9.5,4
WR,Tyreek Hill,2.6,4.5,8.7,4
WR,Tyrell Williams,5.8,8.0,12.4,4
QB,Tyrod Taylor,13.8,15.2,17.6,4
TE,Vernon Davis,4.5,6.7,8.6,4
WR,Vince Mayle,0.0,0.0,0.0,3
WR,Vincent Brown,0.0,0.0,0.0,2
WR,Vincent Jackson,0.0,0.0,0.0,2
TE,Virgil Green,3.3,4.8,8.1,4
WR,Walter Powell,0.6,1.1,1.9,3
DEF,Washington Redskins,6.0,6.3,7.0,3
RB,Wendell Smallwood,1.6,2.4,2.7,4
K,Wil Lutz,2.0,4.6,7.2,2
WR,Will Fuller,7.6,8.9,10.7,3
WR,Willie Snead,6.6,7.2,7.7,4
TE,Zach Ertz,4.4,5.1,5.7,4
RB,Zach Line,0.0,0.5,1.7,4
TE,Zach Miller,5.6,6.9,9.8,4
RB,Zach Zenner,3.4,3.7,4.3,4
