team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
NYR,28.0,Mika Zibanejad,1.0,1.0,C,C,47.9,4.9,23.1,5.0,8.0,3.0,2.0,41.29,40.365,20.21,244.185,96.0,59.7,6.0,,,,
Wpg,28.0,Connor Hellebuyck,,,G,G,81.4,12.0,23.4,3.0,4.0,1.0,2.0,,,,,,,,36.19,0.911,1888.825,4.825
Fla,26.0,Aleksander Barkov,1.0,1.0,C,C,46.2,3.2,23.9,6.0,9.0,3.0,2.0,33.61,54.94,23.0,259.475,37.5,53.7,4.8,,,,
Was,31.0,John Carlson,1.0,1.0,D,D,43.9,11.8,24.7,1.0,2.0,1.0,3.0,15.565,58.745,22.53,205.125,56.5,132.4,2.7,,,,
NYR,,Adam Fox,1.0,1.0,D,D,36.6,4.6,25.3,11.0,3.0,-8.0,3.0,8.94,50.395,20.65,151.06,43.1,144.2,2.4,,,,
Ott,,Brady Tkachuk,1.0,1.0,LW,LW,47.3,5.9,25.6,3.0,5.0,2.0,3.0,26.26,29.095,10.955,290.69,316.2,39.0,3.9,,,,
Car,21.0,Andrei Svechnikov,1.0,1.0,"LW,RW",RW,42.7,2.6,27.7,5.0,6.0,1.0,3.0,26.91,42.185,18.775,241.485,159.0,31.4,4.0,,,,
Min,24.0,Kirill Kaprizov,1.0,1.0,"LW,RW",RW,37.3,-2.8,28.5,10.5,7.0,-3.5,3.0,38.6,34.985,16.65,217.18,46.3,28.2,5.0,,,,
TB,30.0,Victor Hedman,1.0,1.0,D,D,43.1,11.1,28.7,2.0,4.0,2.0,3.0,15.23,51.73,24.275,208.045,88.6,110.9,2.5,,,,
Pit,26.0,Jake Guentzel,1.0,1.0,"LW,RW",LW,44.2,2.8,30.3,6.0,6.0,0.0,3.0,37.28,45.42,17.935,236.17,79.5,43.2,6.0,,,,
TB,31.0,Steven Stamkos,2.0,1.0,"C,RW",C,42.2,-0.8,31.3,9.0,10.0,1.0,3.0,35.68,43.275,23.395,207.395,71.2,32.5,5.0,,,,
