Goals,TRUE,,,,,,,,,2021-22 Fantasy Hockey Customizable Rankings,,,,,,,,,,,,,,,,,,,,,,
Assists,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Points,FALSE,,,,,,,,,Starting Goalies,,,https://www.dailyfaceoff.com/starting-goalies/,,,,,,,,,,,,,,,,,,,
Plus/Minus,TRUE,,,,,,,,,Projected Lines,,,https://www.dailyfaceoff.com/teams/,,,,,,,,,,,,,,,,,,,
PIM,FALSE,,,,,,,,,Player News,,,https://www.dailyfaceoff.com/hockey-player-news/,,,,,,,,,,,,,,,,,,,
PPG,FALSE,,,,,,,,,DFO Podcast,,,https://soundcloud.com/dailyfaceoff-podcast,,,,,,,,,,,,,,,,,,,
PPA,FALSE,,,,,,,,,,Twitter,,https://twitter.com/DailyFaceoff,,,,,,,,,,,,,,,,,,,
PPP,TRUE,,,,,,,,,,,Instagram,https://www.instagram.com/dailyfaceoff/,,,,,,,,,,,,,,,,,,,
GWG,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOG,TRUE,,Step 1:,File > Make a Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATOI,FALSE,,Step 2:,Check off all scoring categories for your league,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,FALSE,,Step 3:,Check off which site you use for correct Position Eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIT,FALSE,,Step 4:,"Sort by ""SCORE"" for rankings customized to your league settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,TEAM,Pos,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Zach Werenski,CBJ,D,24,76.4,16.2,28.5,44.7,-4.4,19.1,13.7,2.5,10.2,12.7,2.8,186.7,24.0,84.7,56.8,2.644,0.465,,-0.786,,,,0.709,,1.261,,,,4.685
Jeff Petry,MTL,D,34,82.0,14.3,36.3,50.6,-1.3,33.0,10.1,4.3,12.9,17.1,2.6,185.4,23.9,113.1,178.4,2.105,1.223,,-0.371,,,,1.287,,1.230,,,,5.660
Cale Makar,COL,D,23,75.1,15.5,54.5,70.0,17.1,22.1,9.3,6.2,25.8,32.0,3.8,184.5,24.6,74.0,82.4,2.445,2.992,,2.093,,,,3.244,,1.209,,,,10.936
Evan Bouchard,EDM,D,22,72.9,7.8,17.5,25.2,-3.9,19.8,3.3,4.5,0.5,5.0,0.5,182.5,17.4,84.7,75.7,0.263,-0.604,,-0.719,,,,-0.302,,1.162,,,,0.159
Morgan Rielly,TOR,D,27,78.7,10.2,44.2,54.4,9.7,22.1,8.5,1.8,16.9,18.6,2.2,179.1,23.2,97.3,73.1,0.943,1.991,,1.102,,,,1.484,,1.081,,,,6.050
Ivan Provorov,PHI,D,25,82.0,11.8,24.7,36.5,1.8,31.4,9.5,2.3,7.5,9.8,1.7,176.4,24.8,149.7,106.9,1.396,0.095,,0.044,,,,0.329,,1.018,,,,2.860
Colton Parayko,STL,D,28,76.9,7.8,21.1,28.9,3.0,21.0,5.9,1.9,2.4,4.3,1.1,172.7,22.7,138.8,104.0,0.263,-0.254,,0.205,,,,-0.394,,0.930,,,,0.647
Justin Faulk,STL,D,29,80.9,7.9,19.3,27.1,3.3,47.7,6.2,1.7,3.3,5.0,1.5,170.7,22.6,108.0,137.7,0.291,-0.429,,0.245,,,,-0.302,,0.883,,,,0.566
Torey Krug,STL,D,30,74.0,7.9,45.3,53.2,1.1,34.3,5.5,2.4,22.5,24.9,1.9,170.5,21.8,75.1,66.9,0.291,2.098,,-0.050,,,,2.311,,0.878,,,,5.554
Neal Pionk,WPG,D,26,79.4,6.3,40.8,47.1,5.0,34.2,3.6,2.8,19.9,22.6,0.8,170.1,22.7,98.8,180.4,-0.162,1.660,,0.473,,,,2.009,,0.869,,,,4.612
Rasmus Dahlin,BUF,D,21,78.7,7.7,37.6,45.3,-15.3,43.1,4.5,3.2,17.0,20.2,1.5,169.3,22.6,77.5,114.2,0.234,1.349,,-2.246,,,,1.694,,0.850,,,,3.005
Mathew Dumba,MIN,D,27,77.7,11.5,24.9,36.4,1.7,47.3,8.3,3.2,9.4,12.6,2.2,169.0,22.9,107.8,124.7,1.311,0.115,,0.031,,,,0.696,,0.843,,,,2.981
Adam Fox,NYR,D,23,80.9,9.4,54.2,63.5,9.8,33.7,6.8,2.6,26.3,28.9,2.4,168.9,24.6,144.2,43.1,0.716,2.963,,1.116,,,,2.837,,0.841,,,,7.914
Erik Karlsson,SJS,D,31,73.1,7.7,36.6,44.3,-7.0,25.4,4.9,2.8,13.9,16.7,1.0,168.5,23.8,92.4,39.2,0.234,1.252,,-1.134,,,,1.235,,0.831,,,,2.985
Devon Toews,COL,D,27,78.1,10.4,29.3,39.7,15.7,21.0,8.3,2.1,5.8,7.8,1.9,167.9,24.0,103.0,66.0,1.000,0.543,,1.906,,,,0.066,,0.817,,,,3.378
Vince Dunn,SEA,D,25,76.6,12.4,24.5,36.9,3.2,42.0,7.9,4.5,8.0,12.4,2.1,165.5,20.7,83.9,68.5,1.566,0.076,,0.232,,,,0.670,,0.760,,,,3.189
Jacob Trouba,NYR,D,27,77.6,6.3,23.4,29.6,-1.3,62.4,3.8,2.5,4.3,6.8,1.2,161.1,21.8,147.2,186.7,-0.162,-0.031,,-0.371,,,,-0.065,,0.657,,,,0.212
Mattias Ekholm,NSH,D,31,79.1,9.0,28.9,37.9,11.0,39.3,7.5,1.5,5.3,6.8,1.7,160.9,23.1,97.7,57.8,0.603,0.504,,1.276,,,,-0.065,,0.652,,,,2.331
Mikhail Sergachev,TBL,D,23,80.0,8.8,34.3,43.1,10.2,48.5,6.5,2.4,10.3,12.7,1.5,160.8,21.9,111.7,114.2,0.546,1.029,,1.169,,,,0.709,,0.649,,,,3.518
Jaccob Slavin,CAR,D,27,80.2,6.9,25.8,32.6,12.8,14.5,5.4,1.5,2.2,3.7,1.3,158.0,23.4,129.2,61.6,0.008,0.202,,1.517,,,,-0.472,,0.583,,,,1.080
Shayne Gostisbehere,ARI,D,28,75.5,11.1,21.7,32.7,-8.7,23.8,6.7,4.4,7.6,12.0,1.8,157.9,20.5,90.6,43.4,1.198,-0.196,,-1.362,,,,0.617,,0.581,,,,1.519
Tony DeAngelo,CAR,D,26,75.3,10.5,33.4,43.9,3.9,63.1,8.7,1.9,14.4,16.2,1.9,157.9,20.2,84.2,64.6,1.028,0.941,,0.325,,,,1.169,,0.581,,,,3.882
