Players,TEAM,Pos,FanTrax,Yahoo,ESPN,Age,GP,G,A,PTS,(+/-),PIM,EV,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,G,A,PTS,(+/-),PIM,PPG,PPA,PPP,GWG,SOG,ATOI,BLK,HIT,SCORE
Mitch Marner,TOR,RW,RW,RW,RW,24,78.3,24.8,66.3,91.1,14.8,23.2,20.8,3.6,20.0,23.6,4.8,216.9,21.1,48.3,30.4,0.625,3.268,,1.885,,,,1.503,1.113,1.130,,1.091,-1.011,8.661
Sebastian Aho,CAR,C,C,C,C,24,80.8,35.8,44.0,79.8,12.4,33.7,28.3,7.5,15.4,22.9,6.7,228.4,19.6,31.8,61.5,2.049,1.408,,1.564,,,,1.420,2.347,1.367,,-0.229,-0.360,8.784
Sidney Crosby,PIT,C,C,C,C,34,76.0,30.2,54.3,84.5,5.1,33.5,21.8,8.4,20.6,29.0,5.1,210.3,20.6,35.6,63.4,1.324,2.267,,0.590,,,,2.142,1.308,0.994,,0.075,-0.320,8.084
Patrice Bergeron,BOS,C,C,C,C,36,71.0,33.8,37.8,71.6,17.7,29.1,20.1,10.8,12.8,23.6,4.9,236.9,18.7,53.5,54.1,1.790,0.890,,2.272,,,,1.503,1.178,1.543,,1.507,-0.515,9.032
Steven Stamkos,TBL,C/RW,C/RW,C/RW,C,31,73.8,34.3,44.2,78.5,8.7,37.0,18.6,15.7,13.9,29.6,5.0,199.5,18.5,32.5,71.2,1.855,1.424,,1.071,,,,2.213,1.243,0.771,,-0.173,-0.157,7.711
Brayden Point,TBL,C/RW,C,C/RW,C,25,80.0,35.0,45.1,80.0,15.2,21.8,22.3,12.7,12.2,24.8,6.4,190.4,19.3,34.4,34.3,1.946,1.499,,1.938,,,,1.645,2.152,0.583,,-0.021,-0.930,7.844
Mika Zibanejad,NYR,C,C,C,C,28,78.3,34.7,39.9,74.6,0.3,30.0,21.3,13.5,11.0,24.5,6.0,240.7,20.3,59.7,96.0,1.907,1.065,,-0.050,,,,1.610,1.893,1.621,,2.003,0.362,10.435
Alex DeBrincat,CHI,LW/RW,LW,LW/RW,LW,24,80.5,37.9,36.4,74.2,-1.4,18.8,24.6,13.3,11.3,24.6,6.8,239.2,19.5,29.7,79.5,2.321,0.773,,-0.277,,,,1.622,2.412,1.590,,-0.397,0.017,8.199
Jake Guentzel,PIT,LW/RW,LW,LW/RW,LW,27,79.5,36.3,42.6,78.8,9.2,32.3,27.6,8.7,10.9,19.6,6.0,217.7,20.1,43.2,79.5,2.114,1.291,,1.137,,,,1.030,1.893,1.146,,0.683,0.017,8.741
Nikolaj Ehlers,WPG,LW/RW,LW,LW/RW,LW,25,78.8,33.0,39.3,72.3,7.8,30.1,24.2,8.9,10.1,19.0,6.4,255.8,17.6,26.1,43.1,1.687,1.015,,0.951,,,,0.959,2.152,1.933,,-0.685,-0.745,6.791
