team,name,position,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Edm,Darnell Nurse,D,13.46,31.465,5.73,208.545,174.5,151.4,1.8,,,,
Was,Ilya Samsonov,G,,,,,,,,32.035,0.906,1566.665,3.78
Chi,Seth Jones,D,9.79,39.57,14.48,194.24,115.7,144.2,2.3,,,,
Dal,Tyler Seguin,"C,RW",22.4,35.75,12.885,253.91,65.5,32.7,5.3,,,,
TB,Ondrej Palat,LW,21.085,33.245,12.26,158.795,125.5,60.2,3.2,,,,
VGK,Shea Theodore,D,14.7,43.22,16.83,274.495,36.1,81.5,2.0,,,,
Edm,Ryan Nugent-Hopkins,"C,LW",27.265,40.265,21.935,213.795,47.1,44.2,3.8,,,,
Pit,Kris Letang,D,15.2,46.78,17.155,216.945,116.9,101.4,2.2,,,,
Dal,Miro Heiskanen,D,12.485,34.935,10.51,192.64,56.2,87.8,1.3,,,,
Fla,Sam Reinhart,"C,RW",36.36,36.7,17.79,191.34,33.8,38.2,4.1,,,,
Tor,Petr Mrazek,G,,,,,,,,14.635,0.909,623.64,2.115
Cgy,Elias Lindholm,"C,RW",29.95,37.705,18.685,191.11,87.7,45.6,5.7,,,,
Fla,Spencer Knight,G,,,,,,,,13.665,0.909,662.5,1.7
StL,Jordan Binnington,G,,,,,,,,33.005,0.909,1765.62,4.28
Buf,Jack Eichel,C,26.8,42.585,18.36,218.115,47.7,38.7,3.3,,,,
Bos,Linus Ullmark,G,,,,,,,,33.115,0.91,1654.74,4.055
Ari,Jakob Chychrun,D,19.355,26.17,11.555,208.755,93.7,126.7,2.8,,,,
Dal,Alexander Radulov,"LW,RW",22.9,31.615,12.475,165.57,52.8,49.6,3.7,,,,
Was,T.J. Oshie,"C,RW",30.495,29.65,14.76,153.68,106.8,49.9,3.7,,,,
Was,Nicklas Backstrom,C,19.025,53.105,20.84,152.935,41.1,42.1,2.8,,,,
Dal,Jason Robertson,LW,26.775,41.67,7.225,207.885,45.5,21.0,4.2,,,,
VGK,Jonathan Marchessault,"C,LW",26.645,34.835,11.09,292.465,86.9,20.5,4.7,,,,
Mon,Nick Suzuki,"C,RW",21.715,38.275,16.525,178.16,103.3,51.7,2.6,,,,
LA,Anze Kopitar,C,23.09,49.02,21.88,160.27,58.3,57.6,4.1,,,,
StL,Torey Krug,D,7.855,45.8,19.67,177.24,66.9,75.1,1.9,,,,
Wpg,Blake Wheeler,"C,RW",23.785,48.72,20.035,187.0,90.2,47.0,2.9,,,,
Bos,Taylor Hall,LW,21.375,43.08,16.13,246.98,53.2,32.0,3.4,,,,
