name,line,ppu
Viktor Arvidsson,1,2.0
Anze Kopitar,1,1.0
Dustin Brown,1,1.0
Vladimir Tkachev,2,2.0
Phillip Danault,2,
Alex Iafallo,2,1.0
Trevor Moore,3,
Gabriel Vilardi,3,2.0
Arthur Kaliyev,3,2.0
Adrian Kempe,4,1.0
Jaret Anderson-Dolan,4,
Andreas Athanasiou,4,
Mikey Anderson,1,
Drew Doughty,1,1.0
Alexander Edler,2,
Sean Walker,2,2.0
Tobias Bjornfot,3,
Matt Roy,3,
Kirill Kaprizov,1,1.0
Joel Eriksson Ek,1,2.0
Mats Zuccarello,1,1.0
Jordan Greenway,2,
Ryan Hartman,2,2.0
Marcus Foligno,2,
Victor Rask,3,1.0
Frederick Gaudreau,3,
Kevin Fiala,3,1.0
Matthew Boldy,4,2.0
Nico Sturm,4,
Nick Bjugstad,4,
Alex Goligoski,1,2.0
Jared Spurgeon,1,1.0
Jonas Brodin,2,
Mathew Dumba,2,2.0
Dmitry Kulikov,3,
Jon Merrill,3,
Tyler Toffoli,1,1.0
Nick Suzuki,1,1.0
Cole Caufield,1,1.0
Jonathan Drouin,2,2.0
Christian Dvorak,2,2.0
Josh Anderson,2,2.0
Joel Armia,3,
Jake Evans,3,
Brendan Gallagher,3,1.0
Artturi Lehkonen,4,
Cedric Paquette,4,
Mathieu Perreault,4,
Joel Edmundson,1,
Jeff Petry,1,1.0
Alexander Romanov,2,2.0
David Savard,2,
Ben Chiarot,3,
Chris Wideman,3,2.0
Filip Forsberg,1,1.0
Ryan Johansen,1,1.0
Matt Duchene,1,1.0
Eeli Tolvanen,2,1.0
Cody Glass,2,2.0
Luke Kunin,2,2.0
Mikael Granlund,3,2.0
Philip Tomasino,3,
Nick Cousins,3,
Yakov Trenin,4,
Colton Sissons,4,
Mathieu Olivier,4,
Roman Josi,1,1.0
Dante Fabbro,1,
Mattias Ekholm,2,2.0
Philippe Myers,2,
Mark Borowiecki,3,
Alexandre Carrier,3,2.0
Janne Kuokkanen,1,
Jack Hughes,1,1.0
Yegor Sharangovich,1,
Tomas Tatar,2,2.0
Nico Hischier,2,2.0
Jesper Bratt,2,1.0
Miles Wood,3,2.0
Pavel Zacha,3,1.0
Michael McLeod,3,
Nolan Foote,4,
Jesper Boqvist,4,
Andreas Johnsson,4,
Ryan Graves,1,
Dougie Hamilton,1,1.0
Ty Smith,2,1.0
Damon Severson,2,2.0
Jonas Siegenthaler,3,
P.K. Subban,3,2.0
Anders Lee,1,1.0
Mathew Barzal,1,1.0
Kyle Palmieri,1,2.0
Anthony Beauvillier,2,1.0
Brock Nelson,2,2.0
Josh Bailey,2,2.0
Zach Parise,3,
Jean-Gabriel Pageau,3,1.0
Oliver Wahlstrom,3,2.0
