team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Car,29.0,Nino Niederreiter,2.0,2.0,"LW,RW",LW,24.7,-16.7,170.5,31.0,32.0,1.0,15.0,21.8,22.5,9.8,169.9,86.0,23.3,3.3,,,,
Ari,28.0,Shayne Gostisbehere,2.0,2.0,D,D,22.0,-10.0,171.0,42.0,46.0,4.0,15.0,12.0,19.6,9.52,154.365,43.4,90.6,1.8,,,,
SJ,32.0,Logan Couture,1.0,2.0,C,C,29.4,-13.6,171.3,32.0,37.0,5.0,15.0,26.0,29.25,10.925,178.84,65.1,54.3,3.2,,,,
Fla,27.0,Frank Vatrano,4.0,2.0,"LW,RW",LW,27.1,-14.3,172.6,24.0,33.0,9.0,15.0,23.0,16.66,3.765,217.925,112.0,46.2,3.8,,,,
Cls,26.0,Oliver Bjorkstrand,2.0,1.0,"LW,RW",RW,31.1,-9.0,172.9,19.0,37.0,18.0,15.0,29.675,29.26,8.37,220.865,63.4,36.6,4.4,,,,
NYI,32.0,Josh Bailey,2.0,2.0,"LW,RW",LW,21.3,-20.2,173.6,36.0,34.0,-2.0,15.0,15.455,38.76,10.825,115.385,22.7,37.4,2.9,,,,
Van,25.0,Conor Garland,2.0,1.0,"LW,RW",LW,26.7,-14.7,173.9,25.0,35.0,10.0,15.0,23.655,30.455,9.75,197.41,40.2,29.0,3.7,,,,
Car,33.0,Jordan Staal,3.0,2.0,C,C,27.0,-16.0,174.2,38.0,38.0,0.0,15.0,17.18,25.395,8.58,161.005,164.8,32.1,2.6,,,,
Ott,23.0,Drake Batherson,1.0,1.0,RW,RW,18.9,-21.2,174.6,41.0,38.0,-3.0,15.0,23.13,27.74,14.53,136.25,,,,,,,
Pit,36.0,Jeff Carter,1.0,1.0,"C,RW",RW,27.6,-12.5,174.8,30.0,39.0,9.0,15.0,27.105,19.64,7.375,228.76,70.2,33.7,3.3,,,,
Min,24.0,Joel Eriksson Ek,1.0,2.0,C,C,24.4,-18.6,175.0,40.0,39.0,-1.0,15.0,18.95,21.805,2.33,155.96,135.0,51.9,3.5,,,,
SJ,25.0,Kevin Labanc,3.0,1.0,"LW,RW",LW,24.4,-17.1,175.7,32.0,36.0,4.0,15.0,18.42,26.1,8.49,186.655,76.2,24.0,3.4,,,,
LA,28.0,Viktor Arvidsson,1.0,2.0,"LW,RW",RW,25.3,-14.7,175.8,35.5,40.0,4.5,15.0,24.2,21.6,7.0,216.6,29.5,40.7,3.9,,,,
NYI,28.0,Jean-Gabriel Pageau,3.0,1.0,C,C,27.5,-15.5,176.4,35.5,40.0,4.5,15.0,23.09,20.175,7.805,141.885,132.2,65.1,3.1,,,,
VGK,28.0,William Karlsson,2.0,1.0,C,C,29.9,-13.1,176.5,28.0,41.0,13.0,15.0,22.835,39.01,10.34,188.4,46.7,44.5,4.3,,,,
Phi,32.0,Cam Atkinson,3.0,2.0,RW,RW,29.9,-10.2,177.9,24.0,41.0,17.0,15.0,26.33,29.565,13.195,226.435,27.9,30.2,3.8,,,,
Dal,24.0,Denis Gurianov,3.0,2.0,"LW,RW",LW,25.3,-16.1,179.0,30.0,37.0,7.0,15.0,22.925,19.79,9.8,179.285,89.1,21.7,3.7,,,,
Det,25.0,Dylan Larkin,1.0,1.0,C,C,31.0,-12.0,179.6,27.0,42.0,15.0,15.0,22.06,36.19,11.235,231.33,67.2,38.5,2.7,,,,
Sea,29.0,Jaden Schwartz,1.0,1.0,LW,LW,26.6,-14.8,182.9,26.0,38.0,12.0,16.0,21.65,31.43,10.825,171.955,65.1,35.2,3.0,,,,
Cgy,26.0,Sean Monahan,2.0,1.0,C,C,28.6,-14.4,183.8,34.0,43.0,9.0,16.0,22.545,31.97,12.86,174.87,60.1,24.0,5.0,,,,
