team,age,name,line,ppu,position_yahoo,position,rollup,vorp,adp,pr_vorp,pr_adp,pr_arbitrage,round,goals,assists,powerplay_points,shots_on_goal,hits,blocks,game_winning_goals,wins,save_percentage,saves,shutouts
Van,22.0,Elias Pettersson,1.0,1.0,C,C,35.4,-7.6,46.9,18.5,13.0,-5.5,4.0,30.165,39.925,16.995,173.755,55.2,44.1,5.0,,,,
Fla,25.0,Aaron Ekblad,1.0,1.0,D,D,32.9,0.8,48.0,17.0,6.0,-11.0,5.0,14.375,36.975,12.75,213.425,76.6,88.6,2.6,,,,
VGK,31.0,Alex Pietrangelo,1.0,1.0,D,D,38.9,6.8,48.5,8.0,7.0,-1.0,5.0,16.48,37.5,14.09,264.58,56.6,127.6,2.7,,,,
Wpg,24.0,Kyle Connor,1.0,1.0,LW,LW,38.8,-2.6,49.0,8.0,8.0,0.0,5.0,40.665,36.38,14.81,245.92,23.9,24.8,6.6,,,,
Cgy,28.0,Johnny Gaudreau,2.0,1.0,"LW,RW",RW,33.0,-7.1,50.7,14.5,10.0,-4.5,5.0,25.555,45.07,19.925,206.005,10.5,14.0,4.3,,,,
Tor,27.0,Morgan Rielly,1.0,1.0,D,D,31.8,-0.3,56.8,24.0,8.0,-16.0,5.0,8.84,42.015,14.03,190.57,73.1,97.3,2.2,,,,
Wpg,25.0,Nikolaj Ehlers,2.0,1.0,"LW,RW",LW,37.2,-4.2,58.3,9.0,9.0,0.0,5.0,33.69,38.66,13.175,241.39,43.1,26.1,6.4,,,,
Bos,23.0,Charlie McAvoy,1.0,1.0,D,D,29.8,-2.3,59.5,27.0,9.0,-18.0,5.0,7.63,36.635,5.87,153.635,127.2,135.8,1.4,,,,
Van,24.0,Brock Boeser,1.0,1.0,RW,RW,30.8,-9.3,60.2,21.0,11.0,-10.0,6.0,27.31,36.065,14.545,199.99,38.4,26.0,3.7,,,,
Nsh,31.0,Roman Josi,1.0,1.0,D,D,42.8,10.7,60.7,3.0,10.0,7.0,6.0,15.175,48.015,17.95,270.215,59.9,128.6,2.6,,,,
NYI,24.0,Mathew Barzal,1.0,1.0,C,C,31.4,-11.6,61.1,26.0,14.0,-12.0,6.0,23.33,47.025,13.605,194.745,31.4,37.9,3.4,,,,
Edm,30.0,Tyson Barrie,1.0,1.0,D,D,32.3,0.3,62.7,20.5,11.0,-9.5,6.0,9.27,45.845,18.03,202.25,46.8,88.2,1.3,,,,
Dal,24.0,Roope Hintz,1.0,2.0,"C,LW",LW,35.2,-6.2,66.6,12.0,10.0,-2.0,6.0,26.465,38.015,18.475,173.49,98.9,34.3,4.0,,,,
StL,30.0,Ryan O'Reilly,1.0,1.0,C,C,32.9,-10.1,66.8,24.0,15.0,-9.0,6.0,24.915,49.345,15.205,173.935,30.5,39.9,4.4,,,,
Was,29.0,Evgeny Kuznetsov,1.0,1.0,C,C,27.3,-15.7,67.5,37.0,16.0,-21.0,6.0,21.455,40.94,13.445,163.11,44.6,24.9,3.0,,,,
Edm,26.0,Darnell Nurse,1.0,2.0,D,D,37.1,5.0,69.9,10.0,12.0,2.0,6.0,13.46,31.465,5.73,208.545,174.5,151.4,1.8,,,,
Chi,27.0,Seth Jones,1.0,1.0,D,D,37.8,5.7,72.8,9.0,13.0,4.0,7.0,9.79,39.57,14.48,194.24,115.7,144.2,2.3,,,,
Dal,29.0,Tyler Seguin,2.0,1.0,"C,RW",C,34.6,-8.4,74.2,22.0,17.0,-5.0,7.0,22.4,35.75,12.885,253.91,65.5,32.7,5.3,,,,
TB,30.0,Ondrej Palat,1.0,2.0,LW,LW,31.8,-9.6,75.0,19.0,11.0,-8.0,7.0,21.085,33.245,12.26,158.795,125.5,60.2,3.2,,,,
VGK,26.0,Shea Theodore,2.0,2.0,D,D,36.1,4.1,76.3,11.5,14.0,2.5,7.0,14.7,43.22,16.83,274.495,36.1,81.5,2.0,,,,
Edm,28.0,Ryan Nugent-Hopkins,2.0,1.0,"C,LW",C,37.5,-5.5,76.6,14.0,18.0,4.0,7.0,27.265,40.265,21.935,213.795,47.1,44.2,3.8,,,,
Pit,34.0,Kris Letang,1.0,1.0,D,D,39.9,7.8,78.9,6.0,15.0,9.0,7.0,15.2,46.78,17.155,216.945,116.9,101.4,2.2,,,,
Dal,22.0,Miro Heiskanen,1.0,2.0,D,D,27.7,-4.4,80.4,33.0,16.0,-17.0,7.0,12.485,34.935,10.51,192.64,56.2,87.8,1.3,,,,
Fla,25.0,Sam Reinhart,1.0,2.0,"C,RW",C,35.5,-7.5,83.2,17.0,19.0,2.0,7.0,36.36,36.7,17.79,191.34,33.8,38.2,4.1,,,,
Cgy,26.0,Elias Lindholm,1.0,1.0,"C,RW",C,38.9,-4.1,83.9,12.0,20.0,8.0,7.0,29.95,37.705,18.685,191.11,87.7,45.6,5.7,,,,
Ari,23.0,Jakob Chychrun,1.0,1.0,D,D,35.3,3.2,90.1,14.0,17.0,3.0,8.0,19.355,26.17,11.555,208.755,93.7,126.7,2.8,,,,
Dal,35.0,Alexander Radulov,2.0,1.0,"LW,RW",RW,28.4,-11.6,90.2,26.0,12.0,-14.0,8.0,22.9,31.615,12.475,165.57,52.8,49.6,3.7,,,,
VGK,30.0,Jonathan Marchessault,2.0,1.0,"C,LW",C,36.5,-6.5,91.5,16.0,21.0,5.0,8.0,26.645,34.835,11.09,292.465,86.9,20.5,4.7,,,,
LA,34.0,Anze Kopitar,1.0,1.0,C,C,37.1,-5.9,92.3,15.0,22.0,7.0,8.0,23.09,49.02,21.88,160.27,58.3,57.6,4.1,,,,
StL,30.0,Torey Krug,1.0,1.0,D,D,31.9,-0.2,95.0,23.0,18.0,-5.0,8.0,7.855,45.8,19.67,177.24,66.9,75.1,1.9,,,,
Wpg,35.0,Blake Wheeler,1.0,1.0,"C,RW",C,37.6,-5.4,96.2,13.0,23.0,10.0,9.0,23.785,48.72,20.035,187.0,90.2,47.0,2.9,,,,
Bos,29.0,Taylor Hall,2.0,1.0,LW,LW,34.6,-6.8,97.5,13.0,12.0,-1.0,9.0,21.375,43.08,16.13,246.98,53.2,32.0,3.4,,,,
Tor,25.0,William Nylander,2.0,2.0,"LW,RW",RW,33.8,-6.3,99.6,13.0,13.0,0.0,9.0,31.23,36.28,14.29,226.375,19.9,20.9,5.9,,,,
StL,33.0,David Perron,1.0,1.0,"LW,RW",RW,35.7,-4.4,101.5,11.0,14.0,3.0,9.0,26.935,42.875,20.225,191.845,64.2,25.7,4.0,,,,
LA,31.0,Drew Doughty,1.0,1.0,D,D,34.8,2.7,102.6,15.0,19.0,4.0,9.0,9.89,35.585,17.815,153.455,146.0,116.0,1.1,,,,
Dal,37.0,Joe Pavelski,1.0,1.0,"C,RW",C,35.0,-8.0,105.2,20.0,24.0,4.0,9.0,29.805,28.925,16.15,182.25,81.7,57.2,4.4,,,,
Mon,33.0,Jeff Petry,1.0,1.0,D,D,39.1,7.0,106.0,7.0,20.0,13.0,9.0,14.26,37.33,14.335,184.505,178.4,113.1,2.6,,,,
Wpg,26.0,Neal Pionk,2.0,2.0,D,D,36.2,4.1,106.2,11.5,21.0,9.5,9.0,6.065,42.435,18.115,169.715,180.4,98.8,0.8,,,,
Dal,29.0,John Klingberg,2.0,1.0,D,D,30.7,-1.4,107.0,25.0,22.0,-3.0,9.0,10.775,42.19,17.67,163.545,56.8,82.7,2.2,,,,
StL,30.0,Brayden Schenn,3.0,2.0,"C,RW",RW,33.0,-7.1,107.2,14.5,15.0,0.5,9.0,24.875,33.17,13.235,160.315,137.4,36.0,4.2,,,,
Pit,29.0,Bryan Rust,3.0,1.0,"LW,RW",RW,39.8,-0.3,109.4,8.0,16.0,8.0,10.0,34.89,33.42,14.745,218.54,98.8,48.7,5.5,,,,
Fla,25.0,Sam Bennett,2.0,1.0,"C,LW",LW,29.7,-11.8,109.6,23.0,13.0,-10.0,10.0,21.115,24.68,5.27,200.72,174.1,30.8,3.5,,,,
Fla,27.0,MacKenzie Weegar,1.0,2.0,D,D,13.9,-18.2,111.7,45.0,23.0,-22.0,10.0,12.47,37.53,1.88,170.32,,,,,,,
StL,29.0,Vladimir Tarasenko,2.0,1.0,RW,RW,30.2,-9.9,114.1,23.0,17.0,-6.0,10.0,21.75,32.51,11.875,209.9,81.3,37.1,3.0,,,,
Phi,30.0,Ryan Ellis,1.0,1.0,D,D,29.5,-2.6,119.4,28.0,24.0,-4.0,10.0,11.755,39.03,7.865,164.425,56.5,134.2,1.7,,,,
Phi,24.0,Ivan Provorov,1.0,2.0,D,D,32.3,0.3,120.5,20.5,25.0,4.5,11.0,12.545,25.835,9.77,178.02,106.9,149.7,1.7,,,,
Ott,24.0,Thomas Chabot,1.0,1.0,D,D,32.7,0.6,120.7,18.0,26.0,8.0,11.0,9.68,42.48,11.74,196.27,95.5,111.3,1.1,,,,
TB,23.0,Mikhail Sergachev,3.0,2.0,D,D,28.4,-3.7,121.0,32.0,27.0,-5.0,11.0,8.705,31.38,9.655,153.605,114.2,111.7,1.5,,,,
Edm,29.0,Zach Hyman,1.0,1.0,"LW,RW",RW,29.3,-10.8,124.8,25.0,18.0,-7.0,11.0,28.93,26.135,5.405,189.575,104.0,38.7,4.2,,,,
Nsh,27.0,Filip Forsberg,1.0,1.0,LW,LW,35.7,-5.7,125.5,11.0,14.0,3.0,11.0,26.79,33.905,14.45,242.45,90.8,30.1,4.2,,,,
Min,31.0,Jared Spurgeon,1.0,1.0,D,D,29.3,-2.7,128.7,29.0,28.0,-1.0,11.0,13.23,28.325,12.495,137.275,75.8,134.6,1.6,,,,
SJ,27.0,Tomas Hertl,2.0,1.0,"C,LW",LW,33.6,-7.8,128.8,14.0,15.0,1.0,11.0,30.785,37.84,12.58,183.72,56.6,55.6,3.8,,,,
Cls,23.0,Patrik Laine,1.0,1.0,"LW,RW",RW,34.2,-5.9,129.5,12.0,19.0,7.0,11.0,29.44,26.98,15.79,215.965,80.3,39.7,3.8,,,,
Was,27.0,Tom Wilson,1.0,2.0,RW,RW,31.7,-8.4,129.7,18.0,20.0,2.0,11.0,22.78,27.85,6.68,153.43,206.8,49.2,3.2,,,,
Col,23.0,Samuel Girard,1.0,2.0,D,D,24.3,-7.8,129.8,39.0,29.0,-10.0,11.0,6.175,37.625,10.25,136.4,64.1,101.8,0.7,,,,
SJ,36.0,Brent Burns,1.0,1.0,D,D,35.6,3.5,131.5,13.0,30.0,17.0,11.0,12.5,38.085,13.545,230.965,66.0,129.0,1.7,,,,
Dal,32.0,Jamie Benn,3.0,1.0,"C,LW",LW,32.6,-8.8,133.6,15.5,16.0,0.5,12.0,22.58,30.575,10.775,191.82,135.0,53.1,3.1,,,,
Van,30.0,Oliver Ekman-Larsson,2.0,2.0,D,D,13.6,-18.5,133.8,46.0,31.0,-15.0,12.0,9.2,31.35,8.58,148.2,,,,,,,
Min,25.0,Kevin Fiala,3.0,1.0,"LW,RW",LW,35.9,-5.5,135.8,10.0,17.0,7.0,12.0,29.74,34.465,18.14,230.935,41.3,22.6,5.6,,,,
NYR,28.0,Ryan Strome,2.0,1.0,"C,RW",RW,28.3,-11.7,136.8,27.0,21.0,-6.0,12.0,19.395,43.485,14.775,163.795,48.5,33.1,2.6,,,,
VGK,34.0,Alec Martinez,1.0,2.0,D,D,32.4,0.4,141.5,19.0,32.0,13.0,12.0,10.43,27.08,9.09,141.395,67.9,214.2,1.4,,,,
Sea,38.0,Mark Giordano,2.0,1.0,D,D,33.6,1.6,142.8,16.0,33.0,17.0,12.0,10.23,31.76,10.555,201.37,61.2,169.9,1.7,,,,
Phi,28.0,Sean Couturier,1.0,1.0,C,C,35.4,-7.6,143.2,18.5,25.0,6.5,12.0,28.72,41.41,12.85,215.54,59.9,40.2,4.8,,,,
Sea,24.0,Vince Dunn,1.0,2.0,D,D,23.6,-8.5,144.9,40.0,34.0,-6.0,13.0,11.405,22.44,9.365,157.935,68.5,83.9,2.1,,,,
Chi,26.0,Dominik Kubalik,2.0,2.0,"LW,RW",LW,31.2,-10.2,145.6,20.0,18.0,-2.0,13.0,31.03,24.95,12.155,191.38,89.7,24.5,4.4,,,,
Van,26.0,Bo Horvat,3.0,1.0,C,C,32.6,-10.4,150.3,25.0,26.0,1.0,13.0,27.135,31.1,12.52,192.92,75.9,62.6,3.1,,,,
Mon,29.0,Tyler Toffoli,1.0,1.0,"LW,RW",LW,32.6,-8.8,151.6,15.5,19.0,3.5,13.0,32.345,25.76,11.175,233.935,81.7,18.6,4.3,,,,
Nsh,31.0,Mattias Ekholm,2.0,2.0,D,D,23.1,-9.0,152.1,41.0,35.0,-6.0,13.0,8.98,29.08,5.065,170.58,57.8,97.7,1.7,,,,
Buf,21.0,Rasmus Dahlin,1.0,1.0,D,D,29.0,-3.0,152.9,31.0,36.0,5.0,13.0,7.045,37.61,15.805,148.97,114.2,77.5,1.5,,,,
Car,28.0,Vincent Trocheck,2.0,1.0,C,C,34.3,-8.7,153.3,23.0,27.0,4.0,13.0,20.105,35.555,14.71,202.54,134.5,44.0,2.9,,,,
Cls,32.0,Jakub Voracek,1.0,1.0,"LW,RW",RW,23.7,-16.4,155.3,38.0,22.0,-16.0,13.0,13.96,42.49,11.31,163.96,24.0,27.8,2.9,,,,
Phi,33.0,Claude Giroux,1.0,1.0,"C,LW",LW,30.0,-11.4,156.0,22.0,20.0,-2.0,14.0,22.67,39.515,15.51,204.66,41.7,14.3,3.6,,,,
NYI,31.0,Anders Lee,1.0,1.0,LW,LW,32.2,-9.2,156.9,18.0,21.0,3.0,14.0,27.015,23.47,9.865,220.22,101.1,43.8,4.4,,,,
SJ,31.0,Erik Karlsson,2.0,1.0,D,D,26.8,-5.2,158.0,34.0,37.0,3.0,14.0,9.6,36.85,14.095,169.25,39.2,92.4,1.0,,,,
NYR,30.0,Chris Kreider,1.0,1.0,LW,LW,32.5,-8.9,158.9,17.0,22.0,5.0,14.0,29.005,21.22,12.92,167.465,143.0,45.2,3.6,,,,
Bos,27.0,Matt Grzelcyk,2.0,2.0,D,D,20.9,-11.2,159.3,43.0,38.0,-5.0,14.0,6.805,24.375,8.735,154.695,64.0,78.5,1.3,,,,
Was,27.0,Anthony Mantha,2.0,2.0,"LW,RW",LW,30.8,-10.6,160.2,21.0,23.0,2.0,14.0,30.175,34.11,9.74,207.085,74.1,35.0,2.4,,,,
NYI,26.0,Ryan Pulock,1.0,2.0,D,D,32.3,0.2,162.5,22.0,39.0,17.0,14.0,9.09,27.0,6.23,183.445,142.6,154.1,1.6,,,,
Det,25.0,Robby Fabbri,2.0,1.0,"C,LW",C,23.1,-19.9,163.3,42.0,28.0,-14.0,14.0,22.2,21.925,7.295,132.82,81.2,27.4,5.0,,,,
Bos,32.0,Craig Smith,2.0,2.0,RW,RW,25.1,-14.9,163.5,37.0,23.0,-14.0,14.0,21.0,21.7,8.0,210.3,83.5,23.6,2.9,,,,
Det,26.0,Tyler Bertuzzi,1.0,2.0,"LW,RW",RW,25.5,-14.5,164.1,33.0,24.5,-8.5,14.0,26.03,28.92,11.225,130.545,73.4,34.5,2.8,,,,
StL,26.0,Pavel Buchnevich,3.0,2.0,RW,RW,28.2,-11.9,164.1,28.0,24.5,-3.5,14.0,23.71,34.675,10.49,167.815,76.3,34.7,3.3,,,,
Chi,33.0,Jonathan Toews,2.0,1.0,C,C,29.6,-13.4,164.1,30.0,29.0,-1.0,14.0,23.565,42.855,11.695,177.795,46.2,33.0,3.8,,,,
Mon,29.0,Brendan Gallagher,3.0,1.0,RW,RW,30.9,-9.1,164.3,20.0,26.0,6.0,14.0,26.885,23.13,6.725,268.865,87.9,30.9,3.6,,,,
Was,31.0,Justin Schultz,2.0,2.0,D,D,18.6,-13.5,164.3,44.0,40.0,-4.0,14.0,5.085,27.32,8.36,123.165,54.9,81.6,0.9,,,,
Phi,32.0,James van Riemsdyk,2.0,1.0,LW,LW,23.1,-18.3,165.0,34.0,24.0,-10.0,14.0,22.5,26.16,9.985,185.37,38.9,19.6,2.4,,,,
Sea,31.0,Jordan Eberle,1.0,1.0,RW,RW,27.2,-12.9,165.1,31.0,27.0,-4.0,14.0,23.68,29.72,10.72,183.84,44.0,33.7,4.2,,,,
Pit,25.0,Kasperi Kapanen,2.0,2.0,"LW,RW",LW,21.0,-20.4,165.2,38.0,25.0,-13.0,14.0,18.565,30.775,4.32,144.375,83.0,18.5,3.2,,,,
Mon,25.0,Christian Dvorak,2.0,2.0,"C,LW",LW,24.1,-17.3,165.3,33.0,26.0,-7.0,14.0,22.505,23.14,9.135,140.92,65.6,51.5,3.1,,,,
Mon,27.0,Josh Anderson,2.0,2.0,RW,RW,25.4,-14.7,165.5,35.5,28.0,-7.5,14.0,20.2,12.3,3.2,179.6,168.2,32.9,4.2,,,,
Col,30.0,Nazem Kadri,2.0,1.0,C,C,29.5,-13.5,165.5,31.0,30.0,-1.0,14.0,23.555,28.2,11.845,249.09,66.4,19.2,2.7,,,,
Ott,27.0,Connor Brown,2.0,2.0,"LW,RW",LW,21.1,-20.3,165.6,37.0,27.0,-10.0,14.0,23.61,26.145,4.28,170.63,36.2,37.9,2.1,,,,
NJ,22.0,Nico Hischier,2.0,2.0,C,C,25.7,-17.3,165.6,39.0,31.0,-8.0,14.0,20.95,29.27,10.75,162.485,56.7,49.3,2.6,,,,
NYI,30.0,Kyle Palmieri,1.0,2.0,"LW,RW",RW,27.9,-12.2,165.8,29.0,29.0,0.0,14.0,25.47,20.75,12.895,172.12,88.2,31.4,3.6,,,,
Sea,29.0,Joonas Donskoi,3.0,1.0,"LW,RW",LW,21.7,-19.7,165.9,35.0,28.0,-7.0,14.0,20.8,23.0,9.2,141.3,33.2,39.9,3.7,,,,
Tor,25.0,Nick Ritchie,1.0,1.0,LW,LW,25.5,-15.9,166.0,29.0,29.0,0.0,14.0,18.71,19.925,7.095,155.135,166.3,29.5,2.9,,,,
Cgy,32.0,Mikael Backlund,3.0,2.0,"C,RW",C,23.8,-19.2,166.8,41.0,32.0,-9.0,14.0,17.445,31.56,7.195,198.685,54.2,25.8,2.9,,,,
NYI,24.0,Anthony Beauvillier,2.0,1.0,LW,LW,25.6,-15.8,166.9,28.0,30.0,2.0,14.0,23.635,22.465,6.91,173.58,85.6,33.0,4.2,,,,
NYR,27.0,Jacob Trouba,2.0,2.0,D,D,30.5,-1.6,167.2,26.0,41.0,15.0,14.0,6.515,22.61,5.19,161.68,186.7,147.2,1.2,,,,
