name,team,position,pick
Teuvo Teravainen,Car,"LW,RW",138.1
Matt Dumba,Min,D,140.0
Jeremy Swayman,Bos,G,140.6
Alex Nedeljkovic,Det,G,140.8
Jack Hughes,NJ,"C,LW",141.4
Alec Martinez,VGK,D,141.5
Mark Giordano,Sea,D,142.8
Sean Couturier,Phi,C,143.2
Vince Dunn,Sea,D,144.9
Tony DeAngelo,Car,D,145.1
Dominik Kubalik,Chi,"LW,RW",145.6
Evander Kane,SJ,"LW,RW",149.3
Bo Horvat,Van,C,150.3
Tyler Toffoli,Mon,"LW,RW",151.6
Mattias Ekholm,Nsh,D,152.1
Jake Oettinger,Dal,G,152.9
Rasmus Dahlin,Buf,D,152.9
Vincent Trocheck,Car,C,153.3
Jakub Voracek,Cls,"LW,RW",155.3
Kaapo Kahkonen,Min,G,155.5
Claude Giroux,Phi,"C,LW",156.0
Jake Muzzin,Tor,D,156.6
Anders Lee,NYI,LW,156.9
Erik Karlsson,SJ,D,158.0
Braden Holtby,Dal,G,158.8
Chris Kreider,NYR,LW,158.9
Matt Grzelcyk,Bos,D,159.3
Tuukka Rask,Bos,G,159.3
Alexandar Georgiev,NYR,G,160.0
Anthony Mantha,Was,"LW,RW",160.2
Rasmus Ristolainen,Phi,D,160.2
Radko Gudas,Fla,D,160.9
Zach Whitecloud,VGK,D,161.5
Alex Wennberg,Sea,"C,LW",162.0
Keith Yandle,Phi,D,162.4
Ryan Pulock,NYI,D,162.5
P.K. Subban,NJ,D,163.1
Ryan Suter,Dal,D,163.3
Mikko Koskinen,Edm,G,163.3
Robby Fabbri,Det,"C,LW",163.3
K'Andre Miller,NYR,D,163.3
Anton Khudobin,Dal,G,163.4
Craig Smith,Bos,RW,163.5
Brian Dumoulin,Pit,D,163.7
Alexis Lafreniere,NYR,LW,163.8
Brandon Tanev,Sea,"LW,RW",163.8
Nils Hoglander,Van,"LW,RW",163.9
Adam Pelech,NYI,D,164.0
Pavel Buchnevich,StL,RW,164.1
Jonathan Toews,Chi,C,164.1
Tyler Bertuzzi,Det,"LW,RW",164.1
Brendan Gallagher,Mon,RW,164.3
Yanni Gourde,Sea,"C,RW",164.3
Justin Schultz,Was,D,164.3
Jamie Drysdale,Anh,D,164.5
Jonathan Bernier,NJ,G,164.6
Dmitry Orlov,Was,D,164.7
James van Riemsdyk,Phi,LW,165.0
Jaccob Slavin,Car,D,165.0
Jordan Eberle,Sea,RW,165.1
Jamie Oleksiak,Sea,D,165.1
Kasperi Kapanen,Pit,"LW,RW",165.2
Christian Dvorak,Mon,"C,LW",165.3
Josh Anderson,Mon,RW,165.5
Nazem Kadri,Col,C,165.5
Nico Hischier,NJ,C,165.6
Connor Brown,Ott,"LW,RW",165.6
Joel Edmundson,Mon,D,165.6
Kyle Palmieri,NYI,"LW,RW",165.8
Joonas Donskoi,Sea,"LW,RW",165.9
Phil Kessel,Ari,RW,166.0
Nick Ritchie,Tor,LW,166.0
Carter Verhaeghe,Fla,"C,LW",166.2
Matt Murray,Ott,G,166.5
Mikael Backlund,Cgy,"C,RW",166.8
Anthony Beauvillier,NYI,LW,166.9
Jesse Puljujarvi,Edm,RW,166.9
Adam Larsson,Sea,D,166.9
Jacob Trouba,NYR,D,167.2
Kirby Dach,Chi,C,167.3
Oliver Wahlstrom,NYI,RW,167.3
Vasily Podkolzin,Van,RW,167.4
Pavel Francouz,Col,G,167.4
Jared McCann,Sea,"C,LW",167.4
Brian Elliott,TB,G,167.7
Jesperi Kotkaniemi,Car,"C,LW",167.8
Jack Roslovic,Cls,"C,RW",167.9
Colton Parayko,StL,D,167.9
Mike Hoffman,Mon,"LW,RW",168.0
Brandon Montour,Fla,D,168.0
Duncan Keith,Edm,D,168.1
Kaapo Kakko,NYR,RW,168.3
Max Comtois,Anh,"LW,RW",168.3
Victor Olofsson,Buf,"LW,RW",168.3
Brandon Saad,StL,"LW,RW",168.4
Alex Killorn,TB,"LW,RW",168.4
Pierre-Luc Dubois,Wpg,C,168.6
