name,team,position,age,goals,assists,points,plus_minus,powerplay_points,game_winning_goals,shots_on_goal,blocks,hits,wins,shutouts,save_percentage,saves
Warren Foegele,EDM,LW/RW,25.0,15.0,16.7,31.7,6.9,0.0,1.7,140.5,19.9,85.6,,,,
Boone Jenner,CBJ,C/LW,28.0,13.3,17.4,30.7,-5.3,3.1,1.9,162.7,79.3,135.2,,,,
Tyson Jost,COL,C/LW,23.0,11.5,15.9,27.4,7.6,3.3,1.3,134.8,30.1,66.2,,,,
Filip Chytil,NYR,C/RW,28.0,14.8,16.7,31.4,-3.6,4.1,2.3,139.1,33.0,30.2,,,,
Luke Kunin,NSH,C/RW,24.0,16.5,17.5,34.0,-3.4,1.7,2.6,138.2,49.2,111.9,,,,
Arttu Ruotsalainen,BUF,C,24.0,21.0,22.9,43.9,-20.3,0.0,0.0,151.3,17.2,68.6,,,,
Joel Armia,MTL,LW/RW,28.0,13.9,12.4,26.3,3.0,3.7,1.8,141.0,24.2,138.0,,,,
Alex Kerfoot,TOR,C/RW,24.0,12.0,22.7,34.7,0.2,6.7,1.4,102.6,43.0,51.5,,,,
Nick Bonino,SJS,C/RW,33.0,14.1,18.5,32.6,8.1,3.1,1.7,101.3,75.1,22.4,,,,
Ondrej Kase,TOR,RW,25.0,12.3,15.1,27.4,4.9,2.0,2.1,138.9,21.3,29.2,,,,
Alex Wennberg,SEA,C/LW,27.0,11.6,21.4,33.0,4.5,6.1,1.7,93.2,42.5,35.7,,,,
Gabriel Vilardi,LAK,C,22.0,15.9,20.9,36.8,-9.8,7.4,3.7,103.0,28.2,23.3,,,,
Victor Rask,MIN,C,28.0,12.7,18.7,31.4,4.3,7.9,2.3,83.1,16.5,41.9,,,,
Erik Haula,BOS,C/LW,30.0,12.6,15.9,28.5,3.4,5.2,2.3,112.8,26.5,64.0,,,,
Marcus Foligno,MIN,LW/RW,30.0,14.1,20.2,34.2,7.2,1.0,2.2,95.9,41.4,209.4,,,,
Vasily Podkolzin,VAN,RW,21.0,12.9,19.2,32.1,-1.7,6.1,1.4,103.5,31.5,73.9,,,,
Ryan Getzlaf,ANA,C,36.0,10.6,24.7,35.3,-12.1,7.7,1.9,119.8,64.2,111.9,,,,
Cody Glass,NSH,C/RW,22.0,11.0,16.0,27.0,-1.6,11.7,1.6,93.9,21.3,37.1,,,,
Shane Pinto,OTT,C,21.0,12.8,24.5,37.3,-10.5,3.5,1.0,123.5,53.5,79.0,,,,
Mason Appleton,SEA,C/RW,26.0,13.0,17.6,30.6,4.6,1.0,1.7,113.4,29.9,74.3,,,,
Lawson Crouse,ARI,LW,24.0,13.2,16.4,29.6,-4.9,3.4,1.9,133.7,43.3,253.3,,,,
JT Compher,COL,C/RW,26.0,13.8,15.3,29.1,1.8,4.9,2.4,101.2,59.0,44.9,,,,
Mathieu Joseph,TBL,C/RW,24.0,15.4,15.7,31.1,3.4,0.8,1.8,106.5,24.8,139.8,,,,
Vinnie Hinostroza,BUF,C/RW,27.0,9.9,20.1,30.0,-1.9,3.2,1.1,125.1,25.3,68.0,,,,
Daniel Sprong,WSH,LW/RW,24.0,16.7,10.6,27.4,-3.0,2.5,2.9,127.3,10.4,49.4,,,,
Troy Terry,ANA,RW,24.0,10.3,20.9,31.1,-2.0,4.8,1.0,109.2,21.6,13.9,,,,
Brandon Tanev,SEA,LW/RW,30.0,13.6,16.4,29.9,5.0,0.2,1.9,110.4,71.5,268.1,,,,
Henrik Borgstrom,CHI,C,23.0,13.5,18.5,32.1,-14.0,11.9,0.0,94.7,17.5,17.5,,,,
Danton Heinen,PIT,LW/RW,26.0,10.5,16.9,27.4,1.6,3.5,1.6,116.7,42.0,53.0,,,,
Nolan Patrick,VGK,C/RW,23.0,11.9,16.7,28.5,-0.8,3.6,2.3,113.2,27.7,70.3,,,,
Nick Paul,OTT,C/LW,26.0,10.3,16.4,26.6,-0.2,1.6,1.4,131.4,46.2,118.7,,,,
Scott Laughton,PHI,C/LW,27.0,13.1,16.7,29.8,2.8,0.0,1.7,112.0,40.2,153.5,,,,
Alexander Barabanov,SJS,RW,27.0,12.3,17.5,29.7,-0.5,4.0,3.1,100.5,48.2,36.3,,,,
Oskar Lindblom,PHI,LW,25.0,15.2,12.5,27.7,-4.4,2.2,1.7,123.1,40.3,67.3,,,,
Rudolfs Balcers,SJS,LW,24.0,12.3,17.0,29.3,-6.6,3.7,2.8,117.5,48.9,111.4,,,,
Radek Faksa,DAL,C,28.0,12.4,12.3,24.7,-1.0,3.2,2.0,119.3,56.1,110.2,,,,
Zach Sanford,STL,LW,27.0,14.6,13.2,27.8,1.7,2.1,2.7,99.4,50.1,100.2,,,,
Nick Foligno,BOS,LW/RW,34.0,10.2,16.2,26.4,3.5,2.2,1.5,108.1,44.6,160.8,,,,
Adam Lowry,WPG,C,28.0,11.5,14.8,26.2,3.1,1.7,2.4,109.2,41.2,208.3,,,,
Colin White,OTT,C/RW,25.0,12.3,18.5,30.8,-9.9,5.6,1.4,106.9,32.5,63.9,,,,
Artturi Lehkonen,MTL,LW/RW,26.0,10.5,13.1,23.5,2.0,0.0,1.9,131.5,35.2,116.4,,,,
Vladislav Namestnikov,DET,C/LW,28.0,13.8,15.7,29.5,-6.9,1.9,2.0,117.7,53.2,116.7,,,,
Nick Cousins,NSH,LW/RW,28.0,9.3,16.8,26.1,-2.3,3.4,1.1,117.7,35.3,96.8,,,,
Michael Rasmussen,DET,C/RW,22.0,9.6,17.7,27.3,-7.7,5.1,0.9,115.0,47.8,127.6,,,,
Janne Kuokkanen,NJD,RW,23.0,11.3,22.5,33.8,-7.6,4.1,1.8,89.3,28.0,21.4,,,,
Barclay Goodrow,NYR,C/LW,28.0,8.7,17.4,26.1,4.4,0.5,1.9,105.8,59.0,160.1,,,,
Joel Kiviranta,DAL,RW,25.0,13.9,13.1,27.1,1.8,1.6,1.1,92.5,29.2,108.8,,,,
Philipp Kurashev,CHI,C/LW,22.0,11.6,16.3,27.9,-7.9,6.7,1.9,95.7,26.7,52.0,,,,
Mattias Janmark,VGK,C/LW,29.0,9.9,15.8,25.7,-3.7,4.1,1.1,109.0,32.2,30.3,,,,
Alex Formenton,OTT,LW,22.0,13.0,14.5,27.4,-5.6,2.0,0.6,111.2,37.7,94.4,,,,
Brock McGinn,PIT,LW/RW,27.0,11.7,12.3,23.9,0.1,0.4,1.5,118.1,28.3,103.4,,,,
Trevor Moore,LAK,LW/RW,26.0,11.4,14.9,26.3,-4.8,1.7,1.0,108.5,15.6,55.1,,,,
Wayne Simmonds,TOR,RW,33.0,10.1,10.6,20.7,-5.9,6.2,1.5,111.0,25.1,116.4,,,,
Vitaly Kravtsov,NYR,RW,22.0,11.4,10.9,22.2,-6.3,1.8,0.5,124.4,24.4,41.1,,,,
Jason Dickinson,VAN,C/LW,26.0,9.6,14.0,23.5,2.9,0.7,1.6,99.6,62.3,108.4,,,,
Max Jones,ANA,LW,23.0,10.9,7.6,18.5,-7.1,4.3,1.3,125.1,19.9,124.0,,,,
John Leonard,SJS,LW/RW,23.0,8.2,17.5,25.7,-5.3,2.7,0.0,103.2,29.8,43.7,,,,
Rasmus Asplund,BUF,C/RW,24.0,11.7,17.2,28.9,-4.1,0.0,1.8,93.1,16.8,56.4,,,,
Liam Foudy,CBJ,C/RW,21.0,6.5,14.4,20.9,-0.1,0.0,1.0,122.6,17.9,55.4,,,,
Tyler Pitlick,CGY,LW/RW,30.0,10.8,10.5,21.2,2.3,0.8,1.6,98.9,53.3,130.8,,,,
Jesper Fast,CAR,RW,30.0,10.4,16.6,26.9,0.4,2.1,1.4,74.4,42.5,117.9,,,,
Christian Fischer,ARI,RW,24.0,10.4,11.6,22.0,-9.3,2.4,1.1,117.0,34.5,191.1,,,,
Chris Tierney,OTT,C,27.0,8.7,23.5,32.2,-11.6,2.2,1.6,87.6,41.1,36.4,,,,
Klim Kostin,STL,C/LW,22.0,10.1,14.1,24.2,0.0,2.4,0.0,78.1,31.4,235.2,,,,
Adam Erne,DET,LW/RW,26.0,10.1,11.9,22.0,-7.0,3.6,1.3,101.3,31.5,170.2,,,,
Anders Bjork,BUF,LW/RW,25.0,10.9,16.3,27.2,-5.5,0.5,0.5,86.9,25.4,69.4,,,,
Ryan McLeod,EDM,C,22.0,9.0,16.7,25.7,-3.8,1.9,0.5,76.1,24.0,37.6,,,,
Zack Kassian,EDM,RW,31.0,11.1,12.5,23.5,-1.8,0.2,1.1,83.1,10.9,156.6,,,,
Josh Archibald,EDM,LW/RW,29.0,12.2,9.9,22.0,-1.0,0.0,2.0,85.2,49.0,224.8,,,,
Sam Steel,ANA,C,23.0,9.3,13.8,23.1,-8.1,4.2,0.8,82.9,28.9,48.3,,,,
Michael McLeod,NJD,C,23.0,10.1,14.7,24.8,-8.2,0.0,2.0,89.9,29.4,132.5,,,,
David Kampf,TOR,C/RW,27.0,5.7,13.5,19.2,-2.6,0.0,0.8,89.0,26.8,57.2,,,,
Isac Lundestrom,ANA,C/LW,22.0,9.6,12.2,21.8,-9.7,0.0,0.5,88.5,32.8,31.6,,,,
Jansen Harkins,WPG,LW,24.0,7.5,12.7,20.2,-4.3,0.0,0.5,80.7,23.1,45.8,,,,
Johan Larsson,ARI,C/LW,29.0,8.4,11.5,19.9,-9.0,0.0,0.8,83.9,45.0,110.1,,,,
,,,,,,,,,,,,,,,,
,,,,20.0,27.1,47.1,0.7,10.9,3.1,162.2,34.7,78.7,,,,
,,,,7.7,12.0,18.3,7.5,8.4,1.5,48.4,12.5,47.8,,,,
Dougie Hamilton,NJD,D,28.0,18.1,36.8,54.8,6.0,18.0,3.2,274.8,91.4,106.4,,,,
Roman Josi,NSH,D,31.0,15.0,43.7,58.7,3.4,19.4,2.6,258.3,128.6,59.9,,,,
Shea Theodore,VGK,D,26.0,13.3,38.2,51.4,12.4,17.7,2.0,238.3,81.5,36.1,,,,
Brent Burns,SJS,D,36.0,12.2,38.4,50.6,-8.7,16.0,1.7,233.1,129.0,66.0,,,,
Jakob Chychrun,ARI,D,23.0,17.3,27.2,44.5,-3.2,14.9,2.8,228.2,126.7,93.7,,,,
Alex Pietrangelo,VGK,D,32.0,14.2,32.8,47.0,10.0,14.6,2.7,213.6,127.6,56.6,,,,
Darnell Nurse,EDM,D,26.0,13.1,31.0,44.1,6.3,8.0,1.8,210.5,151.4,174.5,,,,
Seth Jones,CHI,D,27.0,9.8,38.9,48.7,-0.6,17.3,2.3,206.4,144.2,115.7,,,,
Kris Letang,PIT,D,34.0,13.7,43.0,56.7,5.1,19.9,2.2,202.9,101.4,116.9,,,,
Tyson Barrie,EDM,D,30.0,10.2,46.0,56.2,0.6,24.3,1.3,202.6,88.2,46.8,,,,
Aaron Ekblad,FLA,D,25.0,14.5,33.8,48.3,5.8,17.5,2.6,202.3,88.6,76.6,,,,
Victor Hedman,TBL,D,31.0,13.8,50.6,64.4,16.6,30.0,2.5,201.9,110.9,88.6,,,,
John Carlson,WSH,D,32.0,14.7,51.9,66.6,5.1,26.6,2.7,201.0,132.4,56.5,,,,
Thomas Chabot,OTT,D,25.0,10.3,41.0,51.2,-11.6,13.9,1.1,201.0,111.3,95.5,,,,
Ryan Pulock,NYI,D,27.0,8.9,28.1,37.0,10.2,8.1,1.6,197.0,154.1,142.6,,,,
Mark Giordano,SEA,D,38.0,10.1,30.7,40.8,4.0,13.3,1.7,196.9,169.9,61.2,,,,
Miro Heiskanen,DAL,D,22.0,11.2,30.9,42.0,2.7,13.3,1.3,191.7,87.8,56.2,,,,
Zach Werenski,CBJ,D,24.0,16.2,28.5,44.7,-4.4,12.7,2.8,186.7,84.7,56.8,,,,
Jeff Petry,MTL,D,34.0,14.3,36.3,50.6,-1.3,17.1,2.6,185.4,113.1,178.4,,,,
Cale Makar,COL,D,23.0,15.5,54.5,70.0,17.1,32.0,3.8,184.5,74.0,82.4,,,,
Evan Bouchard,EDM,D,22.0,7.8,17.5,25.2,-3.9,5.0,0.5,182.5,84.7,75.7,,,,
Morgan Rielly,TOR,D,27.0,10.2,44.2,54.4,9.7,18.6,2.2,179.1,97.3,73.1,,,,
Ivan Provorov,PHI,D,25.0,11.8,24.7,36.5,1.8,9.8,1.7,176.4,149.7,106.9,,,,
Colton Parayko,STL,D,28.0,7.8,21.1,28.9,3.0,4.3,1.1,172.7,138.8,104.0,,,,
Justin Faulk,STL,D,29.0,7.9,19.3,27.1,3.3,5.0,1.5,170.7,108.0,137.7,,,,
Torey Krug,STL,D,30.0,7.9,45.3,53.2,1.1,24.9,1.9,170.5,75.1,66.9,,,,
Neal Pionk,WPG,D,26.0,6.3,40.8,47.1,5.0,22.6,0.8,170.1,98.8,180.4,,,,
Rasmus Dahlin,BUF,D,21.0,7.7,37.6,45.3,-15.3,20.2,1.5,169.3,77.5,114.2,,,,
Mathew Dumba,MIN,D,27.0,11.5,24.9,36.4,1.7,12.6,2.2,169.0,107.8,124.7,,,,
Adam Fox,NYR,D,23.0,9.4,54.2,63.5,9.8,28.9,2.4,168.9,144.2,43.1,,,,
Erik Karlsson,SJS,D,31.0,7.7,36.6,44.3,-7.0,16.7,1.0,168.5,92.4,39.2,,,,
Devon Toews,COL,D,27.0,10.4,29.3,39.7,15.7,7.8,1.9,167.9,103.0,66.0,,,,
Vince Dunn,SEA,D,25.0,12.4,24.5,36.9,3.2,12.4,2.1,165.5,83.9,68.5,,,,
Jacob Trouba,NYR,D,27.0,6.3,23.4,29.6,-1.3,6.8,1.2,161.1,147.2,186.7,,,,
Mattias Ekholm,NSH,D,31.0,9.0,28.9,37.9,11.0,6.8,1.7,160.9,97.7,57.8,,,,
Mikhail Sergachev,TBL,D,23.0,8.8,34.3,43.1,10.2,12.7,1.5,160.8,111.7,114.2,,,,
Jaccob Slavin,CAR,D,27.0,6.9,25.8,32.6,12.8,3.7,1.3,158.0,129.2,61.6,,,,
Shayne Gostisbehere,ARI,D,28.0,11.1,21.7,32.7,-8.7,12.0,1.8,157.9,90.6,43.4,,,,
Tony DeAngelo,CAR,D,26.0,10.5,33.4,43.9,3.9,16.2,1.9,157.9,84.2,64.6,,,,
Drew Doughty,LAK,D,32.0,9.6,36.2,45.8,0.2,23.0,1.1,157.2,116.0,146.0,,,,
John Klingberg,DAL,D,29.0,9.7,37.2,46.9,-3.6,21.9,2.2,156.2,82.7,56.8,,,,
PK Subban,NJD,D,32.0,7.5,16.3,23.7,-7.9,6.1,1.5,155.7,83.5,81.7,,,,
Quinn Hughes,VAN,D,22.0,7.1,54.3,61.4,-9.1,27.7,1.2,155.4,68.8,29.1,,,,
Noah Hanifin,CGY,D,25.0,6.8,27.0,33.8,1.3,10.6,1.1,152.6,87.6,77.7,,,,
Tyler Myers,VAN,D,31.0,7.9,18.7,26.6,-7.3,5.3,1.8,151.5,110.3,96.7,,,,
Filip Hronek,DET,D,24.0,7.4,29.7,37.1,-16.4,11.4,0.5,151.3,77.2,110.2,,,,
Ryan Ellis,PHI,D,31.0,9.4,32.4,41.8,5.7,8.0,1.7,149.8,134.2,56.5,,,,
Ryan Graves,NJD,D,26.0,7.5,18.7,26.2,6.7,0.0,0.5,148.5,152.9,119.5,,,,
Rasmus Andersson,CGY,D,25.0,6.3,22.9,29.2,-6.5,6.8,0.5,148.2,99.8,66.1,,,,
Oilver Ekman-Larsson,VAN,D,30.0,9.1,24.8,33.9,-8.5,11.5,1.3,148.1,62.4,130.8,,,,
Matt Grzelcyk,BOS,D,28.0,7.0,25.9,32.9,13.4,12.6,1.3,147.7,78.5,64.0,,,,
Brady Skjei,CAR,D,27.0,7.2,15.8,23.0,4.9,0.0,1.1,147.4,105.4,122.6,,,,
Josh Morrissey,WPG,D,26.0,6.8,28.8,35.5,1.4,13.8,1.0,147.3,108.2,80.3,,,,
Jared Spurgeon,MIN,D,32.0,12.5,28.5,40.9,0.6,14.5,1.6,144.2,134.6,75.8,,,,
Keith Yandle,PHI,D,35.0,5.4,33.5,38.9,-2.7,21.1,1.0,144.0,56.9,34.1,,,,
Sean Walker,LAK,D,27.0,6.7,20.8,27.5,-1.6,4.5,0.5,142.9,101.7,83.9,,,,
Jake Muzzin,TOR,D,32.0,7.6,27.3,34.8,14.6,1.9,1.1,141.4,132.6,146.1,,,,
Gustav Forsling,FLA,D,25.0,6.3,16.4,22.7,3.8,3.3,0.8,140.2,80.2,59.6,,,,
Erik Cernak,TBL,D,24.0,6.7,15.1,21.8,11.5,0.7,1.0,139.7,94.4,182.4,,,,
Mackenzie Weegar,FLA,D,28.0,9.0,30.2,39.2,10.1,4.1,1.6,139.2,126.7,157.5,,,,
Kevin Shattenkirk,ANA,D,33.0,3.2,22.4,25.6,-10.0,6.2,0.5,137.7,89.2,81.0,,,,
Brandon Montour,FLA,D,27.0,7.9,18.4,26.3,4.6,2.3,0.9,135.7,89.9,81.9,,,,
Charlie McAvoy,BOS,D,24.0,8.1,35.5,43.6,17.3,6.6,1.4,134.8,135.8,127.2,,,,
Noah Dobson,NYI,D,22.0,6.2,22.2,28.4,0.9,9.1,0.5,134.3,96.7,69.9,,,,
Travis Sanheim,PHI,D,25.0,7.5,20.9,28.4,-3.3,2.8,1.1,132.7,114.8,54.0,,,,
Ben Chiarot,MTL,D,30.0,5.9,12.1,17.9,-4.2,0.9,1.5,132.3,114.6,137.3,,,,
Mike Reilly,BOS,D,28.0,2.0,24.1,26.1,1.7,6.3,0.5,132.3,67.4,82.9,,,,
Damon Severson,NJD,D,27.0,7.9,25.2,33.0,-6.6,7.2,0.9,131.5,92.7,87.5,,,,
Michael Matheson,PIT,D,27.0,8.0,16.6,24.6,-1.8,4.2,1.3,131.2,84.7,63.9,,,,
Alexandre Carrier,NSH,D,25.0,4.5,20.0,24.5,12.1,2.9,0.5,130.5,117.2,91.6,,,,
Samuel Girard,COL,D,23.0,6.3,35.2,41.5,10.5,12.8,0.7,130.1,101.8,64.1,,,,
Esa Lindell,DAL,D,27.0,6.6,19.0,25.6,8.9,4.9,0.9,128.4,145.2,123.5,,,,
Alex Edler,LAK,D,35.0,4.3,19.4,23.7,-1.0,4.7,0.6,127.2,153.6,108.8,,,,
Brett Pesce,CAR,D,27.0,6.6,25.1,31.6,14.1,4.0,0.9,126.5,121.6,40.7,,,,
Philippe Myers,NSH,D,25.0,4.2,17.4,21.6,2.0,0.0,0.5,126.3,71.9,117.2,,,,
Travis Hamonic,VAN,D,31.0,5.3,12.1,17.4,2.2,0.0,0.7,125.5,141.7,63.7,,,,
Connor Murphy,CHI,D,28.0,5.5,16.3,21.8,2.5,0.8,1.0,124.9,157.1,147.4,,,,
Joel Edmundson,MTL,D,28.0,5.7,15.1,20.7,7.3,0.0,0.7,122.9,117.0,145.4,,,,
Alex Romanov,MTL,D,22.0,3.5,12.2,15.7,1.3,3.8,0.5,121.0,97.5,198.6,,,,
Ty Smith,NJD,D,21.0,5.5,31.2,36.7,-7.8,10.4,0.5,120.1,64.9,58.6,,,,
Duncan Keith,EDM,D,38.0,4.2,19.7,23.9,0.8,3.9,0.9,119.9,115.2,39.6,,,,
Rasmus Ristolainen,PHI,D,27.0,4.5,22.7,27.2,-7.1,6.9,0.9,119.5,91.8,213.5,,,,
Alec Martinez,VGK,D,34.0,8.6,27.2,35.8,12.6,9.2,1.4,118.2,214.2,67.9,,,,
Radko Gudas,FLA,D,31.0,3.0,14.1,17.1,6.5,0.0,0.4,118.1,101.0,253.2,,,,
Hampus Lindholm,ANA,D,28.0,4.4,19.4,23.7,-5.8,4.9,0.8,117.5,96.6,57.2,,,,
Cam Fowler,ANA,D,30.0,8.1,23.5,31.5,-6.3,6.9,1.6,117.3,79.0,35.9,,,,
Adam Pelech,NYI,D,27.0,4.7,16.9,21.5,10.5,0.4,0.7,117.3,128.5,122.5,,,,
Brandon Carlo,BOS,D,25.0,4.6,10.9,15.5,10.9,0.0,0.8,117.0,88.5,121.3,,,,
Nate Schmidt,WPG,D,30.0,7.7,21.3,29.0,3.4,5.7,1.0,116.5,105.3,35.9,,,,
K'Andre Miller,NYR,D,22.0,7.2,16.1,23.2,7.4,3.1,1.3,116.5,115.4,134.1,,,,
Jonas Brodin,MIN,D,28.0,7.1,21.5,28.5,4.9,2.5,1.2,115.5,138.1,55.2,,,,
Erik Johnson,COL,D,33.0,4.8,14.2,19.0,6.4,1.0,0.9,115.2,113.1,100.5,,,,
Jamie Oleksiak,SEA,D,29.0,7.0,12.6,19.6,0.0,0.0,1.3,115.1,109.7,208.8,,,,
Scott Mayfield,NYI,D,22.0,4.2,15.2,19.4,5.2,0.0,0.7,114.1,146.4,113.7,,,,
Juuso Valimaki,CGY,D,23.0,3.5,13.8,17.3,-1.8,0.5,1.0,113.5,104.5,56.6,,,,
Nick Leddy,DET,D,30.0,3.8,30.7,34.5,-9.3,11.5,0.7,113.3,85.0,77.9,,,,
Chris Wideman,MTL,D,32.0,8.3,22.8,31.1,0.0,7.7,1.7,113.0,66.9,77.9,,,,
Nicolas Hague,VGK,D,23.0,5.9,17.8,23.7,8.9,2.4,0.5,112.8,85.5,135.9,,,,
David Savard,MTL,D,31.0,3.4,11.7,15.1,-0.6,0.8,0.3,112.8,145.8,146.3,,,,
Dmitri Orlov,WSH,D,30.0,6.7,21.7,28.3,6.3,2.5,1.3,112.5,88.5,119.1,,,,
Matt Roy,LAK,D,26.0,4.7,14.6,19.2,2.5,1.0,0.8,111.6,114.1,119.7,,,,
Justin Schultz,WSH,D,31.0,4.7,24.6,29.3,4.2,9.7,0.9,111.5,81.6,54.9,,,,
Moritz Seider,DET,D,21.0,5.5,20.6,26.1,-5.5,5.0,0.5,110.0,91.5,126.6,,,,
Jamie Drysdale,ANA,D,19.0,7.9,22.9,30.7,-14.0,6.1,0.5,109.6,86.5,43.7,,,,
Dante Fabbro,NSH,D,23.0,5.0,12.7,17.7,-3.7,1.6,0.9,108.7,101.0,64.1,,,,
Ryan McDonagh,TBL,D,32.0,5.8,20.5,26.3,13.8,1.1,0.7,108.6,137.7,83.8,,,,
Alex Goligoski,MIN,D,36.0,4.0,27.6,31.6,2.2,10.0,0.5,108.5,143.9,95.2,,,,
Haydn Fleury,SEA,D,25.0,5.5,9.1,14.6,-5.8,0.0,0.5,107.6,86.3,99.4,,,,
Colin Miller,BUF,D,29.0,3.8,14.5,18.3,-12.9,6.0,0.4,106.3,71.2,126.4,,,,
Jake Bean,CBJ,D,23.0,4.5,20.8,25.3,-5.3,10.8,0.0,105.5,50.2,47.9,,,,
Ryan Suter,DAL,D,37.0,5.1,25.9,31.0,2.0,7.8,1.1,104.9,85.7,52.6,,,,
Victor Soderstrom,ARI,D,20.0,5.5,15.1,20.6,-7.0,2.5,0.5,103.5,40.2,73.0,,,,
Erik Brannstrom,OTT,D,22.0,3.9,19.2,23.1,-5.4,6.2,0.0,102.8,70.5,62.4,,,,
Justin Holl,TOR,D,30.0,2.8,23.5,26.2,13.0,0.0,0.7,100.7,115.2,118.0,,,,
Adam Boqvist,CBJ,D,21.0,6.1,24.4,30.5,-6.6,7.7,1.0,100.3,84.6,75.4,,,,
Will Butcher,BUF,D,27.0,4.2,24.2,28.3,-9.7,7.1,1.0,100.0,85.8,46.7,,,,
Michael Del Zotto,OTT,D,29.0,4.4,16.4,20.8,-6.0,0.8,0.5,99.3,83.7,169.7,,,,
Conor Timmins,ARI,D,23.0,2.4,21.1,23.6,8.8,1.7,0.0,96.7,68.2,66.1,,,,
Calvin de Haan,CHI,D,30.0,2.0,13.2,15.2,-4.0,1.0,0.5,95.5,135.4,167.2,,,,
Henri Jokiharju,BUF,D,22.0,4.8,12.7,17.4,-8.5,1.1,0.5,95.4,86.5,86.6,,,,
Troy Stecher,DET,D,27.0,3.9,15.4,19.3,-10.3,0.9,0.5,95.3,83.8,75.1,,,,
Ryan Lindgren,NYR,D,23.0,2.3,21.9,24.2,9.2,0.0,0.0,94.0,93.1,144.0,,,,
Brian Dumoulin,PIT,D,30.0,4.5,18.4,22.9,10.1,0.3,0.5,92.6,104.0,115.3,,,,
Mario Ferraro,SJS,D,23.0,2.8,19.9,22.6,-8.0,3.8,0.5,92.6,115.2,189.8,,,,
Adam Larsson,SEA,D,29.0,3.8,11.1,14.9,-2.5,0.0,0.7,91.8,144.1,209.3,,,,
Bowen Byram,COL,D,20.0,5.6,17.2,22.8,4.7,3.1,0.0,90.8,62.6,128.8,,,,
Nikita Zaitsev,OTT,D,30.0,3.6,15.8,19.4,-10.5,0.5,0.8,88.8,144.1,139.2,,,,
Vladislav Gavrikov,CBJ,D,26.0,4.8,16.0,20.8,-6.9,0.0,1.2,88.2,113.8,100.4,,,,
Cody Ceci,EDM,D,28.0,4.6,14.8,19.4,2.0,0.2,1.2,87.1,103.9,104.5,,,,
Mikey Anderson,LAK,D,22.0,3.7,16.6,20.3,0.8,0.0,0.5,86.9,113.4,102.0,,,,
T.J. Brodie,TOR,D,31.0,5.0,20.8,25.8,11.0,3.7,0.8,86.8,104.5,38.3,,,,
Ethan Bear,CAR,D,24.0,4.0,12.3,16.3,1.8,1.6,1.1,86.7,90.8,55.6,,,,
Marcus Pettersson,PIT,D,25.0,2.8,18.5,21.3,7.1,2.0,0.0,86.3,86.2,101.5,,,,
Nikita Zadorov,CGY,D,26.0,4.4,10.0,14.4,5.1,0.0,0.5,85.1,87.2,226.9,,,,
John Marino,PIT,D,24.0,5.9,20.7,26.6,8.0,5.6,0.8,84.9,86.2,80.9,,,,
Josh Manson,ANA,D,30.0,2.7,13.1,15.8,-8.6,0.0,0.3,81.9,87.6,153.7,,,,
Brayden McNabb,VGK,D,31.0,3.4,10.7,14.1,10.1,0.0,0.8,81.5,141.1,189.1,,,,
Jake McCabe,CHI,D,28.0,4.0,11.9,15.9,-2.9,0.0,0.8,81.0,97.8,102.8,,,,
Derek Forbort,BOS,D,28.0,2.3,12.2,14.5,1.2,0.0,0.2,80.7,133.5,106.8,,,,
Andrew Peeke,CBJ,D,23.0,3.7,14.9,18.6,-6.0,0.0,0.5,78.5,95.0,155.5,,,,
Brenden Dillon,WPG,D,31.0,2.3,19.2,21.5,5.2,0.1,0.0,75.7,89.1,194.2,,,,
Rasmus Sandin,TOR,D,21.0,3.8,23.4,27.2,1.5,6.0,2.8,75.2,56.4,85.6,,,,
Chris Tanev,CGY,D,32.0,2.7,16.0,18.7,5.3,0.7,0.7,74.3,151.1,45.0,,,,
Connor Clifton,BOS,D,28.0,2.8,9.6,12.3,2.1,0.0,0.4,70.6,104.9,125.4,,,,
Artem Zub,OTT,D,26.0,4.0,15.7,19.6,-4.7,0.0,1.3,69.1,109.7,132.3,,,,
Caleb Jones,CHI,D,24.0,3.6,10.4,14.0,-4.6,0.8,0.9,66.0,80.7,69.8,,,,
Robert Hagg,BUF,D,26.0,4.2,11.5,15.6,-5.8,0.2,0.2,65.1,100.0,191.1,,,,
Dmitry Kulikov,MIN,D,31.0,0.9,7.1,8.0,0.4,0.0,0.2,60.3,74.1,110.6,,,,
Ryan Murray,COL,D,28.0,1.7,20.8,22.5,6.4,0.5,0.0,59.6,101.1,46.6,,,,
,,,,,,,,,,,,,,,,
,,,,6.9,23.7,30.6,1.5,7.3,1.1,133.3,104.6,99.9,,,,
,,,,3.5,10.3,12.9,7.5,7.6,0.7,42.4,27.4,47.0,,,,
Connor Hellebuyck,WPG,G,28.0,,,,,,,,,,33.3,5.1,0.917,1750.2
Andrei Vasilevksiy,TBL,G,27.0,,,,,,,,,,38.3,5.4,0.92,1569.0
Jacob Markstrom,CGY,G,32.0,,,,,,,,,,30.1,3.2,0.911,1593.0
Robin Lehner,VGK,G,30.0,,,,,,,,,,33.2,4.9,0.918,1441.2
John Gibson,ANA,G,28.0,,,,,,,,,,20.8,3.0,0.91,1545.4
Jordan Binnington,STL,G,28.0,,,,,,,,,,28.6,4.0,0.913,1502.2
