name,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts,custom_rank,cat_score,rank,rank_arbitrage,round
Logan Couture,C,-3.2835,-21.40125,-27.4595,-6.25,-38.4,-47.3,8.35,,,,,,96,-0.003883184,104,8,11.4
Oliver Ekman-Larsson,D,2.731625,-11.376375,-67.76625,1.7,22.875,23.175,-59.325,,,,,,56,-0.000426239,105,49,11.5
Charlie McAvoy,D,-3.558375,-7.501375,6.35375,-9.3,-101.125,37.175,-42.325,,,,,,103,-0.004312213,106,3,11.6
Cam Talbot,G,,,,,,,,-3.38925,-0.1755,6.258,-0.004825,-0.58025,268,-0.025372923,107,-161,11.7
Jaden Schwartz,LW,-4.9765,-1.9955,-46.952,-9.45,-72.8,-62.9,-3.85,,,,,,148,-0.006824604,108,-40,11.8
Ivan Provorov,D,3.226625,-11.151375,-21.14625,-10.3,27.875,9.175,30.675,,,,,,28,0.003135217,109,81,11.9
Ryan Ellis,D,1.141625,-0.421375,14.36375,-8.3,-45.125,-71.825,-32.325,,,,,,88,-0.00332318,110,22,12
Rasmus Dahlin,D,-5.538375,-18.986375,-96.94625,-11.3,-46.125,-44.825,-56.325,,,,,,241,-0.01623911,111,-130,12.1
Jeff Carter,C,-3.1385,-25.67625,-67.0995,-8.25,-8.4,-52.3,-25.65,,,,,,202,-0.011479129,112,-90,12.2
Ryan Suter,D,-5.863375,4.423625,-12.81625,-0.3,-48.125,-49.825,-7.325,,,,,,87,-0.003261423,113,26,12.3
Dustin Brown,RW,-7.10925,-16.9535,-37.816,-15.4,-48.05,92.6,-17.45,,,,,,110,-0.004647515,115,5,12.5
Reilly Smith,RW,-5.10425,-2.3335,24.424,-12.4,-56.05,-63.4,-17.45,,,,,,81,-0.00305854,116,35,12.6
James Neal,RW,-5.24925,-24.7335,-69.356,-12.4,-34.05,-31.4,-19.45,,,,,,209,-0.011850934,117,-92,12.7
Jeff Petry,D,-1.498375,-9.911375,-57.13625,-3.3,-22.125,38.175,-3.325,,,,,,63,-0.001049311,118,55,12.8
Henrik Lundqvist,G,,,,,,,,-7.40925,-0.1905,29.338,-0.003825,-1.12525,278,-0.032653864,119,-159,12.9
Corey Crawford,G,,,,,,,,-2.96425,-0.0655,2.808,-0.000325,-0.55025,160,-0.00758891,120,-40,13
Mike Hoffman,LW,-7.2965,-6.6705,-14.862,-0.45,-7.8,-96.9,-16.85,,,,,,109,-0.004616248,121,12,13.1
Mike Smith,G,,,,,,,,-5.68925,-0.2155,-22.822,-0.003825,-0.94025,277,-0.032650981,122,-155,13.2
Jonathan Toews,C,-9.4635,-18.55125,-40.9495,-10.25,-48.4,-39.3,-25.65,,,,,,201,-0.011289072,123,-78,13.3
Teuvo Teravainen,C,-15.2435,-13.85125,-60.1095,-6.25,-86.4,-64.3,-28.65,,,,,,234,-0.015159672,125,-109,13.5
Nico Hischier,C,-13.2735,-19.28125,-51.8795,-13.25,-29.4,-36.3,-16.65,,,,,,210,-0.011886383,126,-84,13.6
Nick Bjugstad,RW,-12.44425,-17.1285,-21.696,-13.4,-55.05,-21.4,-25.45,,,,,,188,-0.010169701,127,-61,13.7
Duncan Keith,D,-7.728375,-5.321375,-39.42625,-3.3,-15.125,-93.825,-7.325,,,,,,177,-0.009019344,128,-49,13.8
Chris Kreider,LW,-10.2865,-15.3605,-55.932,-8.45,-69.8,24.1,-12.85,,,,,,170,-0.008305258,129,-41,13.9
Oscar Klefbom,D,-4.483375,-16.086375,-26.86625,-5.3,9.875,-73.825,7.675,,,,,,138,-0.006307969,130,-8,14
Carter Hutton,G,,,,,,,,-9.80925,-0.1705,33.648,-0.005325,-0.26525,275,-0.02995351,131,-144,14.1
Nick Leddy,D,-3.003375,-5.966375,-32.04625,-2.3,-58.125,-36.825,-38.325,,,,,,134,-0.006196487,132,-2,14.2
Philipp Grubauer,G,,,,,,,,-20.13925,-0.0855,-1176.092,-0.000325,-2.15025,289,-0.081421419,133,-156,14.3
Cory Schneider,G,,,,,,,,-3.44425,-0.1605,-4.292,-0.003825,-1.10025,271,-0.026913241,134,-137,14.4
Justin Faulk,D,-1.443375,-15.631375,-62.31625,-1.3,15.875,2.175,-54.325,,,,,,111,-0.004653526,135,24,14.5
Semyon Varlamov,G,,,,,,,,-7.53425,-0.3005,-0.202,-0.003825,-1.03525,279,-0.040746125,136,-143,14.6
Dylan Larkin,C,-17.3485,-9.09625,-83.2195,-15.25,-18.4,-20.3,-26.65,,,,,,227,-0.014311673,137,-90,14.7
Ryan Johansen,C,-16.9335,-8.07125,-3.9895,-6.25,-85.4,-4.3,-24.65,,,,,,145,-0.006771118,138,-7,14.8
Gabriel Landeskog,LW,-9.7765,-9.4555,-59.712,-8.45,-61.8,16.1,12.15,,,,,,90,-0.003643991,139,49,14.9
Mats Zuccarello,RW,-12.68425,-6.4535,-30.686,-8.4,-77.05,-33.4,16.55,,,,,,82,-0.003060776,140,58,15
Jason Zucker,LW,-4.4015,-13.0905,-22.522,-12.45,-67.8,-49.9,-3.85,,,,,,157,-0.007440686,141,-16,15.1
James Reimer,G,,,,,,,,-17.89925,-0.1255,-923.842,-0.001325,-1.75525,287,-0.072044013,142,-145,15.2
Aaron Dell,G,,,,,,,,-22.70925,-0.0005,-1192.472,-0.002325,-3.03025,290,-0.090422972,143,-147,15.3
Alex Galchenyuk,LW,-13.0915,-11.5805,-79.762,-2.45,-72.8,-83.9,-8.85,,,,,,199,-0.01115454,144,-55,15.4
Darnell Nurse,D,-4.138375,-17.731375,-20.65625,-12.3,-14.125,53.175,12.675,,,,,,72,-0.002057047,145,73,15.5
Colton Parayko,D,-4.048375,-8.846375,-39.28625,-7.3,19.875,-18.825,-8.325,,,,,,97,-0.003887067,146,49,15.6
T.J. Oshie,RW,-7.02925,-13.0085,19.374,-10.4,-93.05,6.6,9.55,,,,,,49,0.000525052,147,98,15.7
Eric Staal,C,-0.2735,-20.65125,-20.1595,-12.25,-22.4,-49.3,-12.65,,,,,,147,-0.006794424,149,2,15.9
