name,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,blocks,wins,goals_against_average,saves,save_percentage,shutouts,custom_rank,cat_score,rank,rank_arbitrage,round
Keith Kinkaid,G,,,,,,,,-23.33925,-0.2505,-1187.112,-0.005825,-3.12025,296,-0.116567127,214,-82,22.4
Jared Spurgeon,D,-1.758375,-6.166375,-13.88625,-7.3,-77.125,-66.825,1.675,,,,,,132,-0.006112493,215,83,22.5
Mattias Ekholm,D,-4.118375,-11.846375,12.37375,-11.3,-77.125,-52.825,-26.325,,,,,,171,-0.008369015,216,45,22.6
Yanni Gourde,C,-13.3085,-16.43125,10.2205,-14.25,-118.4,-36.3,-20.65,,,,,,197,-0.011018732,218,21,22.8
Jake DeBrusk,LW,-11.5915,-13.2405,-14.322,-9.45,-69.8,-52.9,-16.85,,,,,,180,-0.00954583,219,39,22.9
Tyler Myers,D,-4.248375,-12.106375,5.77375,-8.3,-57.125,-60.825,-32.325,,,,,,167,-0.008079962,222,55,23.2
Miro Heiskanen,D,-5.963375,-20.256375,-29.69625,-8.3,-55.125,-85.825,-84.325,,,,,,239,-0.015832219,223,-16,23.3
Patrick Marleau,LW,-3.7965,-19.1805,-17.372,-1.45,-38.8,-50.9,-13.85,,,,,,120,-0.005295,224,104,23.4
Filip Zadina,LW,-12.6715,-18.8105,-100.282,-2.45,-34.8,-98.9,-2.85,,,,,,213,-0.011924197,228,15,23.8
Esa Lindell,D,-5.013375,-18.251375,-27.71625,-12.3,-60.125,-27.825,-15.325,,,,,,185,-0.00991554,229,44,23.9
Cam Ward,G,,,,,,,,-23.00425,-0.1955,-1183.232,-0.008325,-3.14025,297,-0.11762529,230,-67,24
Nolan Patrick,C,-17.9935,-29.37125,-44.1595,-12.25,-64.4,-42.3,-36.65,,,,,,252,-0.017388319,231,-21,24.1
Mikko Koivu,C,-20.8485,-16.14625,-18.2395,-7.25,-91.4,-50.3,2.35,,,,,,179,-0.009280293,232,53,24.2
Timo Meier,RW,-6.30925,-23.7835,-14.046,-15.4,-33.05,7.6,-8.45,,,,,,117,-0.00504672,233,116,24.3
Mikael Backlund,C,-17.7485,-23.03625,-55.5395,-13.25,-66.4,-32.3,-12.65,,,,,,226,-0.014071779,234,8,24.4
Anthony Beauvillier,LW,-9.9015,-21.7755,-28.002,-9.45,-78.8,-42.9,-15.85,,,,,,200,-0.011194539,235,35,24.5
Milan Lucic,LW,-16.8115,-14.0855,-47.142,-2.45,-86.8,100.1,-21.85,,,,,,129,-0.00601425,236,107,24.6
Tyler Johnson,C,-13.5335,-23.52125,1.3205,-9.25,-70.4,-42.3,-21.65,,,,,,182,-0.009828603,237,55,24.7
Alex Tuch,RW,-11.22425,-18.2435,8.654,-11.4,-37.05,-11.4,-1.45,,,,,,75,-0.002478739,238,163,24.8
Eeli Tolvanen,LW,-12.9565,-20.8605,8.688,-12.45,-64.8,-77.9,-19.85,,,,,,211,-0.011887494,239,28,24.9
Joe Thornton,C,-16.1235,-10.54125,-32.5795,-3.25,-148.4,-44.3,-28.65,,,,,,220,-0.013025412,240,20,25
Erik Haula,LW,-18.2615,-26.2005,-32.052,-8.45,-76.8,-63.9,-9.85,,,,,,221,-0.013161429,241,20,25.1
David Krejci,C,-14.8835,-17.49125,-12.3795,-11.25,-98.4,-53.3,-8.65,,,,,,196,-0.010887912,242,46,25.2
Valeri Nichushkin,LW,-15.8065,-19.8255,-46.082,-16.45,-97.8,-51.9,-15.85,,,,,,240,-0.016099827,243,3,25.3
Mike Green,D,-2.873375,-11.271375,-69.01625,-4.3,-68.125,-36.825,-58.325,,,,,,193,-0.010813617,245,52,25.5
Jakub Vrana,LW,-17.5265,-22.8655,-3.812,-15.45,-83.8,-93.9,-25.85,,,,,,245,-0.01681425,247,2,25.7
Adam Henrique,C,-11.2235,-29.74625,-44.8695,-15.25,-100.4,-21.3,-16.65,,,,,,228,-0.014489823,249,21,25.9
Ondrej Palat,LW,-13.8615,-8.0355,1.908,-7.45,-97.8,-3.9,13.15,,,,,,70,-0.001954419,250,180,26
Ondrej Kase,RW,-7.06925,-21.6185,-25.816,-17.4,-52.05,-66.4,-19.45,,,,,,204,-0.011613069,253,49,26.3
David Perron,RW,-14.53425,-4.2685,-55.646,-10.4,-106.05,3.6,-6.45,,,,,,173,-0.00871819,254,81,26.4
Daniel Sprong,RW,-9.98925,-22.0535,24.324,-15.4,-48.05,-46.4,-25.45,,,,,,165,-0.007967999,256,91,26.6
Brandon Saad,LW,-12.4465,-19.5355,-44.922,-14.45,-45.8,-84.9,-18.85,,,,,,231,-0.014830976,258,27,26.8
Paul Stastny,C,-16.2085,-14.57625,5.1105,-13.25,-118.4,-53.3,-20.65,,,,,,217,-0.012416051,260,43,27
Jacob Markstrom,G,,,,,,,,-10.39425,-0.2855,9.128,-0.007325,-2.33525,284,-0.060728123,262,-22,27.2
Oliver Bjorkstrand,RW,-16.24925,-14.8135,-18.746,-14.4,-63.05,-47.4,-1.45,,,,,,169,-0.008285231,264,95,27.4
Alexander Wennberg,C,-25.6485,-19.24125,-23.6595,-14.25,-154.4,-46.3,-7.65,,,,,,242,-0.016472562,266,24,27.6
Max Domi,C,-23.4035,-13.62625,-61.6895,-13.25,-92.4,-50.3,-29.65,,,,,,256,-0.018638635,267,11,27.7
Danton Heinen,C,-19.4835,-22.20625,-12.9295,-15.25,-104.4,-45.3,-22.65,,,,,,236,-0.015262518,269,33,27.9
Nick Foligno,LW,-12.3865,-18.1705,-30.422,-6.45,-86.8,39.1,8.15,,,,,,94,-0.00377431,271,177,28.1
Jaroslav Halak,G,,,,,,,,-21.61925,-0.1355,-1209.582,-0.003825,-3.00025,291,-0.10209878,272,-19,28.2
Zdeno Chara,D,-4.188375,-19.356375,8.30375,-14.3,-48.125,14.175,-10.325,,,,,,123,-0.005444404,273,150,28.3
Thomas Greiss,G,,,,,,,,-11.59925,-0.3405,21.228,-0.007325,-2.26525,285,-0.06498277,274,-11,28.4
Kris Letang,D,-2.463375,8.798625,7.09375,4.7,-0.125,-3.825,-25.325,,,,,,21,0.004531085,,,1
Zach Werenski,D,3.841625,-10.836375,-15.95625,-1.3,13.875,-70.825,-45.325,,,,,,71,-0.002036262,,,1
Matt Niskanen,D,-5.953375,-10.821375,22.28375,-11.3,-55.125,23.175,-22.325,,,,,,95,-0.003826127,,,1
Brent Seabrook,D,-4.913375,-14.141375,-23.74625,-3.3,-55.125,-13.825,19.675,,,,,,99,-0.004119754,,,1
Dion Phaneuf,D,-5.628375,-15.946375,-24.64625,-5.3,-61.125,29.175,-7.325,,,,,,112,-0.004665647,,,1
Zach Parise,LW,-3.8515,-23.6205,-37.102,-5.45,-28.8,-64.9,6.15,,,,,,124,-0.005553095,,,1
Mitch Marner,C,-11.9885,-1.25625,-15.8895,,,,,,,,,,127,-0.005821111,,,1
Mitch Marner,RW,-8.36925,9.6615,,3.6,-50.05,-74.4,-12.45,,,,,,127,-0.005821111,,,1
Evgenii Dadonov,RW,-0.49925,-7.5335,-19.836,-12.4,-54.05,-83.4,-11.45,,,,,,130,-0.006036222,,,1
Hampus Lindholm,D,0.766625,-16.846375,-21.23625,-7.3,-71.125,-31.825,-32.325,,,,,,141,-0.00658156,,,1
Alex Goligoski,D,-2.028375,-12.416375,-70.92625,-8.3,-84.125,6.175,12.675,,,,,,144,-0.006666454,,,1
Ryan Kesler,C,-24.8435,-38.20625,-41.0495,-12.25,-82.4,63.7,20.35,,,,,,149,-0.006832995,,,1
James van Riemsdyk,LW,-0.7065,-18.7855,-63.602,0.55,10.2,-65.9,-20.85,,,,,,150,-0.00685406,,,1
Dmitry Orlov,D,-3.143375,-15.431375,19.97375,-14.3,-75.125,3.175,-47.325,,,,,,152,-0.006929242,,,1
Josh Morrissey,D,-5.568375,-20.076375,6.40375,-18.3,-92.125,22.175,16.675,,,,,,154,-0.007148525,,,1
Brady Skjei,D,-7.653375,-14.031375,-36.63625,-12.3,-46.125,18.175,-42.325,,,,,,181,-0.009602486,,,1
Charlie Coyle,RW,-14.36925,-15.3385,,-18.4,-105.05,-1.4,20.55,,,,,,184,-0.009850582,,,1
Charlie Coyle,C,-21.7585,-22.37625,-17.6495,,,,,,,,,,184,-0.009850582,,,1
