name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Mika Zibanejad,NYR,C,1.8,2.0,0.1,1.3,13.4,5.8,10.1
Gabriel Landeskog,Col,"C,LW",1.4,1.9,0.5,0.9,10.4,6.2,14.5
Roman Josi,Nsh,D,0.6,2.1,0.6,0.8,12.8,2.4,23.4
Dougie Hamilton,Car,D,0.6,1.4,1.0,0.7,11.6,4.4,28.5
Neal Pionk,Wpg,D,0.2,1.6,0.4,1.0,5.9,4.4,48.1
Patric Hornqvist,Fla,RW,1.1,0.9,0.2,0.6,9.1,5.5,55.7
Max Pacioretty,VGK,LW,0.8,0.7,0.4,0.4,6.2,2.9,70.2
Blake Coleman,TB,"LW,RW",1.2,0.6,0.4,0.1,10.4,10.1,71.1
Rickard Rakell,Anh,"LW,RW",0.6,0.9,-0.4,0.3,7.2,3.7,83.0
Ryan Ellis,Nsh,D,0.5,1.8,1.1,0.5,8.5,3.0,83.0
Andre Burakovsky,Col,"LW,RW",1.0,1.5,0.4,0.7,5.7,1.4,96.0
Jonathan Marchessault,VGK,"C,LW",0.5,0.7,0.2,0.3,4.8,2.8,99.3
Alexander Edler,Van,D,0.3,2.0,0.7,0.4,9.8,11.5,112.5
Alec Martinez,VGK,D,0.1,0.6,0.2,0.2,2.4,2.4,182.1
