name,team,position,goals,assists,plus_minus,powerplay_points,shots_on_goal,hits,rank
Mika Zibanejad,NYR,C,1.8,2.0,0.1,1.3,13.4,5.8,10.1
Elias Lindholm,Cgy,"C,RW",1.5,2.0,0.2,1.6,9.0,4.3,24.5
Dougie Hamilton,Car,D,0.6,1.4,1.0,0.7,11.6,4.4,28.5
David Perron,StL,"LW,RW",1.4,1.9,0.1,1.6,8.0,2.5,46.8
Neal Pionk,Wpg,D,0.2,1.6,0.4,1.0,5.9,4.4,48.1
Brent Burns,SJ,D,0.4,1.2,-0.1,0.7,7.4,2.4,48.3
Patric Hornqvist,Fla,RW,1.1,0.9,0.2,0.6,9.1,5.5,55.7
Rasmus Ristolainen,Buf,D,0.4,1.7,-0.2,0.8,7.3,11.6,67.1
Bryan Rust,Pit,"LW,RW",1.0,1.8,0.6,0.6,8.7,4.8,69.1
Cam Atkinson,Cls,RW,1.0,1.1,-0.1,0.5,9.1,1.0,77.2
Oliver Bjorkstrand,Cls,"LW,RW",1.4,1.3,0.4,0.5,8.9,2.7,77.4
Jonathan Marchessault,VGK,"C,LW",0.5,0.7,0.2,0.3,4.8,2.8,99.3
Tyler Bertuzzi,Det,"LW,RW",0.7,0.7,0.1,0.4,3.8,1.9,115.2
Tyler Myers,Van,D,0.4,1.3,0.2,0.4,9.5,7.8,149.7
